stunt_group,limit_upgradeid,level,attribute_type1,value1,attribute_type2,value2,cost_item,cost_num,Reset_item,Reset_num,Return_item,Return_num
1,0,1,106,50,99,20000,91000031,10000,91000002,0,91000031,0
1,0,2,106,100,99,40000,91000031,15000,91000002,20,91000031,10000
1,0,3,106,160,99,64000,91000031,20000,91000002,20,91000031,25000
1,0,4,106,220,99,88000,91000031,30000,91000002,20,91000031,45000
1,50,5,106,290,99,116000,91000031,40000,91000002,20,91000031,75000
1,0,6,106,360,99,144000,91000031,50000,91000002,20,91000031,115000
1,0,7,106,430,99,172000,91000031,60000,91000002,20,91000031,165000
1,0,8,106,510,99,204000,91000031,70000,91000002,20,91000031,225000
1,0,9,106,590,99,236000,91000031,80000,91000002,20,91000031,295000
1,100,10,106,660,99,264000,91000031,90000,91000002,20,91000031,375000
1,0,11,106,740,99,296000,91000031,100000,91000002,20,91000031,465000
1,0,12,106,820,99,328000,91000031,110000,91000002,20,91000031,565000
1,0,13,106,900,99,360000,91000031,120000,91000002,20,91000031,675000
1,0,14,106,990,99,396000,91000031,140000,91000002,20,91000031,795000
1,150,15,106,1070,99,428000,91000031,160000,91000002,20,91000031,935000
1,0,16,106,1150,99,460000,91000031,200000,91000002,20,91000031,1095000
1,0,17,106,1240,99,496000,91000031,240000,91000002,20,91000031,1295000
1,0,18,106,1330,99,532000,91000031,300000,91000002,20,91000031,1535000
1,0,19,106,1410,99,564000,91000031,360000,91000002,20,91000031,1835000
1,200,20,106,1500,99,600000,91000031,0,91000002,20,91000031,2195000
2,0,1,107,50,99,20000,91000031,10000,91000002,0,91000031,0
2,0,2,107,100,99,40000,91000031,15000,91000002,20,91000031,10000
2,0,3,107,160,99,64000,91000031,20000,91000002,20,91000031,25000
2,0,4,107,220,99,88000,91000031,30000,91000002,20,91000031,45000
2,50,5,107,290,99,116000,91000031,40000,91000002,20,91000031,75000
2,0,6,107,360,99,144000,91000031,50000,91000002,20,91000031,115000
2,0,7,107,430,99,172000,91000031,60000,91000002,20,91000031,165000
2,0,8,107,510,99,204000,91000031,70000,91000002,20,91000031,225000
2,0,9,107,590,99,236000,91000031,80000,91000002,20,91000031,295000
2,100,10,107,660,99,264000,91000031,90000,91000002,20,91000031,375000
2,0,11,107,740,99,296000,91000031,100000,91000002,20,91000031,465000
2,0,12,107,820,99,328000,91000031,110000,91000002,20,91000031,565000
2,0,13,107,900,99,360000,91000031,120000,91000002,20,91000031,675000
2,0,14,107,990,99,396000,91000031,140000,91000002,20,91000031,795000
2,150,15,107,1070,99,428000,91000031,160000,91000002,20,91000031,935000
2,0,16,107,1150,99,460000,91000031,200000,91000002,20,91000031,1095000
2,0,17,107,1240,99,496000,91000031,240000,91000002,20,91000031,1295000
2,0,18,107,1330,99,532000,91000031,300000,91000002,20,91000031,1535000
2,0,19,107,1410,99,564000,91000031,360000,91000002,20,91000031,1835000
2,200,20,107,1500,99,600000,91000031,0,91000002,20,91000031,2195000
3,0,1,108,50,99,20000,91000031,10000,91000002,0,91000031,0
3,0,2,108,100,99,40000,91000031,15000,91000002,20,91000031,10000
3,0,3,108,160,99,64000,91000031,20000,91000002,20,91000031,25000
3,0,4,108,220,99,88000,91000031,30000,91000002,20,91000031,45000
3,50,5,108,290,99,116000,91000031,40000,91000002,20,91000031,75000
