id,group,points,award1,num1,award2,num2,award3,num3,award4,num4,describe
1,1,100,12200201,10,60000200,10,80000011,10,30101000,200,众神之剑积分奖励
2,1,500,12200201,10,60000200,20,80000011,20,30101000,300,众神之剑积分奖励
3,1,1000,12200201,10,60000200,30,80000011,30,30101000,400,众神之剑积分奖励
4,1,2000,12200201,20,60000200,40,80000011,40,30101000,500,众神之剑积分奖励
5,1,3000,12200201,20,60000200,60,80000011,60,30101000,600,众神之剑积分奖励
6,1,4000,12200201,30,60000200,80,80000011,80,30101000,800,众神之剑积分奖励
7,1,5000,12200201,40,60000200,100,80000011,100,30101000,1000,众神之剑积分奖励
8,10001,200,12200201,10,60000200,10,80000011,10,30101000,200,众神之剑积分奖励
9,10001,600,12200201,10,60000200,15,80000011,15,30101000,300,众神之剑积分奖励
10,10001,1000,12200201,10,60000200,20,80000011,20,30101000,400,众神之剑积分奖励
11,10001,2000,12200201,20,60000200,30,80000011,30,30101000,500,众神之剑积分奖励
12,10001,3000,12200201,20,60000200,35,80000011,35,30101000,600,众神之剑积分奖励
13,10001,4000,12200201,30,60000200,40,80000011,40,30101000,800,众神之剑积分奖励
14,10001,5000,12200201,40,60000200,50,80000011,50,30101000,1000,众神之剑积分奖励
15,10002,200,12100301,10,60000200,10,80000011,10,30101000,200,复仇天使积分奖励
16,10002,600,12100301,10,60000200,15,80000011,15,30101000,300,复仇天使积分奖励
17,10002,1000,12100301,10,60000200,20,80000011,20,30101000,400,复仇天使积分奖励
18,10002,2000,12100301,20,60000200,30,80000011,30,30101000,500,复仇天使积分奖励
19,10002,3000,12100301,20,60000200,35,80000011,35,30101000,600,复仇天使积分奖励
20,10002,4000,12100301,30,60000200,40,80000011,40,30101000,800,复仇天使积分奖励
21,10002,5000,12100301,40,60000200,50,80000011,50,30101000,1000,复仇天使积分奖励
22,10003,200,12100401,10,60000200,10,80000011,10,30101000,200,破誓者积分奖励
23,10003,600,12100401,10,60000200,15,80000011,15,30101000,300,破誓者积分奖励
24,10003,1000,12100401,10,60000200,20,80000011,20,30101000,400,破誓者积分奖励
