id,group,rank_min,rank_max,normal_award1,normal_num1,normal_award2,normal_num2,normal_award3,normal_num3,normal_award4,normal_num4,normal_award5,normal_num5,need_point,extra_award1,extra_num1,extra_award2,extra_num2,extra_award3,extra_num3,mail_title,mail_txt1,mail_txt2,mail_txt3
1,1,1,1,12200201,100,15100101,200,91000027,80000,91000031,100000,0,0,3000,42200204,1,0,0,0,0,限时神将排行第{%d}名奖励,"恭喜你，在限时神将积分排行中获得第{%d}名，总积分{%d},但未能达到{%d},获得了固定奖励。","恭喜你，在限时神将积分排行中获得第{%d}名，总积分{%d},获得了固定奖励和额外奖励。","恭喜你，在限时神将积分排行中获得第{%d}名，总积分{%d},获得了如下奖励。"
2,1,2,2,12200201,80,15100101,150,91000027,60000,91000031,80000,0,0,3000,12200201,20,0,0,0,0,限时神将排行第{%d}名奖励,"恭喜你，在限时神将积分排行中获得第{%d}名，总积分{%d},但未能达到{%d},获得了固定奖励。","恭喜你，在限时神将积分排行中获得第{%d}名，总积分{%d},获得了固定奖励和额外奖励。","恭喜你，在限时神将积分排行中获得第{%d}名，总积分{%d},获得了如下奖励。"
3,1,3,3,12200201,70,15100101,100,91000027,50000,91000031,60000,0,0,3000,12200201,20,0,0,0,0,限时神将排行第{%d}名奖励,"恭喜你，在限时神将积分排行中获得第{%d}名，总积分{%d},但未能达到{%d},获得了固定奖励。","恭喜你，在限时神将积分排行中获得第{%d}名，总积分{%d},获得了固定奖励和额外奖励。","恭喜你，在限时神将积分排行中获得第{%d}名，总积分{%d},获得了如下奖励。"
4,1,4,4,12200201,60,15100101,80,91000027,40000,91000031,60000,0,0,0,0,0,0,0,0,0,限时神将排行第{%d}名奖励,"恭喜你，在限时神将积分排行中获得第{%d}名，总积分{%d},但未能达到{%d},获得了固定奖励。","恭喜你，在限时神将积分排行中获得第{%d}名，总积分{%d},获得了固定奖励和额外奖励。","恭喜你，在限时神将积分排行中获得第{%d}名，总积分{%d},获得了如下奖励。"
5,1,5,5,12200201,50,15100101,80,91000027,40000,91000031,50000,0,0,0,0,0,0,0,0,0,限时神将排行第{%d}名奖励,"恭喜你，在限时神将积分排行中获得第{%d}名，总积分{%d},但未能达到{%d},获得了固定奖励。","恭喜你，在限时神将积分排行中获得第{%d}名，总积分{%d},获得了固定奖励和额外奖励。","恭喜你，在限时神将积分排行中获得第{%d}名，总积分{%d},获得了如下奖励。"
6,1,6,6,12200201,45,15100101,80,91000027,40000,91000031,50000,0,0,0,0,0,0,0,0,0,限时神将排行第{%d}名奖励,"恭喜你，在限时神将积分排行中获得第{%d}名，总积分{%d},但未能达到{%d},获得了固定奖励。","恭喜你，在限时神将积分排行中获得第{%d}名，总积分{%d},获得了固定奖励和额外奖励。","恭喜你，在限时神将积分排行中获得第{%d}名，总积分{%d},获得了如下奖励。"
7,1,7,7,12200201,40,15100101,80,91000027,40000,91000031,40000,0,0,0,0,0,0,0,0,0,限时神将排行第{%d}名奖励,"恭喜你，在限时神将积分排行中获得第{%d}名，总积分{%d},但未能达到{%d},获得了固定奖励。","恭喜你，在限时神将积分排行中获得第{%d}名，总积分{%d},获得了固定奖励和额外奖励。","恭喜你，在限时神将积分排行中获得第{%d}名，总积分{%d},获得了如下奖励。"
8,1,8,8,12200201,35,15100101,80,91000027,40000,91000031,40000,0,0,0,0,0,0,0,0,0,限时神将排行第{%d}名奖励,"恭喜你，在限时神将积分排行中获得第{%d}名，总积分{%d},但未能达到{%d},获得了固定奖励。","恭喜你，在限时神将积分排行中获得第{%d}名，总积分{%d},获得了固定奖励和额外奖励。","恭喜你，在限时神将积分排行中获得第{%d}名，总积分{%d},获得了如下奖励。"
9,1,9,9,12200201,30,15100101,80,91000027,40000,91000031,30000,0,0,0,0,0,0,0,0,0,限时神将排行第{%d}名奖励,"恭喜你，在限时神将积分排行中获得第{%d}名，总积分{%d},但未能达到{%d},获得了固定奖励。","恭喜你，在限时神将积分排行中获得第{%d}名，总积分{%d},获得了固定奖励和额外奖励。","恭喜你，在限时神将积分排行中获得第{%d}名，总积分{%d},获得了如下奖励。"
10,1,10,10,12200201,25,15100101,80,91000027,40000,91000031,30000,0,0,0,0,0,0,0,0,0,限时神将排行第{%d}名奖励,"恭喜你，在限时神将积分排行中获得第{%d}名，总积分{%d},但未能达到{%d},获得了固定奖励。","恭喜你，在限时神将积分排行中获得第{%d}名，总积分{%d},获得了固定奖励和额外奖励。","恭喜你，在限时神将积分排行中获得第{%d}名，总积分{%d},获得了如下奖励。"
11,1,11,20,12200201,20,15100101,50,91000027,30000,91000031,20000,0,0,0,0,0,0,0,0,0,限时神将排行第{%d}名奖励,"恭喜你，在限时神将积分排行中获得第{%d}名，总积分{%d},但未能达到{%d},获得了固定奖励。","恭喜你，在限时神将积分排行中获得第{%d}名，总积分{%d},获得了固定奖励和额外奖励。","恭喜你，在限时神将积分排行中获得第{%d}名，总积分{%d},获得了如下奖励。"
12,1,21,30,12200201,15,15100101,50,91000027,30000,91000031,20000,0,0,0,0,0,0,0,0,0,限时神将排行第{%d}名奖励,"恭喜你，在限时神将积分排行中获得第{%d}名，总积分{%d},但未能达到{%d},获得了固定奖励。","恭喜你，在限时神将积分排行中获得第{%d}名，总积分{%d},获得了固定奖励和额外奖励。","恭喜你，在限时神将积分排行中获得第{%d}名，总积分{%d},获得了如下奖励。"
13,1,31,50,12200201,10,15100101,50,91000027,20000,91000031,10000,0,0,0,0,0,0,0,0,0,限时神将排行第{%d}名奖励,"恭喜你，在限时神将积分排行中获得第{%d}名，总积分{%d},但未能达到{%d},获得了固定奖励。","恭喜你，在限时神将积分排行中获得第{%d}名，总积分{%d},获得了固定奖励和额外奖励。","恭喜你，在限时神将积分排行中获得第{%d}名，总积分{%d},获得了如下奖励。"
