id,name,tab,coins1,coins2,coins3,pos_x,pos_y,distance,icon_size,show_plus1,show_plus2,show_plus3,instructions
1,game_mainUI,0,91000001,91000033,91000003,420,603,125,150,0,0,0,主界面
2,shop_guildnewUI,0,91000001,91000002,91000003,750,597,125,100,0,0,0,商会界面
3,shop_mainUI,1,91000001,91000002,91000018,750,597,125,100,0,0,0,市场国库页签
4,shop_mainUI,2,91000001,91000002,91000032,750,597,125,100,0,0,0,市场杂货页签
5,shop_mainUI,3,91000001,91000002,91000025,750,597,125,100,0,0,0,市场贡献页签
6,shop_mainUI,4,91000001,91000002,91000007,750,597,125,100,0,0,0,市场斗技页签
7,shop_mainUI,5,91000001,91000002,91000023,750,597,125,100,0,0,0,市场远征页签
8,shop_mainUI,6,91000001,91000002,91000035,750,597,125,100,0,0,0,市场镇魂页签
9,arena_hallUI,0,91000001,91000002,91000007,750,597,125,100,0,0,0,斗技场
10,jt_main_ui,0,91000001,91000002,91000025,750,597,125,100,0,0,0,军团信息界面
11,dispatchUI,0,91000001,91000002,91000003,750,597,125,100,0,0,0,探险界面【移除】
12,smeltUI,0,91000001,91000002,91000031,750,597,125,100,0,0,0,神殿
13,recycle_decomposeUI,0,91000001,91000032,91000027,750,597,125,100,0,0,0,分解英雄
14,science_new,0,91000033,91000001,91000002,750,597,125,100,0,0,0,科技界面
15,Mount_farm,0,91000001,91000002,91000027,750,597,125,100,0,0,0,魔巢界面
16,Mount_by_Hero,0,91000001,91000002,91000027,750,597,125,100,0,0,0,魔宠界面
17,vipUI,0,91000001,91000002,91000003,750,597,125,100,0,0,0,vip特权界面
18,vip_rechargeUI,0,91000001,91000002,91000003,750,597,125,100,0,0,0,充值界面
19,wujiangxitong_HuFu,0,91000001,91000002,91000031,750,597,125,100,0,0,0,阵容圣印
20,equip_mainUI,0,91000001,91000002,91000003,750,597,125,100,0,0,0,装备强化
21,mercenary_menu,0,91000001,91000002,91000003,750,597,125,100,0,0,0,佣兵回收【移除】
22,big_beastUI,0,91000001,91000002,91000034,750,597,125,100,0,0,0,巨兽兑换
23,bagui,0,91000001,91000002,91000003,750,597,125,100,0,0,0,背包全部页签
24,newActivityUI,0,91000001,91000002,91000003,750,597,125,100,0,0,0,精彩活动
25,costawardUI,0,91000001,91000002,91000029,750,597,125,100,0,0,0,诸神黄昏奖励
26,costfightUI,0,91000001,91000002,91000029,750,597,125,100,0,0,0,诸神黄昏
27,newActivityUI,0,91000001,91000002,91000003,750,597,125,100,0,0,0,福利活动
28,summon_hallUI,0,91000002,81400601,81400602,750,597,125,100,0,0,0,召唤
29,hero_missionUI,0,91000001,91000002,91000003,750,597,125,100,0,0,0,日常任务
30,king_missionUI,0,91000001,91000002,91000003,750,597,125,100,0,0,0,国王任务
31,trialUI,0,91000001,91000002,91000003,750,597,125,100,0,0,0,每日试炼
32,gemInstanceChapter,0,91000001,91000002,91000003,750,597,125,100,0,0,0,魔龙洞窟
33,expedition_levelUI,0,91000001,91000023,91000024,750,597,125,100,0,0,0,远征
34,team_newFightHallUI,0,91000001,91000002,91000003,750,597,125,100,0,0,0,地下城
35,hero_systemUI,0,91000001,91000002,91000003,750,597,125,100,0,0,0,英雄升星
36,holy_mainUI,0,91000001,91000002,91000003,750,597,125,100,0,0,0,圣物界面
37,ContestMainUI,0,91000001,91000002,91000003,750,597,125,100,0,0,0,资源争夺战
38,soldier_fightUI,0,91000001,91000002,91000003,750,597,125,100,0,0,0,佣兵挑战
39,gve_mainUI,0,91000039,91000037,91000038,750,597,125,100,0,0,0,孤山主界面
40,gve_buildInfoUI,0,91000039,91000037,91000038,750,597,125,100,0,0,0,孤山挑战
41,Mount_by_Hero,0,91000001,91000002,91000027,750,597,125,100,0,0,0,魔宠契约
42,Mount_farm,0,91000001,91000002,91000027,750,597,125,100,0,0,0,星界
43,heraldryMainUI,0,91000001,91000002,91000031,750,597,125,100,0,0,0,纹章
44,climb_tower_mainUI,0,91000001,91000002,91000035,750,597,125,100,0,0,0,爬塔
45,gemInstance,0,91000001,91000002,91000003,750,597,125,100,0,0,0,魔龙关卡
46,climb_tower_elite,0,91000001,91000002,91000035,750,597,125,100,0,0,0,爬塔精英
47,recycle_rebirthUI,0,91000001,91000002,91000003,750,597,125,100,0,0,0,装备重生
48,playerInfoUI,0,91000001,91000002,91000003,750,597,125,100,0,0,0,领主信息
49,XianShiShenJiang,0,91000001,91000002,91000003,750,597,125,100,0,0,0,众神降临
50,newChapterUI,0,91000001,91000002,91000003,750,597,125,100,0,0,0,关卡总览
