group,total_level,item_id,value
1,1,21000012,2
1,2,21000012,3
1,3,21000012,4
1,4,21000012,5
1,5,21000012,6
1,6,21000012,7
1,7,21000012,8
1,8,21000012,9
1,9,21000012,10
1,10,21000012,11
1,11,21000012,12
1,12,21000012,13
1,13,21000012,14
1,14,21000012,15
1,15,21000012,16
1,16,21000012,21
1,17,21000012,26
1,18,21000012,31
1,19,21000012,39
1,20,21000012,48
1,21,21000012,56
1,22,21000012,69
1,23,21000012,83
1,24,21000012,96
1,25,21000012,110
1,26,21000012,120
1,27,21000012,140
1,28,21000012,150
1,29,21000012,160
1,30,21000012,180
1,31,21000012,190
1,32,21000012,200
1,33,21000012,220
1,34,21000012,230
1,35,21000012,240
1,36,21000012,260
1,37,21000012,270
1,38,21000012,280
1,39,21000012,300
1,40,21000012,310
1,41,21000012,320
1,42,21000012,340
1,43,21000012,350
1,44,21000012,360
1,45,21000012,380
1,46,21000012,390
1,47,21000012,400
1,48,21000012,420
1,49,21000012,430
1,50,21000012,440
1,51,21000012,460
1,52,21000012,470
1,53,21000012,490
1,54,21000012,500
1,55,21000012,510
1,56,21000012,530
1,57,21000012,540
1,58,21000012,550
1,59,21000012,570
1,60,21000012,580
1,61,21000012,590
1,62,21000012,610
1,63,21000012,620
1,64,21000012,630
1,65,21000012,650
1,66,21000012,660
1,67,21000012,670
1,68,21000012,690
1,69,21000012,700
1,70,21000012,710
1,71,21000012,730
1,72,21000012,740
1,73,21000012,750
1,74,21000012,770
1,75,21000012,780
1,76,21000012,790
1,77,21000012,810
1,78,21000012,820
1,79,21000012,830
1,80,21000012,850
1,81,21000012,860
1,82,21000012,870
1,83,21000012,890
1,84,21000012,900
1,85,21000012,910
1,86,21000012,930
1,87,21000012,940
1,88,21000012,970
1,89,21000012,990
1,90,21000012,1010
2,1,21000012,10
2,2,21000012,11
2,3,21000012,12
2,4,21000012,13
2,5,21000012,14
2,6,21000012,15
2,7,21000012,16
2,8,21000012,17
2,9,21000012,18
2,10,21000012,19
2,11,21000012,20
2,12,21000012,21
2,13,21000012,22
2,14,21000012,23
2,15,21000012,24
2,16,21000012,29
2,17,21000012,34
2,18,21000012,39
2,19,21000012,47
2,20,21000012,56
2,21,21000012,64
2,22,21000012,77
2,23,21000012,91
2,24,21000012,104
2,25,21000012,118
2,26,21000012,128
2,27,21000012,148
2,28,21000012,158
2,29,21000012,168
2,30,21000012,188
2,31,21000012,198
2,32,21000012,208
2,33,21000012,228
2,34,21000012,238
2,35,21000012,248
2,36,21000012,268
2,37,21000012,278
2,38,21000012,288
2,39,21000012,308
2,40,21000012,318
2,41,21000012,328
2,42,21000012,348
2,43,21000012,358
2,44,21000012,368
2,45,21000012,388
2,46,21000012,398
2,47,21000012,408
2,48,21000012,428
2,49,21000012,438
2,50,21000012,448
2,51,21000012,468
2,52,21000012,478
2,53,21000012,498
2,54,21000012,508
2,55,21000012,518
2,56,21000012,538
2,57,21000012,548
2,58,21000012,558
2,59,21000012,578
2,60,21000012,588
2,61,21000012,598
2,62,21000012,618
2,63,21000012,628
2,64,21000012,638
2,65,21000012,658
2,66,21000012,668
2,67,21000012,678
2,68,21000012,698
2,69,21000012,708
2,70,21000012,718
2,71,21000012,738
2,72,21000012,748
2,73,21000012,758
2,74,21000012,778
2,75,21000012,788
2,76,21000012,798
2,77,21000012,818
2,78,21000012,828
2,79,21000012,838
2,80,21000012,858
2,81,21000012,868
2,82,21000012,878
2,83,21000012,898
2,84,21000012,908
2,85,21000012,918
2,86,21000012,938
2,87,21000012,948
2,88,21000012,978
2,89,21000012,998
2,90,21000012,1018
3,1,21000012,50
3,2,21000012,51
3,3,21000012,52
3,4,21000012,53
3,5,21000012,54
3,6,21000012,55
3,7,21000012,56
3,8,21000012,57
3,9,21000012,58
3,10,21000012,59
3,11,21000012,60
3,12,21000012,61
3,13,21000012,62
3,14,21000012,63
3,15,21000012,64
3,16,21000012,69
3,17,21000012,74
3,18,21000012,79
3,19,21000012,87
3,20,21000012,96
3,21,21000012,104
3,22,21000012,117
3,23,21000012,131
3,24,21000012,144
3,25,21000012,158
3,26,21000012,168
3,27,21000012,188
3,28,21000012,198
3,29,21000012,208
3,30,21000012,228
3,31,21000012,238
3,32,21000012,248
3,33,21000012,268
3,34,21000012,278
3,35,21000012,288
3,36,21000012,308
3,37,21000012,318
3,38,21000012,328
3,39,21000012,348
3,40,21000012,358
3,41,21000012,368
3,42,21000012,388
3,43,21000012,398
3,44,21000012,408
3,45,21000012,428
3,46,21000012,438
3,47,21000012,448
3,48,21000012,468
3,49,21000012,478
3,50,21000012,488
3,51,21000012,508
3,52,21000012,518
3,53,21000012,538
3,54,21000012,548
3,55,21000012,558
3,56,21000012,578
3,57,21000012,588
3,58,21000012,598
3,59,21000012,618
3,60,21000012,628
3,61,21000012,638
3,62,21000012,658
3,63,21000012,668
3,64,21000012,678
3,65,21000012,698
3,66,21000012,708
3,67,21000012,718
3,68,21000012,738
3,69,21000012,748
3,70,21000012,758
3,71,21000012,778
3,72,21000012,788
3,73,21000012,798
3,74,21000012,818
3,75,21000012,828
3,76,21000012,838
3,77,21000012,858
3,78,21000012,868
3,79,21000012,878
3,80,21000012,898
3,81,21000012,908
3,82,21000012,918
3,83,21000012,938
3,84,21000012,948
3,85,21000012,958
3,86,21000012,978
3,87,21000012,988
3,88,21000012,1018
3,89,21000012,1038
3,90,21000012,1058
