viplevel,need_exp,totle_exp,Copper_freeaccess,Copper_buyaccess,physical_freeaccess,physical_buyaccess,shoprefresh1,shoprefresh2,shoprefresh3,shoprefresh4,shoprefresh5,sweep,beautyclick,resource_challenge,horse_higt_call,Time_Generals_num,consumetop_num,gems_mopping,gems_buy,jjc_buy1,jjc_buy2,pata_buy1,pata_buy2,pata_buy3,Growthtask_King1,Growthtask_King2,Crown_Fight,Army_buy,Dungeons_Reset,summon_des,summon_discount,summon_times,hero_reborn,gem_onekey,jjctime,visittime,proactive_freeaccess,proactive_buyaccess,Infantry_freeaccess,Infantry_buyaccess,elite,visit,jjc1,jjc2,jjc3,people,meethero,physical,alchemy1,alchemy2,alchemy3,Archer_freeaccess,Archer_buyaccess,cavalry_freeaccess,cavalry_buyaccess,honor_freeaccess,honor_buyaccess,sweep1,skillnumber,buyskill,continuousalchemy,profiteer,touristtrap,visit1,visit2,visit3,beauty,elite1,taxnum,hero_sent,treasure_clear,privilege1,privilege2,privilege3,privilege4,privilege5,privilege6,privilege7,privilege8,privilege9,privilege10,privilege11,privilege12,privilege13,privilege14,privilege15,privilege16,privilege17,privilege18,privilege19,privilege20,privilege21,privilege22,privilege23,privilege24,privilege25,privilege26,privilege27,privilege28,privilege29,privilege30,privilege31,privilege32,privilege33,privilege34,privilege35,beforenum,nownum,item1,num1,item2,num2,item3,num3,item4,num4,item5,num5,item6,num6,extend_group
0,0,0,3,5,0,2,30,5,5,5,20,0,0,0,1,20,10,1,0,10,99999,0,10,10,10,100,10,0,0,VIP3十连召唤5折/n（1次/日）,0,0,99999,0,0,0,0,0,1,1,0,99999,0,0,0,5,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,60,60,3,6,0,3,35,10,10,10,30,0,0,0,2,30,20,1,0,11,99999,0,11,11,10,120,20,5,0,VIP3十连召唤5折/n（1次/日）,0,0,99999,0,0,0,0,1,1,2,1,99999,1,1,1,5,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,累计充值[2]60元宝[0]即可享受该等级特权。（首次充值额外赠送元宝不增加贵族经验）,贵族1[2]双倍签到[0]奖励功能开放。[1]新特权~！[2],每日购买金币次数增加至[2]3[0]次。,每日购买体力次数增加至[2]3[0]次。,每日勋章商店刷新次数增加至[2]35[0]次。,每日军团商店刷新次数增加至[2]10[0]次。,每日秘境商店刷新次数增加至[2]10[0]次。,0,0,每日斗技商店刷新次数增加至[2]30[0]次。,每日星界额外高级召唤增加至[2]2[0]次。,每日限时神将购买次数增加至[2]30[0]次。,每日无双神将购买次数增加至[2]20[0]次。,0,0,竞技场挑战次数购买增加至[2]11[0]次。,0,0,镇魂塔精英副本次数增加至[2]11[0]次。,镇魂塔buff刷新次数增加至[2]11[0]次。,0,王国任务刷新次数增加至[2]120[0]次。,佣兵挑战购买次数增加至[2]5[0]次。,0,王座之战购买次数增加至[2]0[0]次。,0,0,0,0,0,0,0,0,0,0,2888,0,91000002,100,91000001,100000,30101000,50,81400601,10,0,0,0,0,0
2,240,300,3,7,0,4,40,15,15,15,50,1,0,0,3,30,25,1,0,12,99999,0,12,12,10,140,30,10,0,VIP9十连召唤5折/n（2次/日）,50,1,99999,0,0,0,0,2,1,3,1,99999,1,1,1,5,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,累计充值[2]300元宝[0]即可享受该等级特权。（首次充值额外赠送元宝不增加贵族经验）,贵族2[2]双倍签到[0]奖励功能开放。[1]新特权~！[2],每日购买金币次数增加至[2]4[0]次。,每日购买体力次数增加至[2]4[0]次。,每日勋章商店刷新次数增加至[2]40[0]次。,每日军团商店刷新次数增加至[2]15[0]次。,每日秘境商店刷新次数增加至[2]15[0]次。,剧情关卡[2]多次扫荡[0]功能开放。[1]新特权~！[2],0,每日斗技商店刷新次数增加至[2]50[0]次。,每日星界额外高级召唤增加至[2]3[0]次。,0,每日无双神将购买次数增加至[2]25[0]次。,0,0,竞技场挑战次数购买增加至[2]12[0]次。,0,0,镇魂塔精英副本次数增加至[2]12[0]次。,镇魂塔buff刷新次数增加至[2]12[0]次。,0,王国任务刷新次数增加至[2]140[0]次。,佣兵挑战购买次数增加至[2]10[0]次。,0,王座之战购买次数增加至[2]0[0]次。,十连召唤[2]5[0]折。,十连召唤打折次数增加至[2]1[0]次。,0,0,包含贵族1及以下所有内容。,0,0,0,0,0,3000,180,81400602,4,91000032,3000,30101000,100,91000001,200000,0,0,0,0,0
3,300,600,3,8,0,5,45,20,20,20,60,1,0,0,4,40,30,1,0,13,99999,0,13,13,10,160,40,15,0,VIP9十连召唤5折/n（2次/日）,50,1,99999,0,1,1,0,3,1,4,2,99999,2,2,2,5,3,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,累计充值[2]600元宝[0]即可享受该等级特权。（首次充值额外赠送元宝不增加贵族经验）,贵族3[2]双倍签到[0]奖励功能开放。[1]新特权~！[2],每日购买金币次数增加至[2]5[0]次。,每日购买体力次数增加至[2]5[0]次。,每日勋章商店刷新次数增加至[2]45[0]次。,每日军团商店刷新次数增加至[2]20[0]次。,每日秘境商店刷新次数增加至[2]20[0]次。,0,0,每日斗技商店刷新次数增加至[2]60[0]次。,每日星界额外高级召唤增加至[2]4[0]次。,每日限时神将购买次数增加至[2]40[0]次。,每日无双神将购买次数增加至[2]30[0]次。,0,0,竞技场挑战次数购买增加至[2]13[0]次。,0,0,镇魂塔精英副本次数增加至[2]13[0]次。,镇魂塔buff刷新次数增加至[2]13[0]次。,0,王国任务刷新次数增加至[2]160[0]次。,佣兵挑战购买次数增加至[2]15[0]次。,0,王座之战购买次数增加至[2]0[0]次。,0,0,0,开启斗技场失败不进入冷却,包含贵族2及以下所有内容。,0,0,0,0,0,4500,280,81400602,6,91000032,5000,30101000,200,91000001,300000,0,0,0,0,0
4,400,1000,3,9,0,6,50,20,20,20,70,1,0,0,5,40,35,1,0,14,99999,0,14,14,10,180,50,20,0,VIP9十连召唤5折/n（2次/日）,50,1,99999,0,1,1,0,4,1,5,2,99999,2,2,2,5,3,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,累计充值[2]1000元宝[0]即可享受该等级特权。（首次充值额外赠送元宝不增加贵族经验）,贵族4[2]双倍签到[0]奖励功能开放。[1]新特权~！[2],每日购买金币次数增加至[2]6[0]次。,每日购买体力次数增加至[2]6[0]次。,每日勋章商店刷新次数增加至[2]50[0]次。,0,0,0,0,每日斗技商店刷新次数增加至[2]70[0]次。,每日星界额外高级召唤增加至[2]5[0]次。,0,每日无双神将购买次数增加至[2]35[0]次。,0,0,竞技场挑战次数购买增加至[2]14[0]次。,0,0,镇魂塔精英副本次数增加至[2]14[0]次。,镇魂塔buff刷新次数增加至[2]14[0]次。,0,王国任务刷新次数增加至[2]180[0]次。,佣兵挑战购买次数增加至[2]20[0]次。,0,王座之战购买次数增加至[2]0[0]次。,0,0,0,0,包含贵族3及以下所有内容。,0,0,0,0,0,5000,480,81400602,10,79500101,30,80500101,30,80000011,30,91000001,500000,0,0,0
5,1000,2000,3,10,0,7,55,25,25,25,80,1,0,0,6,50,40,1,0,15,99999,0,15,15,10,200,60,30,1,VIP9十连召唤5折/n（2次/日）,50,1,99999,0,1,1,0,5,1,6,3,99999,3,3,3,5,4,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,累计充值[2]2000元宝[0]即可享受该等级特权。（首次充值额外赠送元宝不增加贵族经验）,贵族5[2]双倍签到[0]奖励功能开放。[1]新特权~！[2],每日购买金币次数增加至[2]7[0]次。,每日购买体力次数增加至[2]7[0]次。,每日勋章商店刷新次数增加至[2]55[0]次。,每日军团商店刷新次数增加至[2]25[0]次。,每日秘境商店刷新次数增加至[2]25[0]次。,0,0,每日斗技商店刷新次数增加至[2]80[0]次。,每日星界额外高级召唤增加至[2]6[0]次。,每日限时神将购买次数增加至[2]50[0]次。,每日无双神将购买次数增加至[2]40[0]次。,0,0,竞技场挑战次数购买增加至[2]15[0]次。,0,0,镇魂塔精英副本次数增加至[2]15[0]次。,镇魂塔buff刷新次数增加至[2]15[0]次。,0,王国任务刷新次数增加至[2]200[0]次。,佣兵挑战购买次数增加至[2]30[0]次。,地下城重置次数增加至[2]1[0]次。,王座之战购买次数增加至[2]1[0]次。,0,0,0,0,包含贵族4及以下所有内容。,0,0,0,0,0,6500,680,12300301,60,30101000,500,91000032,15000,91000001,600000,0,0,0,0,0
6,1000,3000,3,12,0,9,60,25,25,25,90,1,0,0,8,60,45,1,0,16,99999,0,16,16,10,220,70,40,1,VIP9十连召唤5折/n（2次/日）,50,1,99999,0,1,1,0,6,1,7,3,99999,4,4,4,5,4,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,累计充值[2]3000元宝[0]即可享受该等级特权。（首次充值额外赠送元宝不增加贵族经验）,贵族6[2]双倍签到[0]奖励功能开放。[1]新特权~！[2],每日购买金币次数增加至[2]9[0]次。,每日购买体力次数增加至[2]9[0]次。,每日勋章商店刷新次数增加至[2]60[0]次。,0,0,0,0,每日斗技商店刷新次数增加至[2]90[0]次。,每日星界额外高级召唤增加至[2]8[0]次。,每日限时神将购买次数增加至[2]60[0]次。,每日无双神将购买次数增加至[2]45[0]次。,0,0,竞技场挑战次数购买增加至[2]16[0]次。,0,0,镇魂塔精英副本次数增加至[2]16[0]次。,镇魂塔buff刷新次数增加至[2]16[0]次。,0,王国任务刷新次数增加至[2]220[0]次。,佣兵挑战购买次数增加至[2]40[0]次。,0,王座之战购买次数增加至[2]1[0]次。,0,0,0,0,包含贵族5及以下所有内容。,0,0,0,0,0,16000,880,12300301,60,20001003,1,91000032,15000,91000001,800000,0,0,0,0,0
7,2000,5000,3,33,0,20,80,50,50,30,100,1,1,0,20,120,50,1,0,17,99999,0,17,17,10,240,80,50,1,VIP13十连召唤5折/n（3次/日）,50,2,99999,0,1,1,0,20,1,20,10,99999,4,4,4,5,4,0,0,0,0,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,累计充值[2]5000元宝[0]即可享受该等级特权。（首次充值额外赠送元宝不增加贵族经验）,贵族7[2]双倍签到[0]奖励功能开放。[1]新特权~！[2],每日购买金币次数增加至[2]30[0]次。,每日购买体力次数增加至[2]20[0]次。,每日勋章商店刷新次数增加至[2]80[0]次。,每日军团商店刷新次数增加至[2]50[0]次。,每日秘境商店刷新次数增加至[2]30[0]次。,0,"圣物和圣物部件进阶[2]快速进阶[0]功能开放,[2]快速进阶[0]可用[2]钻石兑换材料[0]。[1]新特权~！[2]",每日斗技商店刷新次数增加至[2]100[0]次。,每日星界额外高级召唤增加至[2]20[0]次。,每日限时神将购买次数增加至[2]120[0]次。,每日无双神将购买次数增加至[2]50[0]次。,0,0,竞技场挑战次数购买增加至[2]17[0]次。,0,0,镇魂塔精英副本次数增加至[2]17[0]次。,镇魂塔buff刷新次数增加至[2]17[0]次。,0,王国任务刷新次数增加至[2]240[0]次。,佣兵挑战购买次数增加至[2]50[0]次。,0,王座之战购买次数增加至[2]1[0]次。,0,十连召唤打折次数增加至[2]2[0]次。,0,0,包含贵族6及以下所有内容。,0,0,0,0,0,18000,1280,42300304,1,79500101,50,80500101,50,91000032,20000,91000001,1000000,0,0,0
8,2000,7000,3,63,0,30,90,60,60,30,110,1,1,0,30,500,500,1,0,18,99999,0,18,18,10,260,90,60,2,VIP13十连召唤5折/n（3次/日）,50,2,99999,0,1,1,0,30,1,30,10,99999,5,5,5,5,4,0,0,0,0,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,累计充值[2]7000元宝[0]即可享受该等级特权。（首次充值额外赠送元宝不增加贵族经验）,贵族8[2]双倍签到[0]奖励功能开放。[1]新特权~！[2],每日购买金币次数增加至[2]60[0]次。,每日购买体力次数增加至[2]30[0]次。,每日勋章商店刷新次数增加至[2]90[0]次。,每日军团商店刷新次数增加至[2]60[0]次。,0,0,0,每日斗技商店刷新次数增加至[2]110[0]次。,每日星界额外高级召唤增加至[2]30[0]次。,每日限时神将购买次数增加至[2]500[0]次。,每日无双神将购买次数增加至[2]500[0]次。,0,0,竞技场挑战次数购买增加至[2]18[0]次。,0,0,镇魂塔精英副本次数增加至[2]18[0]次。,镇魂塔buff刷新次数增加至[2]18[0]次。,0,王国任务刷新次数增加至[2]260[0]次。,佣兵挑战购买次数增加至[2]60[0]次。,地下城重置次数增加至[2]2[0]次。,王座之战购买次数增加至[2]2[0]次。,0,0,0,0,包含贵族7及以下所有内容。,0,0,0,0,0,23000,1680,20001004,1,20001002,1,20001001,1,20001005,1,20001006,1,0,0,0
9,3000,10000,3,123,0,40,100,70,70,40,120,1,1,0,40,500,500,1,0,19,99999,0,19,19,10,280,100,70,2,VIP13十连召唤5折/n（3次/日）,50,2,99999,1,1,1,0,40,1,40,10,99999,5,5,5,5,4,0,0,0,0,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,累计充值[2]10000元宝[0]即可享受该等级特权。（首次充值额外赠送元宝不增加贵族经验）,贵族9[2]双倍签到[0]奖励功能开放。[1]新特权~！[2],每日购买金币次数增加至[2]120[0]次。,每日购买体力次数增加至[2]40[0]次。,每日勋章商店刷新次数增加至[2]100[0]次。,每日军团商店刷新次数增加至[2]70[0]次。,每日秘境商店刷新次数增加至[2]40[0]次。,0,0,每日斗技商店刷新次数增加至[2]120[0]次。,每日星界额外高级召唤增加至[2]40[0]次。,0,0,0,0,竞技场挑战次数购买增加至[2]19[0]次。,0,0,镇魂塔精英副本次数增加至[2]19[0]次。,镇魂塔buff刷新次数增加至[2]19[0]次。,0,王国任务刷新次数增加至[2]280[0]次。,佣兵挑战购买次数增加至[2]70[0]次。,0,王座之战购买次数增加至[2]2[0]次。,0,0,开启钻石快速合成宝石功能,0,包含贵族8及以下所有内容。,0,0,0,0,0,39000,2280,12200701,60,30101000,800,10101005,1,0,0,0,0,0,0,0
