id,lv,type,cost_item1,cost_num1,cost_item2,cost_num2,min,max,crtchance,crtnum,encpoints
1,1,1,79000001,1,91000002,20,30,50,3600,100,100
2,2,1,79000001,1,91000002,20,30,50,3550,100,100
3,3,1,79000001,1,91000002,20,30,50,3500,100,100
4,4,1,79000001,1,91000002,20,30,50,3450,100,100
5,5,1,79000001,1,91000002,20,30,50,3400,100,100
6,6,1,79000001,1,91000002,20,30,50,3350,100,100
7,7,1,79000001,1,91000002,20,30,50,3300,100,100
8,8,1,79000001,1,91000002,20,30,50,3250,100,100
9,9,1,79000001,1,91000002,20,30,50,3200,100,100
10,10,1,79000001,1,91000002,20,30,50,3150,100,100
11,11,1,79000001,1,91000002,20,30,50,3100,100,100
12,12,1,79000001,1,91000002,20,30,50,3050,100,100
13,13,1,79000001,1,91000002,20,30,50,3000,100,100
14,14,1,79000001,1,91000002,20,30,50,2950,100,100
15,15,1,79000001,1,91000002,20,30,50,2900,100,100
16,16,1,79000001,1,91000002,20,30,50,2850,100,100
17,17,1,79000001,1,91000002,20,30,50,2800,100,100
18,18,1,79000001,1,91000002,20,30,50,2750,100,100
19,19,1,79000001,1,91000002,20,30,50,2700,100,100
20,20,1,79000001,1,91000002,20,30,50,2650,100,100
21,21,1,79000001,1,91000002,20,30,50,2600,100,100
22,22,1,79000001,1,91000002,20,30,50,2550,100,100
23,23,1,79000001,1,91000002,20,30,50,2500,100,100
24,24,1,79000001,1,91000002,20,30,50,2450,100,100
25,25,1,79000001,1,91000002,20,30,50,2400,100,100
26,26,1,79000001,1,91000002,20,30,50,2350,100,100
27,27,1,79000001,1,91000002,20,30,50,2300,100,100
28,28,1,79000001,1,91000002,20,30,50,2250,100,100
29,29,1,79000001,1,91000002,20,30,50,2200,100,100
30,30,1,79000001,1,91000002,20,30,50,2150,100,100
31,31,1,79000001,1,91000002,20,30,50,2100,100,100
32,32,1,79000001,1,91000002,20,30,50,2050,100,100
33,33,1,79000001,1,91000002,20,30,50,2000,100,100
34,34,1,79000001,1,91000002,20,30,50,1950,100,100
35,35,1,79000001,1,91000002,20,30,50,1900,100,100
36,36,1,79000001,1,91000002,20,30,50,1850,100,100
37,37,1,79000001,1,91000002,20,30,50,1800,100,100
38,38,1,79000001,1,91000002,20,30,50,1750,100,100
39,39,1,79000001,1,91000002,20,30,50,1700,100,100
40,40,1,79000001,1,91000002,20,30,50,1650,100,100
41,41,1,79000001,1,91000002,20,30,50,1600,100,100
42,42,1,79000001,1,91000002,20,30,50,1550,100,100
43,43,1,79000001,1,91000002,20,30,50,1500,100,100
44,44,1,79000001,1,91000002,20,30,50,1450,100,100
45,45,1,79000001,1,91000002,20,30,50,1400,100,100
46,46,1,79000001,1,91000002,20,30,50,1350,100,100
47,47,1,79000001,1,91000002,20,30,50,1300,100,100
48,48,1,79000001,1,91000002,20,30,50,1250,100,100
49,49,1,79000001,1,91000002,20,30,50,1200,100,100
50,50,1,79000001,1,91000002,20,30,50,1150,100,100
51,51,1,79000001,1,91000002,20,30,50,1100,100,100
52,52,1,79000001,1,91000002,20,30,50,1050,100,100
53,53,1,79000001,1,91000002,20,30,50,1000,100,100
54,54,1,79000001,1,91000002,20,30,50,950,100,100
55,55,1,79000001,1,91000002,20,30,50,900,100,100
56,56,1,79000001,1,91000002,20,30,50,850,100,100
57,57,1,79000001,1,91000002,20,30,50,800,100,100
58,58,1,79000001,1,91000002,20,30,50,750,100,100
59,59,1,79000001,1,91000002,20,30,50,700,100,100
60,60,1,79000001,1,91000002,20,30,50,650,100,100
61,1,2,79000001,1,91000002,20,30,50,3600,100,100
62,2,2,79000001,1,91000002,20,30,50,3550,100,100
63,3,2,79000001,1,91000002,20,30,50,3500,100,100
64,4,2,79000001,1,91000002,20,30,50,3450,100,100
65,5,2,79000001,1,91000002,20,30,50,3400,100,100
66,6,2,79000001,1,91000002,20,30,50,3350,100,100
67,7,2,79000001,1,91000002,20,30,50,3300,100,100
68,8,2,79000001,1,91000002,20,30,50,3250,100,100
69,9,2,79000001,1,91000002,20,30,50,3200,100,100
70,10,2,79000001,1,91000002,20,30,50,3150,100,100
71,11,2,79000001,1,91000002,20,30,50,3100,100,100
72,12,2,79000001,1,91000002,20,30,50,3050,100,100
73,13,2,79000001,1,91000002,20,30,50,3000,100,100
74,14,2,79000001,1,91000002,20,30,50,2950,100,100
75,15,2,79000001,1,91000002,20,30,50,2900,100,100
76,16,2,79000001,1,91000002,20,30,50,2850,100,100
77,17,2,79000001,1,91000002,20,30,50,2800,100,100
78,18,2,79000001,1,91000002,20,30,50,2750,100,100
79,19,2,79000001,1,91000002,20,30,50,2700,100,100
80,20,2,79000001,1,91000002,20,30,50,2650,100,100
81,21,2,79000001,1,91000002,20,30,50,2600,100,100
82,22,2,79000001,1,91000002,20,30,50,2550,100,100
83,23,2,79000001,1,91000002,20,30,50,2500,100,100
84,24,2,79000001,1,91000002,20,30,50,2450,100,100
85,25,2,79000001,1,91000002,20,30,50,2400,100,100
86,26,2,79000001,1,91000002,20,30,50,2350,100,100
87,27,2,79000001,1,91000002,20,30,50,2300,100,100
88,28,2,79000001,1,91000002,20,30,50,2250,100,100
89,29,2,79000001,1,91000002,20,30,50,2200,100,100
90,30,2,79000001,1,91000002,20,30,50,2150,100,100
91,31,2,79000001,1,91000002,20,30,50,2100,100,100
92,32,2,79000001,1,91000002,20,30,50,2050,100,100
93,33,2,79000001,1,91000002,20,30,50,2000,100,100
94,34,2,79000001,1,91000002,20,30,50,1950,100,100
95,35,2,79000001,1,91000002,20,30,50,1900,100,100
96,36,2,79000001,1,91000002,20,30,50,1850,100,100
97,37,2,79000001,1,91000002,20,30,50,1800,100,100
98,38,2,79000001,1,91000002,20,30,50,1750,100,100
99,39,2,79000001,1,91000002,20,30,50,1700,100,100
100,40,2,79000001,1,91000002,20,30,50,1650,100,100
101,41,2,79000001,1,91000002,20,30,50,1600,100,100
102,42,2,79000001,1,91000002,20,30,50,1550,100,100
103,43,2,79000001,1,91000002,20,30,50,1500,100,100
104,44,2,79000001,1,91000002,20,30,50,1450,100,100
105,45,2,79000001,1,91000002,20,30,50,1400,100,100
106,46,2,79000001,1,91000002,20,30,50,1350,100,100
107,47,2,79000001,1,91000002,20,30,50,1300,100,100
108,48,2,79000001,1,91000002,20,30,50,1250,100,100
109,49,2,79000001,1,91000002,20,30,50,1200,100,100
110,50,2,79000001,1,91000002,20,30,50,1150,100,100
111,51,2,79000001,1,91000002,20,30,50,1100,100,100
112,52,2,79000001,1,91000002,20,30,50,1050,100,100
113,53,2,79000001,1,91000002,20,30,50,1000,100,100
114,54,2,79000001,1,91000002,20,30,50,950,100,100
115,55,2,79000001,1,91000002,20,30,50,900,100,100
116,56,2,79000001,1,91000002,20,30,50,850,100,100
117,57,2,79000001,1,91000002,20,30,50,800,100,100
118,58,2,79000001,1,91000002,20,30,50,750,100,100
119,59,2,79000001,1,91000002,20,30,50,700,100,100
120,60,2,79000001,1,91000002,20,30,50,650,100,100
121,1,3,79000001,1,91000002,20,30,50,3600,100,100
122,2,3,79000001,1,91000002,20,30,50,3550,100,100
123,3,3,79000001,1,91000002,20,30,50,3500,100,100
124,4,3,79000001,1,91000002,20,30,50,3450,100,100
125,5,3,79000001,1,91000002,20,30,50,3400,100,100
126,6,3,79000001,1,91000002,20,30,50,3350,100,100
127,7,3,79000001,1,91000002,20,30,50,3300,100,100
128,8,3,79000001,1,91000002,20,30,50,3250,100,100
129,9,3,79000001,1,91000002,20,30,50,3200,100,100
130,10,3,79000001,1,91000002,20,30,50,3150,100,100
131,11,3,79000001,1,91000002,20,30,50,3100,100,100
132,12,3,79000001,1,91000002,20,30,50,3050,100,100
133,13,3,79000001,1,91000002,20,30,50,3000,100,100
134,14,3,79000001,1,91000002,20,30,50,2950,100,100
135,15,3,79000001,1,91000002,20,30,50,2900,100,100
136,16,3,79000001,1,91000002,20,30,50,2850,100,100
137,17,3,79000001,1,91000002,20,30,50,2800,100,100
138,18,3,79000001,1,91000002,20,30,50,2750,100,100
139,19,3,79000001,1,91000002,20,30,50,2700,100,100
