id,npctype,teamshow,teamname,typeweight,timesprotect,npclvtable,npcicon,npcmod1,heronpc1,armmod1,heronpc2,armmod2,heronpc3,armmod3,heronpc4,armmod4,heronpc5,armmod5,behemoth,base_type1,base_value1,base_type2,base_value2,base_type3,base_value3,base_type4,base_value4,base_type5,base_value5,base_type6,base_value6,base_type7,base_value7,base_type8,base_value8,base_type9,base_value9,base_type10,base_value10,npcteam,typesub
1,1,1,重甲骑士,1,0,0,1002,1002,1002,0,2006,0,3005,0,4003,0,2002,0,5001,11,0,12,0,6,3000,7,3000,8,10,9,3000,10,10,0,0,0,0,0,0,1,1
2,1,1,追猎者,1,0,0,3008,3008,3008,0,4007,0,1008,0,1009,0,1007,0,5001,11,0,12,0,6,3000,7,3000,8,10,9,3000,10,10,0,0,0,0,0,0,3,1
3,1,1,神射手,1,0,0,3002,3002,3002,0,3012,0,1005,0,2004,0,3010,0,5001,11,0,12,0,6,3000,7,3000,8,10,9,3000,10,10,0,0,0,0,0,0,2,2
4,1,1,雷霆守卫,1,0,0,4002,4002,4002,0,4005,0,2005,0,1007,0,1005,0,5001,11,0,12,0,6,3000,7,3000,8,10,9,3000,10,10,0,0,0,0,0,0,1,2
5,1,1,元素法师,1,0,0,3011,3011,3011,0,2010,0,3001,0,3004,0,4010,0,5001,11,0,12,0,6,3000,7,3000,8,10,9,3000,10,10,0,0,0,0,0,0,3,3
6,1,1,生命祭司,1,0,0,4008,4008,4008,0,1003,0,3003,0,4003,0,4009,0,5001,11,0,12,0,6,3000,7,3000,8,10,9,3000,10,10,0,0,0,0,0,0,2,3
7,1,1,精锐剑士,1,0,0,3005,3005,3005,0,1001,0,2006,0,1004,0,1002,0,5001,11,0,12,0,6,6000,7,6000,8,10,9,6000,10,10,0,0,0,0,0,0,1,1
8,1,1,鲜血法师,1,0,0,4007,4007,4007,0,4004,0,1009,0,1007,0,3006,0,5001,11,0,12,0,6,6000,7,6000,8,10,9,6000,10,10,0,0,0,0,0,0,3,1
9,1,1,死亡骑士,1,0,0,2001,2001,2001,0,3007,0,4007,0,2003,0,4011,0,5001,11,0,12,0,6,6000,7,6000,8,10,9,6000,10,10,0,0,0,0,0,0,2,1
10,1,1,神圣牧师,1,0,0,2011,2011,2011,0,1003,0,4003,0,2009,0,2002,0,5001,11,0,12,0,6,6000,7,6000,8,10,9,6000,10,10,0,0,0,0,0,0,1,1
11,1,1,精英刺客,1,0,0,1011,1011,1011,0,1010,0,4001,0,4009,0,3002,0,5001,11,0,12,0,6,6000,7,6000,8,10,9,6000,10,10,0,0,0,0,0,0,3,2
12,1,1,御林铁卫,1,0,0,2010,2010,2010,0,4005,0,2005,0,4004,0,1007,0,5001,11,0,12,0,6,6000,7,6000,8,10,9,6000,10,10,0,0,0,0,0,0,2,2
13,2,1,孤山夺宝（普通）,1,0,0,2006,2006,1002,0,2006,0,3005,0,4003,0,2002,0,5001,11,0,12,0,6,3000,7,3000,8,10,9,3000,10,10,0,0,0,0,0,0,1,1
14,2,1,孤山夺宝（普通）,1,0,0,3007,3007,3008,0,4007,0,1008,0,1009,0,1007,0,5001,11,0,12,0,6,3000,7,3000,8,10,9,3000,10,10,0,0,0,0,0,0,1,1
15,2,1,孤山夺宝（普通）,1,0,0,4005,4005,3002,0,3012,0,1005,0,2004,0,3010,0,5001,11,0,12,0,6,3000,7,3000,8,10,9,3000,10,10,0,0,0,0,0,0,1,1
16,2,1,孤山夺宝（普通）,1,0,0,4010,4010,4002,0,4005,0,2005,0,1007,0,1005,0,5001,11,0,12,0,6,3000,7,3000,8,10,9,3000,10,10,0,0,0,0,0,0,1,1
17,2,1,孤山夺宝（普通）,1,0,0,3002,3002,3011,0,2010,0,3001,0,3004,0,4010,0,5001,11,0,12,0,6,3000,7,3000,8,10,9,3000,10,10,0,0,0,0,0,0,1,1
18,2,1,孤山夺宝（普通）,1,0,0,2004,2004,4008,0,1003,0,3003,0,4003,0,4009,0,5001,11,0,12,0,6,3000,7,3000,8,10,9,3000,10,10,0,0,0,0,0,0,1,1
19,2,1,孤山夺宝（普通）,1,0,0,2008,2008,3005,0,1001,0,2006,0,1004,0,1002,0,5001,11,0,12,0,6,3000,7,3000,8,10,9,3000,10,10,0,0,0,0,0,0,1,1
20,2,1,孤山夺宝（普通）,1,0,0,1007,1007,4007,0,4004,0,1009,0,1007,0,3006,0,5001,11,0,12,0,6,3000,7,3000,8,10,9,3000,10,10,0,0,0,0,0,0,1,1
21,2,1,孤山夺宝（普通）,1,0,0,4005,4005,2001,0,3007,0,4007,0,2003,0,4011,0,5001,11,0,12,0,6,3000,7,3000,8,10,9,3000,10,10,0,0,0,0,0,0,1,1
22,2,1,孤山夺宝（普通）,1,0,0,5007,5007,2011,0,1003,0,4003,0,2009,0,2002,0,5001,11,0,12,0,6,3000,7,3000,8,10,9,3000,10,10,0,0,0,0,0,0,1,1
23,3,2,孤山夺宝（精英）,1,0,0,2006,2006,1011,0,1010,0,4001,0,4009,0,3002,0,5002,11,0,12,0,6,6000,7,6000,8,10,9,6000,10,10,0,0,0,0,0,0,1,1
24,3,2,孤山夺宝（精英）,1,0,0,3007,3007,2010,0,4005,0,2005,0,4004,0,1007,0,5002,11,0,12,0,6,6000,7,6000,8,10,9,6000,10,10,0,0,0,0,0,0,1,1
25,3,2,孤山夺宝（精英）,1,0,0,4005,4005,1002,0,2006,0,3005,0,4003,0,2002,0,5002,11,0,12,0,6,6000,7,6000,8,10,9,6000,10,10,0,0,0,0,0,0,1,1
26,3,2,孤山夺宝（精英）,1,0,0,4010,4010,3008,0,4007,0,1008,0,1009,0,1007,0,5002,11,0,12,0,6,6000,7,6000,8,10,9,6000,10,10,0,0,0,0,0,0,1,1
27,3,2,孤山夺宝（精英）,1,0,0,3002,3002,3002,0,3012,0,1005,0,2004,0,3010,0,5002,11,0,12,0,6,6000,7,6000,8,10,9,6000,10,10,0,0,0,0,0,0,1,1
28,3,2,孤山夺宝（精英）,1,0,0,2004,2004,4002,0,4005,0,2005,0,1007,0,1005,0,5002,11,0,12,0,6,6000,7,6000,8,10,9,6000,10,10,0,0,0,0,0,0,1,1
29,3,2,孤山夺宝（精英）,1,0,0,2008,2008,3011,0,2010,0,3001,0,3004,0,4010,0,5002,11,0,12,0,6,6000,7,6000,8,10,9,6000,10,10,0,0,0,0,0,0,1,1
30,3,2,孤山夺宝（精英）,1,0,0,1007,1007,4008,0,1003,0,3003,0,4003,0,4009,0,5002,11,0,12,0,6,6000,7,6000,8,10,9,6000,10,10,0,0,0,0,0,0,1,1
31,3,2,孤山夺宝（精英）,1,0,0,4005,4005,3005,0,1001,0,2006,0,1004,0,1002,0,5002,11,0,12,0,6,6000,7,6000,8,10,9,6000,10,10,0,0,0,0,0,0,1,1
32,3,2,孤山夺宝（精英）,1,0,0,5007,5007,4007,0,4004,0,1009,0,1007,0,3006,0,5002,11,0,12,0,6,6000,7,6000,8,10,9,6000,10,10,0,0,0,0,0,0,1,1
33,4,3,孤山夺宝（魔王）,1,0,0,2006,2006,2001,0,3007,0,4007,0,2003,0,4011,0,5005,11,0,12,0,6,9000,7,9000,8,10,9,9000,10,10,0,0,0,0,0,0,1,1
34,4,3,孤山夺宝（魔王）,1,0,0,3007,3007,2011,0,1003,0,4003,0,2009,0,2002,0,5005,11,0,12,0,6,9000,7,9000,8,10,9,9000,10,10,0,0,0,0,0,0,1,1
35,4,3,孤山夺宝（魔王）,1,0,0,4005,4005,1011,0,1010,0,4001,0,4009,0,3002,0,5005,11,0,12,0,6,9000,7,9000,8,10,9,9000,10,10,0,0,0,0,0,0,1,1
36,4,3,孤山夺宝（魔王）,1,0,0,4010,4010,2010,0,4005,0,2005,0,4004,0,1007,0,5005,11,0,12,0,6,9000,7,9000,8,10,9,9000,10,10,0,0,0,0,0,0,1,1
37,4,3,孤山夺宝（魔王）,1,0,0,3002,3002,1002,0,2006,0,3005,0,4003,0,2002,0,5005,11,0,12,0,6,9000,7,9000,8,10,9,9000,10,10,0,0,0,0,0,0,1,1
38,4,3,孤山夺宝（魔王）,1,0,0,2004,2004,3008,0,4007,0,1008,0,1009,0,1007,0,5005,11,0,12,0,6,9000,7,9000,8,10,9,9000,10,10,0,0,0,0,0,0,1,1
39,4,3,孤山夺宝（魔王）,1,0,0,2008,2008,3002,0,3012,0,1005,0,2004,0,3010,0,5005,11,0,12,0,6,9000,7,9000,8,10,9,9000,10,10,0,0,0,0,0,0,1,1
40,4,3,孤山夺宝（魔王）,1,0,0,1007,1007,4002,0,4005,0,2005,0,1007,0,1005,0,5005,11,0,12,0,6,9000,7,9000,8,10,9,9000,10,10,0,0,0,0,0,0,1,1
41,4,3,孤山夺宝（魔王）,1,0,0,4005,4005,3011,0,2010,0,3001,0,3004,0,4010,0,5005,11,0,12,0,6,9000,7,9000,8,10,9,9000,10,10,0,0,0,0,0,0,1,1
42,4,3,孤山夺宝（魔王）,1,0,0,5007,5007,4008,0,1003,0,3003,0,4003,0,4009,0,5005,11,0,12,0,6,9000,7,9000,8,10,9,9000,10,10,0,0,0,0,0,0,1,1
43,5,3,孤山夺宝（龙王）,1,0,0,5007,5007,3005,0,1001,0,2006,0,1004,0,1002,0,5007,11,0,12,0,6,12000,7,12000,8,10,9,12000,10,10,0,0,0,0,0,0,1,1
44,5,3,孤山夺宝（龙王）,1,0,0,5007,5007,4007,0,4004,0,1009,0,1007,0,3006,0,5007,11,0,12,0,6,12000,7,12000,8,10,9,12000,10,10,0,0,0,0,0,0,1,1
45,5,3,孤山夺宝（龙王）,1,0,0,5007,5007,2001,0,3007,0,4007,0,2003,0,4011,0,5001,11,0,12,0,6,12000,7,12000,8,10,9,12000,10,10,0,0,0,0,0,0,1,1
