id,step,personaltype,personaljudge,personalnum,txt,item1,num1,item2,num2,item3,num3,item4,num4
1001,0,0,0,0,0,91000001,10000,91000002,500,91000018,5000,0,0
1002,0,0,0,0,0,91000001,10000,91000002,500,91000018,5000,0,0
1003,0,0,0,0,0,91000001,10000,91000002,500,91000018,5000,0,0
1004,0,0,0,0,0,91000001,10000,91000002,500,91000018,5000,0,0
1005,0,0,0,0,0,91000001,10000,91000002,500,91000018,5000,0,0
2001,1,2,0,50,在国战中单挑50次,91000001,10000,91000002,50,91000018,500,0,0
2001,2,1,0,100,在国战中击杀100支部队,91000001,10000,91000002,50,91000018,500,0,0
2001,3,2,0,150,在国战中单挑150次,91000001,10000,91000002,50,91000018,500,0,0
2001,4,1,0,200,在国战中击杀200支部队,91000001,10000,91000002,50,91000018,500,0,0
2002,1,1,0,50,在国战中击杀50支部队,91000001,10000,91000002,50,91000018,500,0,0
2002,2,2,0,100,在国战中单挑100次,91000001,10000,91000002,50,91000018,500,0,0
2002,3,1,0,150,在国战中击杀150支部队,91000001,10000,91000002,50,91000018,500,0,0
2002,4,2,0,200,在国战中单挑200次,91000001,10000,91000002,50,91000018,500,0,0
2003,1,1,0,50,在国战中击杀50支部队,91000001,10000,91000002,50,91000018,500,0,0
2003,2,1,0,100,在国战中击杀100支部队,91000001,10000,91000002,50,91000018,500,0,0
2003,3,1,0,150,在国战中击杀150支部队,91000001,10000,91000002,50,91000018,500,0,0
2003,4,1,0,200,在国战中击杀200支部队,91000001,10000,91000002,50,91000018,500,0,0
2004,1,2,0,50,在国战中单挑50次,91000001,10000,91000002,50,91000018,500,0,0
2004,2,2,0,100,在国战中单挑100次,91000001,10000,91000002,50,91000018,500,0,0
2004,3,2,0,150,在国战中单挑150次,91000001,10000,91000002,50,91000018,500,0,0
2004,4,2,0,200,在国战中单挑200次,91000001,10000,91000002,50,91000018,500,0,0
2005,1,3,0,50,在国战中单挑获胜50次,91000001,10000,91000002,50,91000018,500,0,0
2005,2,3,0,100,在国战中单挑获胜100次,91000001,10000,91000002,50,91000018,500,0,0
2005,3,3,0,150,在国战中单挑获胜150次,91000001,10000,91000002,50,91000018,500,0,0
2005,4,3,0,200,在国战中单挑获胜200次,91000001,10000,91000002,50,91000018,500,0,0
