citysize,item1,num1,condition1,item2,num2,condition2,item3,num3,condition3,position,name,number,addition,reduce,limit1,icon1,limit2,icon2,limit3,icon3,limitspecial,iconspecial,repress
1,91000018,132,1,91000031,624,15,0,0,0,101,城守,1,200,130,5000,bg_yuanzheng_icon_9,25000,icon_yelian_01,0,0,20,icon_cc_01,3
1,91000018,132,1,91000031,624,15,0,0,0,102,城副,4,150,100,5000,bg_yuanzheng_icon_9,25000,icon_yelian_01,0,0,20,icon_cc_01,3
1,91000018,132,1,91000031,624,15,0,0,0,103,城卫,15,100,80,5000,bg_yuanzheng_icon_9,25000,icon_yelian_01,0,0,20,icon_cc_01,3
1,91000018,132,1,91000031,624,15,0,0,0,201,主将,1,300,300,5000,bg_yuanzheng_icon_9,25000,icon_yelian_01,0,0,20,icon_cc_01,3
1,91000018,132,1,91000031,624,15,0,0,0,202,辅将,19,200,200,5000,bg_yuanzheng_icon_9,25000,icon_yelian_01,0,0,20,icon_cc_01,3
2,91000018,108,1,91000031,516,15,0,0,0,101,城守,1,200,130,5000,bg_yuanzheng_icon_9,25000,icon_yelian_01,0,0,20,icon_cc_01,2
2,91000018,108,1,91000031,516,15,0,0,0,102,城副,3,150,100,5000,bg_yuanzheng_icon_9,25000,icon_yelian_01,0,0,20,icon_cc_01,2
2,91000018,108,1,91000031,516,15,0,0,0,103,城卫,26,100,80,5000,bg_yuanzheng_icon_9,25000,icon_yelian_01,0,0,20,icon_cc_01,2
2,91000018,108,1,91000031,516,15,0,0,0,201,主将,1,300,300,5000,bg_yuanzheng_icon_9,25000,icon_yelian_01,0,0,20,icon_cc_01,2
2,91000018,108,1,91000031,516,15,0,0,0,202,辅将,29,200,200,5000,bg_yuanzheng_icon_9,25000,icon_yelian_01,0,0,20,icon_cc_01,2
3,91000018,108,1,91000031,516,15,0,0,0,101,城守,1,200,130,5000,bg_yuanzheng_icon_9,25000,icon_yelian_01,0,0,20,icon_cc_01,2
3,91000018,108,1,91000031,516,15,0,0,0,102,城副,2,150,100,5000,bg_yuanzheng_icon_9,25000,icon_yelian_01,0,0,20,icon_cc_01,2
3,91000018,108,1,91000031,516,15,0,0,0,103,城卫,37,100,80,5000,bg_yuanzheng_icon_9,25000,icon_yelian_01,0,0,20,icon_cc_01,2
3,91000018,108,1,91000031,516,15,0,0,0,201,主将,1,300,300,5000,bg_yuanzheng_icon_9,25000,icon_yelian_01,0,0,20,icon_cc_01,2
3,91000018,108,1,91000031,516,15,0,0,0,202,辅将,39,200,200,5000,bg_yuanzheng_icon_9,25000,icon_yelian_01,0,0,20,icon_cc_01,2
4,91000018,84,1,91000031,396,15,0,0,0,101,城守,1,200,130,5000,bg_yuanzheng_icon_9,25000,icon_yelian_01,0,0,20,icon_cc_01,1
4,91000018,84,1,91000031,396,15,0,0,0,102,城副,1,150,100,5000,bg_yuanzheng_icon_9,25000,icon_yelian_01,0,0,20,icon_cc_01,1
4,91000018,84,1,91000031,396,15,0,0,0,103,城卫,48,100,80,5000,bg_yuanzheng_icon_9,25000,icon_yelian_01,0,0,20,icon_cc_01,1
4,91000018,84,1,91000031,396,15,0,0,0,201,主将,1,300,300,5000,bg_yuanzheng_icon_9,25000,icon_yelian_01,0,0,20,icon_cc_01,1
4,91000018,84,1,91000031,396,15,0,0,0,202,辅将,49,200,200,5000,bg_yuanzheng_icon_9,25000,icon_yelian_01,0,0,20,icon_cc_01,1
