id,character
1,色情
2,宗教
3,迷信
4,赌博
5,违法
6,低俗
7,暴力
8,毛泽东
9,周恩来
10,刘少奇
11,朱德
12,彭德怀
13,林彪
14,刘伯承
15,陈毅
16,贺龙
17,聂荣臻
18,徐向前
19,罗荣桓
20,叶剑英
21,李大钊
22,陈独秀
23,孙中山
24,孙文
25,孙逸仙
26,邓小平
27,陈云
28,江泽民
29,李鹏
30,朱镕基
31,李瑞环
32,尉健行
33,李岚清
34,胡锦涛
35,罗干
36,温家宝
37,吴邦国
38,曾庆红
39,贾庆林
40,黄菊
41,吴官正
42,李长春
43,吴仪
44,回良玉
45,曾培炎
46,周永康
47,曹刚川
48,唐家璇
49,华建敏
50,陈至立
51,陈良宇
52,张德江
53,张立昌
54,俞正声
55,王乐泉
56,刘云山
57,王刚
58,王兆国
59,刘淇
60,贺国强
61,郭伯雄
62,胡耀邦
63,李登辉
64,连战
65,陈水扁
66,宋楚瑜
67,吕秀莲
68,郁慕明
69,蒋介石
70,蒋中正
71,蒋经国
72,马英九
73,习近平
74,李克强
75,吴帮国
76,无帮国
77,无邦国
78,无帮过
79,瘟家宝
80,假庆林
81,甲庆林
82,假青林
83,离长春
84,习远平
85,袭近平
86,李磕墙
87,贺过墙
88,和锅枪
89,粥永康
90,轴永康
91,肘永康
92,周健康
93,粥健康
94,周小康
95,王立军
96,薄熙来
97,薄一波
98,布什
99,布莱尔
100,小泉
101,纯一郎
102,萨马兰奇
103,安南
104,阿拉法特
105,普京
106,默克尔
107,克林顿
108,里根
109,尼克松
110,林肯
111,杜鲁门
112,赫鲁晓夫
113,列宁
114,斯大林
115,马克思
116,恩格斯
117,金正日
118,金日成
119,萨达姆
120,胡志明
121,西哈努克
122,希拉克
123,撒切尔
124,阿罗约
125,曼德拉
126,卡斯特罗
127,富兰克林
128,华盛顿
129,艾森豪威尔
130,拿破仑
131,亚历山大
132,路易
133,拉姆斯菲尔德
134,劳拉
135,鲍威尔
136,奥巴马
137,梅德韦杰夫
138,潘基文
139,拉登
140,本拉登
141,奥马尔
142,柴玲
143,达赖喇嘛
144,江青
145,张春桥
146,姚文元
147,王洪文
148,东条英机
149,希特勒
150,墨索里尼
151,冈村秀树
152,冈村宁次
153,高丽朴
154,赵紫阳
155,王丹
156,沃尔开西
157,李洪志
158,李大师
159,赖昌星
160,马加爵
161,班禅
162,额尔德尼
163,山本五十六
164,阿扁
165,阿扁万岁
166,热那亚
167,吴伯雄
168,苏贞昌
169,鲁迅
170,莎士比亚
171,爱因斯坦
172,牛顿
173,哥白尼
174,哥伦布
175,达芬奇
176,米开朗基罗
177,毕加索
178,梵高
179,海明威
180,斯蒂芬
181,霍金
182,达赖
183,卡扎菲
184,李红志
185,六四
186,六四运动
187,美国之音
188,密宗
189,民国
190,民进党
191,民运
192,民主
193,民主潮
194,摩门教
195,纳粹
196,法西斯
197,南华早报
198,南蛮
199,明慧网
200,起义
201,亲民党
202,瘸腿帮
203,人民报
204,法轮功
205,法轮大法
206,打倒共产党
207,台独万岁
208,圣战
209,示威
210,台独
211,台独分子
212,台联
213,台湾民国
214,台湾岛国
215,台湾国
216,台湾独立
217,太子党
218,天安门事件
219,屠杀
220,新党
221,新疆独立
222,新疆分裂
223,新疆国
224,疆独
225,西藏独立
226,西藏分裂
227,西藏国
228,藏独
229,藏青会
230,藏妇会
231,高丽棒子
232,回回
233,学潮
234,学运
235,一党专政
236,一中一台
237,两个中国
238,一贯道
239,游行
240,圆满
241,造反
242,真善忍
243,镇压
244,政变
245,政治
246,政治反对派
247,政治犯
248,中共
249,共产党
250,反党
251,反共
252,政府
253,民主党
254,中国之春
255,转法轮
256,自焚
257,共党
258,共匪
259,苏家屯
260,基地组织
261,塔利班
262,东亚病夫
263,支那
264,高治联
265,高自联
266,专政
267,专制
268,多党
269,核工业基地
270,核武器
271,铀
272,原子弹
273,氢弹
274,导弹
275,核潜艇
276,大参考
277,小参考
278,国内动态清样
279,新疆
280,西藏
281,一党
282,道教
283,多维
284,佛教
285,佛祖
286,释迦牟尼
287,如来
288,阿弥陀佛
289,观世音
290,普贤
291,文殊
292,地藏
293,河殇
294,回教
295,穆罕默德
296,穆斯林
297,升天
298,圣母
299,耶和华
300,耶稣
301,伊斯兰
302,真主安拉
303,白莲教
304,天主教
305,基督教
306,东正教
307,大法
308,法轮
309,真理教
310,走向圆满
311,黄大仙
312,风水
313,跳大神
314,神汉
315,神婆
316,大卫教
317,阎王
318,黑白无常
319,牛头马面
320,蒙古鞑子
321,老毛子
322,回民吃猪肉
323,谋杀
324,杀人
325,吸毒
326,贩毒
327,赌博
328,拐卖
329,走私
330,卖淫
331,监狱
332,强奸
333,轮奸
334,抢劫
335,先奸后杀
336,下注
337,押大
338,押小
339,抽头
340,坐庄
341,赌马
342,赌球
343,筹码
344,老虎机
345,轮盘赌
346,安非他命
347,大麻
348,可卡因
349,海洛因
350,冰毒
351,摇头丸
352,杜冷丁
353,鸦片
354,罂粟
355,迷幻药
356,白粉
357,嗑药
358,三唑仑
359,海乐神
360,酣乐欣
361,K粉
362,氯胺酮
363,静脉全麻药
364,兽用麻醉药
365,白色结晶粉末
366,甲基苯丙胺
367,AIDS
368,DICK
369,penis
370,sex
371,SM
372,屙
373,爱滋
374,淋病
375,梅毒
376,爱液
377,屄
378,逼
379,臭机八
380,臭鸡巴
381,吹喇叭
382,吹箫
383,催情药
384,屌
385,肛交
386,肛门
387,龟头
388,黄色
389,机八
390,机巴
391,鸡八
392,鸡巴
393,机掰
394,鸡叭
395,鸡鸡
396,鸡掰
397,鸡奸
398,妓女
399,奸
400,茎
401,精液
402,精子
403,尻
404,口交
405,滥交
406,乱交
407,屁眼
408,嫖娼
409,强奸犯
410,情色
411,肉棒
412,乳房
413,乳峰
414,乳交
415,乳头
416,乳晕
417,三陪
418,色情
419,射精
420,手淫
421,威而钢
422,威而柔
423,伟哥
424,性高潮
425,性交
426,性虐
427,性欲
428,颜射
429,阳物
430,一夜情
431,阴部
432,阴唇
433,阴道
434,阴蒂
435,阴核
436,阴户
437,阴茎
438,阴门
439,淫
440,淫秽
441,淫乱
442,淫水
443,淫娃
444,淫液
445,淫汁
446,淫穴
447,淫洞
448,援交妹
449,做爱
450,梦遗
451,阳痿
452,早泄
453,奸淫
454,蛋疼扯蛋
455,Bitch
456,bt
457,cao
458,FUCK
459,kao
460,NMD
461,NND
462,sb
463,shit
464,SUCK
465,tmd
466,tnnd
467,K他命
468,白痴
469,笨蛋
470,变态
471,婊子
472,操
473,操她妈
474,操妳妈
475,操你
476,操你妈
477,操他妈
478,草你
479,肏
480,册那
481,侧那
482,测拿
483,插
484,蠢猪
485,荡妇
486,发骚
487,废物
488,干她妈
489,干妳
490,干妳娘
491,干你
492,干你妈
493,干你妈B
494,干你妈逼
495,干你娘
496,干他妈
497,狗娘养的
498,滚
499,贱货
500,贱人
501,靠
502,烂人
503,老母
504,老土
505,妈比
506,妈的
507,马的
508,妳老母的
509,妳娘的
510,你妈逼
511,破鞋
512,仆街
513,去她妈
514,去妳的
515,去妳妈
516,去你的
517,去你妈
518,去死
519,去他妈
520,日
521,日你
522,赛她娘
523,赛妳娘
524,赛你娘
525,赛他娘
526,骚货
527,傻B
528,傻比
529,傻子
530,上妳
531,上你
532,神经病
533,屎
534,屎妳娘
535,屎你娘
536,他妈的
537,王八蛋
538,我操
539,我日
540,乡巴佬
541,猪猡
542,掯
543,骑你
544,湿了
545,操他
546,操她
547,骑他
548,骑她
549,欠骑
550,欠人骑
551,来爽我
552,来插我
553,干他
554,干她
555,干死
556,干爆
557,干机
558,机叭
559,臭鸡
560,臭机
561,烂鸟
562,览叫
563,阳具
564,肉壶
565,奶子
566,摸咪咪
567,BLOW
568,JOB
569,KISS
570,MY
571,干鸡
572,干入
573,小穴
574,插你
575,爽你
576,干干
577,干X
578,他干
579,干它
580,干牠
581,干您
582,干汝
583,干林
584,操林
585,干尼
586,操尼
587,我咧干
588,干勒
589,干我
590,干到
591,干啦
592,干爽
593,欠干
594,狗干
595,我干
596,来干
597,轮干
598,轮流干
599,干一干
600,援交
601,奸暴
602,再奸
603,我奸
604,奸你
605,奸他
606,奸她
607,奸一奸
608,淫湿
609,鸡歪
610,臭西
611,吊
612,遗精
613,烂逼
614,大血比
615,叼你妈
616,靠你妈
617,戳你
618,逼你老母
619,挨球
620,我日你
621,草拟妈
622,卖逼
623,狗操卖逼
624,日死
625,奶娘
626,他娘
627,她娘
628,骚B
629,你妈了妹
630,逼毛
631,插你妈
632,叼你
633,渣波波
634,嫩b
635,日B
636,开房
637,暖床
638,老湿
639,weelaa
640,缔顺
641,帝顺
642,蒂顺
643,系统消息
644,午夜
645,看下
646,草泥马
647,法克鱿
648,雅蠛蝶
649,潜烈蟹
650,菊花蚕
651,尾申鲸
652,吉跋猫
653,搞栗棒
654,吟稻雁
655,达菲鸡
656,ML
657,3P
658,群P
659,马勒戈壁
660,双飞
661,换妻
662,ADMIN
663,xtl
664,system
665,Administrator
666,管理
667,管里
668,管理员
669,服务管理
670,活动管理员
671,官方
672,系统
673,系统公告
674,审查
675,巡查
676,监督
677,监管
678,game
679,master
680,GAMEMASTER
681,游戏管理员
682,Client
683,Server
684,KEFU
685,助理
686,客户服务
687,服务天使
688,奖品
689,兑奖
690,中奖
691,领奖
692,辅助程序
693,运营
694,运营者
695,运营组
696,运营商
697,运营长
698,运营官
699,运营人
700,横扫天界
701,橫掃天界
702,橫扫天界
703,横掃天界
704,私服
705,私人服务器
706,wg
707,外挂
708,ㄅ
709,ㄆ
710,ㄇ
711,ㄈ
712,ㄉ
713,ㄊ
714,ㄋ
715,ㄌ
716,ㄍ
717,ㄎ
718,ㄏ
719,ㄐ
720,ㄑ
721,ㄒ
722,ㄓ
723,ㄔ
724,ㄕ
725,ㄖ
726,ㄗ
727,ㄘ
728,ㄙ
729,ㄚ
730,ㄛ
731,ㄜ
732,ㄝ
733,ㄞ
734,ㄟ
735,ㄠ
736,ㄡ
737,ㄢ
738,ㄣ
739,ㄤ
740,ㄥ
741,ㄦ
742,ㄧ
743,ㄨ
744,ㄩ
745,鞴
746,鐾
747,瘭
748,镳
749,黪
750,瘥
751,觇
752,孱
753,廛
754,蒇
755,冁
756,羼
757,螭
758,傺
759,瘛
760,舂
761,艟
762,瘳
763,雠
764,搋
765,嘬
766,辏
767,殂
768,汆
769,爨
770,榱
771,毳
772,皴
773,蹉
774,鹾
775,纛
776,髑屙民
777,莪
778,苊
779,鲕
780,鲼
781,瀵
782,酆
783,幞
784,黻
785,呒
786,黼
787,阝
788,阝月
789,彀
790,觏
791,毂
792,汩
793,罟
794,嘏
795,鲴
796,宄
797,庋
798,刿
799,虢
800,馘
801,撖
802,夯
803,薅
804,曷
805,翮
806,觳
807,冱
808,怙
809,戽
810,祜
811,瓠
812,鹱
813,溷
814,耠
815,锪
816,劐
817,蠖
818,丌
819,乩
820,赍
821,殛
822,蕺
823,掎
824,彐
825,芰
826,跽
827,鲚
828,葭
829,恝
830,湔
831,搛
832,鲣
833,鞯
834,囝
835,趼
836,醮
837,疖
838,苣
839,屦
840,醵
841,蠲
842,桊
843,鄄
844,谲
845,爝
846,麇
847,贶
848,悝
849,喟
850,仂
851,泐
852,鳓
853,诔
854,酹
855,嫠
856,黧
857,蠡
858,醴
859,鳢
860,轹
861,詈
862,跞
863,奁
864,臁
865,蚍
866,埤
867,罴
868,鼙
869,庀
870,仳
871,圮
872,綦
873,屺
874,綮
875,汔
876,碛
877,葜
878,佥
879,岍
880,愆
881,搴
882,钤
883,掮
884,凵
885,肷
886,椠
887,戕
888,锖
889,檠
890,苘
891,謦
892,庆红
893,跫
894,銎
895,邛
896,筇
897,蛩
898,鼽
899,诎
900,麴
901,黢
902,劬
903,朐
904,璩
905,蘧
906,衢
907,蠼
908,毵
909,糁
910,dishun
911,16大
912,18摸
913,21世纪中国基金会
914,6-4tianwang
915,89-64cdjp
916,Aiort墓地
917,ai滋
918,Arqus会议场
919,asshole
920,Atan的移动石
921,A片
922,Baichi
923,Baopi
924,Bao皮
925,bastard
926,Bc
927,biaozi
928,Biao子
929,bignews
930,Bi样
931,BLOWJOB
932,boxun
933,B样
934,caoB
935,caobi
936,cao你
937,cao你妈
938,cao你大爷
939,cha你
940,chinaliberal
941,chinamz
942,chinesenewsnet
943,Clockgemstone
944,cnd
945,creaders
946,Crestbone
947,dafa
948,dajiyuan
949,damn
950,dfdz
951,dpp
952,EVENT
953,falu
954,falun
955,falundafa
956,fa轮
957,Feelmistone
958,Fku
959,FLG
960,freechina
961,freedom
962,freenet
963,gan你
964,GCD
965,GM
966,Gruepin
967,HACKING
968,hongzhi
969,hrichina
970,http
971,huanet
972,hypermart.net
973,incest
974,JB
975,jiangdongriji
976,jian你
977,jiaochuang
978,jiaochun
979,jiba
980,jinv
981,Ji女
982,KISSMYASS
983,lihongzhi
984,Mai骚
985,making
986,minghui
987,minghuinews
988,nacb
989,naive
990,Neckromancer
991,nmis
992,paper64
993,peacehall
994,playboy
995,pussy
996,qiangjian
997,Rape
998,renminbao
999,renmingbao
1000,rfa
1001,safeweb
1002,saobi
1003,simple
1004,sucker
1005,svdc
1006,taip
1007,TEST
1008,The9
1009,The9City
1010,tibetalk
1011,triangle
1012,triangleboy
1013,Tringel
1014,UltraSurf
1015,unixbox
1016,ustibet
1017,voa
1018,voachinese
1019,wangce
1020,WEBZEN
1021,wstaiji
1022,xinsheng
1023,yuming
1024,zhengjian
1025,zhengjianwang
1026,zhenshanren
1027,zhuanfalunADMIN
1028,AOB
1029,CC小雪
1030,J8
1031,㎏
1032,㎎
1033,㎜
1034,SF
1035,WWW
1036,WWW.
1037,ZHUANFALUN
1038,周恩來
1039,碡
1040,籀
1041,朱駿
1042,朱狨基
1043,朱容基
1044,朱溶剂
1045,朱熔基
1046,邾
1047,猪操
1048,猪聋畸
1049,猪毛
1050,猪毛1
1051,舳
1052,瘃
1053,躅
1054,翥
1055,專政
1056,颛
1057,丬
1058,隹
1059,窀
1060,卓伯源
1061,倬
1062,斫
1063,诼
1064,髭
1065,鲻
1066,子宫
1067,秭
1068,訾
1069,自民党
1070,自慰
1071,自已的故事
1072,自由民主论坛
1073,总理
1074,偬
1075,诹
1076,陬
1077,鄹
1078,鲰
1079,躜
1080,缵
1081,作爱
1082,作秀
1083,阼
1084,祚
1085,阿扁萬歲
1086,阿萊娜
1087,啊無卵
1088,埃裏克蘇特勤
1089,埃斯萬
1090,艾麗絲
1091,愛滋
1092,愛滋病
1093,垵
1094,暗黑法師
1095,嶴
1096,奧克拉
1097,奧拉德
1098,奧利弗
1099,奧魯奇
1100,奧倫
1101,奧特蘭
1102,㈧
1103,巴倫侍從
1104,巴倫坦
1105,白立樸
1106,白夢
1107,白皮書
1108,班禪
1109,寶石商人
1110,保釣
1111,鮑戈
1112,鮑彤
1113,鮑伊
1114,暴風亡靈
1115,暴亂
1116,暴熱的戰士
1117,暴躁的城塔野獸
1118,暴躁的警衛兵靈魂
1119,暴躁的馬杜克
1120,北大三角地論壇
1121,北韓
1122,北京當局
1123,北美自由論壇
1124,貝尤爾
1125,韝
1126,逼樣
1127,比樣
1128,蹕
1129,颮
1130,鑣
1131,婊子養的
1132,賓周
1133,冰後
1134,博訊
1135,不滅帝王
1136,不爽不要錢
1137,布萊爾
1138,布雷爾
1139,蔡崇國
1140,蔡啓芳
1141,黲
1142,操鶏
1143,操那嗎B
1144,操那嗎逼
1145,操那嗎比
1146,操你媽
1147,操你爺爺
1148,曹長青
1149,曹剛川
1150,草你媽
1151,草擬媽
1152,册那娘餓比
1153,插那嗎B
1154,插那嗎逼
1155,插那嗎比
1156,插你媽
1157,插你爺爺
1158,覘
1159,蕆
1160,囅
1161,閶
1162,長官沙塔特
1163,常勁
1164,朝鮮
1165,車侖
1166,車侖女幹
1167,沉睡圖騰
1168,陳炳基
1169,陳博志
1170,陳定南
1171,陳建銘
1172,陳景俊
1173,陳菊
1174,陳軍
1175,陳良宇
1176,陳蒙
1177,陳破空
1178,陳水扁
1179,陳唐山
1180,陳希同
1181,陳小同
1182,陳宣良
1183,陳學聖
1184,陳一諮
1185,陳總統
1186,諶
1187,齔
1188,櫬
1189,讖
1190,程凱
1191,程鐵軍
1192,鴟
1193,痴鳩
1194,痴拈
1195,遲鈍的圖騰
1196,持不同政見
1197,赤色騎士
1198,赤色戰士
1199,處女膜
1200,傳染性病
1201,吹簫
1202,春夏自由論壇
1203,戳那嗎B
1204,戳那嗎逼
1205,戳那嗎比
1206,輳
1207,鹺
1208,錯B
1209,錯逼
1210,錯比
1211,錯那嗎B
1212,錯那嗎逼
1213,錯那嗎比
1214,達夫警衛兵
1215,達夫侍從
1216,達癩
1217,打飛機
1218,大參考
1219,大東亞
1220,大東亞共榮
1221,大鶏巴
1222,大紀元
1223,大紀元新聞網
1224,大紀園
1225,大家論壇
1226,大奶媽
1227,大史記
1228,大史紀
1229,大衛教
1230,大中國論壇
1231,大中華論壇
1232,大衆真人真事
1233,紿
1234,戴維教
1235,戴相龍
1236,彈劾
1237,氹
1238,蕩婦
1239,導師
1240,盜竊犯
1241,德維爾
1242,登輝
1243,鄧笑貧
1244,糴
1245,迪裏夏提
1246,覿
1247,地下教會
1248,帝國主義
1249,電視流氓
1250,叼你媽
