n4,id,value1,cost1,value2,cost2,value3,cost3,value4,cost4,value5,cost5,value6,cost6,value7,cost7,value8,cost8
1,1,500,1,500,2,1200,4,1200,6,1200,8,1200,10,1200,13,1200,14
1,2,500,1,500,2,500,4,500,6,500,8,500,10,500,13,500,14
1,3,1,1,1,2,1,4,1,6,1,8,1,10,1,13,1,14
1,4,1500,1,1500,2,1500,4,1500,6,1500,8,1500,10,1500,13,1500,14
1,5,1500,1,1500,2,1500,4,1500,6,1500,8,1500,10,1500,13,1500,14
1,6,1500,1,1500,2,1500,4,1500,6,1500,8,1500,10,1500,13,1500,14
1,7,1500,1,1500,2,1500,4,1500,6,1500,8,1500,10,1500,13,1500,14
1,8,1500,1,1500,2,1500,4,1500,6,1500,8,1500,10,1500,13,1500,14
2,1,500,1,500,2,1200,4,1200,6,1200,8,1200,10,1200,13,1200,14
2,2,500,1,500,2,500,4,500,6,500,8,500,10,500,13,500,14
2,3,1,1,1,2,1,4,1,6,1,8,1,10,1,13,1,14
2,4,1500,1,1500,2,1500,4,1500,6,1500,8,1500,10,1500,13,1500,14
2,5,1500,1,1500,2,1500,4,1500,6,1500,8,1500,10,1500,13,1500,14
2,6,1500,1,1500,2,1500,4,1500,6,1500,8,1500,10,1500,13,1500,14
2,7,1500,1,1500,2,1500,4,1500,6,1500,8,1500,10,1500,13,1500,14
2,8,1500,1,1500,2,1500,4,1500,6,1500,8,1500,10,1500,13,1500,14
3,1,500,1,500,2,1200,4,1200,6,1200,8,1200,10,1200,13,1200,14
3,2,500,1,500,2,500,4,500,6,500,8,500,10,500,13,500,14
3,3,1,1,1,2,1,4,1,6,1,8,1,10,1,13,1,14
3,4,1500,1,1500,2,1500,4,1500,6,1500,8,1500,10,1500,13,1500,14
3,5,1500,1,1500,2,1500,4,1500,6,1500,8,1500,10,1500,13,1500,14
3,6,1500,1,1500,2,1500,4,1500,6,1500,8,1500,10,1500,13,1500,14
3,7,1500,1,1500,2,1500,4,1500,6,1500,8,1500,10,1500,13,1500,14
3,8,1500,1,1500,2,1500,4,1500,6,1500,8,1500,10,1500,13,1500,14
