n4,group,id,item,num
1,1,1,12200701,1
1,1,2,12200701,2
1,1,3,12200701,2
1,1,4,42000001,1
1,1,5,88800018,3
1,1,6,91000008,50
1,1,7,42000001,1
1,1,8,88800017,3
1,2,1,12200701,1
1,2,2,12200701,1
1,2,3,12200701,2
1,2,4,42000001,2
1,2,5,88800017,3
1,2,6,91000008,50
1,2,7,42000001,1
1,2,8,88800018,3
1,3,1,12200701,1
1,3,2,12200701,2
1,3,3,12200701,3
1,3,4,42000001,1
1,3,5,88800017,3
1,3,6,91000008,50
1,3,7,42000001,1
1,3,8,88800018,3
1,4,1,12200701,1
1,4,2,12200701,1
1,4,3,12200701,2
1,4,4,42000001,2
1,4,5,88800017,3
1,4,6,91000008,50
1,4,7,42000001,1
1,4,8,88800018,3
2,1,1,12400401,1
2,1,2,12400401,2
2,1,3,12400401,2
2,1,4,42000001,1
2,1,5,88800017,3
2,1,6,91000008,50
2,1,7,42000001,1
2,1,8,88800018,3
2,2,1,12400401,1
2,2,2,12400401,1
2,2,3,12400401,2
2,2,4,42000001,2
2,2,5,88800017,3
2,2,6,91000008,50
2,2,7,42000001,1
2,2,8,88800018,3
2,3,1,12400401,1
2,3,2,12400401,2
2,3,3,12400401,3
2,3,4,42000001,1
2,3,5,88800017,3
2,3,6,91000008,50
2,3,7,42000001,1
2,3,8,88800018,3
2,4,1,12400401,1
2,4,2,12400401,1
2,4,3,12400401,2
2,4,4,42000001,2
2,4,5,88800017,3
2,4,6,91000008,50
2,4,7,42000001,1
2,4,8,88800018,3
3,1,1,12301301,1
3,1,2,12301301,2
3,1,3,12301301,2
3,1,4,42000001,1
3,1,5,88800017,3
3,1,6,91000008,50
3,1,7,42000001,1
3,1,8,88800018,3
3,2,1,12301301,1
3,2,2,12301301,1
3,2,3,12301301,2
3,2,4,42000001,2
3,2,5,88800017,3
3,2,6,91000008,50
3,2,7,42000001,1
3,2,8,88800018,3
3,3,1,12301301,1
3,3,2,12301301,2
3,3,3,12301301,3
3,3,4,42000001,1
3,3,5,88800017,3
3,3,6,91000008,50
3,3,7,42000001,1
3,3,8,88800018,3
3,4,1,12301301,1
3,4,2,12301301,1
3,4,3,12301301,2
3,4,4,42000001,2
3,4,5,88800017,3
3,4,6,91000008,50
3,4,7,42000001,1
3,4,8,88800018,2
