id,name,condition1,describe1,n11,n21,n31,n41,aindex1,bindex1,function1,methods1,condition2,describe2,n12,n22,n32,n42,aindex2,bindex2,function2,methods2,condition3,describe3,n13,n23,n33,n43,aindex3,bindex3,function3,methods3,n1,y1,n2,y2,n3,y3,n4,y4,n5,y5,n6,y6,n7,y7,z1
1,游侠,2,通关剧情第七章,1,1206100,0,0,src/ui/JunWangMiLing,JunWangMiLing.show(),closeui(newTitleUI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,147,7,22,8,7,9,22,10,7,0,0,0,0,0
2,豪杰,2,通关剧情第八章,1,1207100,0,0,src/ui/JunWangMiLing,JunWangMiLing.show(),closeui(newTitleUI),0,69,拥有10个武将,10,0,0,0,src/ui/jiuguan_plus,jiuguan_plus.show(),return mod_base.issysopen(19),0,0,0,0,0,0,0,0,0,0,0,6,2361,7,354,8,118,9,354,10,118,0,0,0,0,0
3,有名之士,2,通关剧情第十章,1,1209100,0,0,src/ui/JunWangMiLing,JunWangMiLing.show(),closeui(newTitleUI),0,5,拥有5个紫色品质的武将,5,0,9,0,src/ui/wujiangxitong,wujiangxitong.show(),return mod_base.issysopen(38),0,140,拥有4个美人,4,1,0,0,src/ui/hougong_ui,hougong_ui.show(),return mod_base.issysopen(9),0,6,4575,7,686,8,228,9,686,10,228,0,0,0,0,0
4,名声鹊起,2,通关剧情第十二章,1,1211100,0,0,src/ui/JunWangMiLing,JunWangMiLing.show(),closeui(newTitleUI),0,5,拥有8个3星武将,8,0,0,3,src/ui/wujiangxitong,wujiangxitong.show(),return mod_base.issysopen(40),0,125,拥有1个70级的神器,1,76,0,0,src/ui/wujiangxitong,"wujiangxitong.show(1001,3)",return mod_base.issysopen(116),0,6,6789,7,1018,8,339,9,1018,10,339,0,0,0,0,0
5,百战不败,2,通关剧情第十四章,1,1213100,0,0,src/ui/JunWangMiLing,JunWangMiLing.show(),closeui(newTitleUI),0,69,拥有15个武将,15,0,0,0,src/ui/jiuguan_plus,jiuguan_plus.show(),return mod_base.issysopen(19),0,140,拥有8个美人,8,1,0,0,src/ui/hougong_ui,hougong_ui.show(),return mod_base.issysopen(9),0,6,9003,7,1350,8,450,9,1350,10,450,0,0,0,0,0
6,骁勇善战,2,通关剧情第十六章,1,1215100,0,0,src/ui/JunWangMiLing,JunWangMiLing.show(),closeui(newTitleUI),0,5,拥有5个橙色品质的武将,5,0,14,0,src/ui/wujiangxitong,wujiangxitong.show(),return mod_base.issysopen(38),0,141,任意1个武将所有神器达到90级,1,0,90,0,src/ui/wujiangxitong,"wujiangxitong.show(1001,3)",return mod_base.issysopen(116),0,6,11217,7,1682,8,560,9,1682,10,560,0,0,0,0,0
7,无可匹敌,2,通关剧情第十八章,1,1217100,0,0,src/ui/JunWangMiLing,JunWangMiLing.show(),closeui(newTitleUI),0,5,拥有5个4星武将,5,0,0,4,src/ui/wujiangxitong,wujiangxitong.show(),return mod_base.issysopen(40),0,140,拥有4个3阶美人,4,3,0,0,src/ui/hougong_ui,hougong_ui.show(),return mod_base.issysopen(9),0,6,13431,7,2014,8,671,9,2014,10,671,0,0,0,0,0
8,出类拔萃,2,通关剧情第二十章,1,1219100,0,0,src/ui/JunWangMiLing,JunWangMiLing.show(),closeui(newTitleUI),0,69,拥有20个武将,20,0,0,0,src/ui/jiuguan_plus,jiuguan_plus.show(),return mod_base.issysopen(19),0,125,拥有1个3星神器,1,0,0,3,src/ui/wujiangxitong,"wujiangxitong.show(1001,3)",return mod_base.issysopen(129),0,6,15645,7,2346,8,782,9,2346,10,782,0,0,0,0,0
9,所向无敌,2,通关剧情第二十二章,1,1221100,0,0,src/ui/JunWangMiLing,JunWangMiLing.show(),closeui(newTitleUI),0,5,拥有5个橙+3品质的武将,5,0,17,0,src/ui/wujiangxitong,wujiangxitong.show(),return mod_base.issysopen(38),0,140,拥有8个3阶美人,8,3,0,0,src/ui/hougong_ui,hougong_ui.show(),return mod_base.issysopen(9),0,6,17859,7,2678,8,892,9,2678,10,892,0,0,0,0,0
10,斩杀群雄,2,通关剧情第二十四章,1,1223100,0,0,src/ui/JunWangMiLing,JunWangMiLing.show(),closeui(newTitleUI),0,5,拥有5个5星武将,5,0,0,5,src/ui/wujiangxitong,wujiangxitong.show(),return mod_base.issysopen(40),0,141,任意1个武将神器总星级达到7星,1,7,0,0,src/ui/wujiangxitong,"wujiangxitong.show(1001,3)",return mod_base.issysopen(129),0,6,20073,7,3011,8,1003,9,3011,10,1003,0,0,0,0,0
11,盖世无双,2,通关剧情第二十六章,1,1225100,0,0,src/ui/JunWangMiLing,JunWangMiLing.show(),closeui(newTitleUI),0,69,拥有25个武将,25,0,0,0,src/ui/jiuguan_plus,jiuguan_plus.show(),return mod_base.issysopen(19),0,140,拥有1个5阶美人,1,5,0,0,src/ui/hougong_ui,hougong_ui.show(),return mod_base.issysopen(9),0,6,22287,7,3343,8,1114,9,3343,10,1114,0,0,0,0,0
12,号令群雄,2,通关剧情第二十八章,1,1227100,0,0,src/ui/JunWangMiLing,JunWangMiLing.show(),closeui(newTitleUI),0,5,拥有5个橙+4品质的武将,5,0,18,0,src/ui/wujiangxitong,wujiangxitong.show(),return mod_base.issysopen(40),0,125,拥有1个5星神器,1,0,0,5,src/ui/wujiangxitong,"wujiangxitong.show(1001,3)",return mod_base.issysopen(129),0,6,24501,7,3675,8,1225,9,3675,10,1225,0,0,0,0,0
