id,hero,name,sound,levelid,descriptiont,sound_des,minlv,maxlv,weight,time
10101,4004,董卓,0,2301010,我正在重建军队，准备夺回政权。目前急需十万元宝做启动资金，你若是帮我，等我当上皇帝，就封你做丞相！,0,200,300,0,1800
10102,4004,董卓,0,2301020,我正在重建军队，准备夺回政权。目前急需十万元宝做启动资金，你若是帮我，等我当上皇帝，就封你做丞相！,0,200,300,0,1800
10103,4004,董卓,0,2301030,我正在重建军队，准备夺回政权。目前急需十万元宝做启动资金，你若是帮我，等我当上皇帝，就封你做丞相！,0,200,300,0,1800
10104,4004,董卓,0,2301040,我正在重建军队，准备夺回政权。目前急需十万元宝做启动资金，你若是帮我，等我当上皇帝，就封你做丞相！,0,200,300,0,1800
10105,4004,董卓,0,2301050,我正在重建军队，准备夺回政权。目前急需十万元宝做启动资金，你若是帮我，等我当上皇帝，就封你做丞相！,0,200,300,0,1800
10106,4004,董卓,0,2301060,我正在重建军队，准备夺回政权。目前急需十万元宝做启动资金，你若是帮我，等我当上皇帝，就封你做丞相！,0,200,300,0,1800
10201,3010,周瑜,0,2302010,你以为大都督很好当吗？每天都要忙着会见文武百官，却让家里的娇妻独守空闺，说真的，心好累……,0,200,300,0,1800
10202,3010,周瑜,0,2302020,你以为大都督很好当吗？每天都要忙着会见文武百官，却让家里的娇妻独守空闺，说真的，心好累……,0,200,300,0,1800
10203,3010,周瑜,0,2302030,你以为大都督很好当吗？每天都要忙着会见文武百官，却让家里的娇妻独守空闺，说真的，心好累……,0,200,300,0,1800
10204,3010,周瑜,0,2302040,你以为大都督很好当吗？每天都要忙着会见文武百官，却让家里的娇妻独守空闺，说真的，心好累……,0,200,300,0,1800
10205,3010,周瑜,0,2302050,你以为大都督很好当吗？每天都要忙着会见文武百官，却让家里的娇妻独守空闺，说真的，心好累……,0,200,300,0,1800
10206,3010,周瑜,0,2302060,你以为大都督很好当吗？每天都要忙着会见文武百官，却让家里的娇妻独守空闺，说真的，心好累……,0,200,300,0,1800
10301,1006,诸葛亮,0,2303010,以前在隆中的时候，我写了好多个版本的《隆中对》，今日既然与你有缘，就十块钱卖你一版吧。,0,1,37,1,1800
10302,1006,诸葛亮,0,2303020,以前在隆中的时候，我写了好多个版本的《隆中对》，今日既然与你有缘，就十块钱卖你一版吧。,0,38,47,1,1800
10303,1006,诸葛亮,0,2303030,以前在隆中的时候，我写了好多个版本的《隆中对》，今日既然与你有缘，就十块钱卖你一版吧。,0,48,57,1,1800
10304,1006,诸葛亮,0,2303040,以前在隆中的时候，我写了好多个版本的《隆中对》，今日既然与你有缘，就十块钱卖你一版吧。,0,58,67,1,1800
10305,1006,诸葛亮,0,2303050,以前在隆中的时候，我写了好多个版本的《隆中对》，今日既然与你有缘，就十块钱卖你一版吧。,0,68,77,1,1800
10306,1006,诸葛亮,0,2303060,以前在隆中的时候，我写了好多个版本的《隆中对》，今日既然与你有缘，就十块钱卖你一版吧。,0,78,100,1,1800
10401,2007,司马懿,0,2304010,前段时间有个剧组找我，说是想帮我拍电视剧，顺便给我洗白。我这么正派还用洗吗？当然是一口回绝了。,0,200,300,0,1800
10402,2007,司马懿,0,2304020,前段时间有个剧组找我，说是想帮我拍电视剧，顺便给我洗白。我这么正派还用洗吗？当然是一口回绝了。,0,200,300,0,1800
10403,2007,司马懿,0,2304030,前段时间有个剧组找我，说是想帮我拍电视剧，顺便给我洗白。我这么正派还用洗吗？当然是一口回绝了。,0,200,300,0,1800
10404,2007,司马懿,0,2304040,前段时间有个剧组找我，说是想帮我拍电视剧，顺便给我洗白。我这么正派还用洗吗？当然是一口回绝了。,0,200,300,0,1800
10405,2007,司马懿,0,2304050,前段时间有个剧组找我，说是想帮我拍电视剧，顺便给我洗白。我这么正派还用洗吗？当然是一口回绝了。,0,200,300,0,1800
10406,2007,司马懿,0,2304060,前段时间有个剧组找我，说是想帮我拍电视剧，顺便给我洗白。我这么正派还用洗吗？当然是一口回绝了。,0,200,300,0,1800
