id,name,dec,backicon,wordicon,hero,herosay,type,forcedec,showcondition,showcount,shownotice,shownoticedec,playcondition,playcount,text,readytime,continuedtime,initialtime,maxtime,timecondition,timecount,cue,enrolltime,cdtime,showtime,attackcost,defensecost,needclass,fighting,attacknumber,defensenumber,npctype,npcnum,killhonor,winhonor,losehonor,occupy,timeratio,cityratio,strongholdratio,stageratio,rateratio,winbuff,personalbuff,battlefieldbuffin,personalbuffin,rule,army1,army2,army3,army4,army5,item1,item2,item3,mode,loseitem,losenum,skill1,minnum1,maxnum1,skill2,minnum2,maxnum2,skill3,minnum3,maxnum3,grandtotal
10000,单挑,单挑战,plogo3010,card_guozhan_title_01,icon_guozhan_53,老规矩，单挑！就是一个对一个，谁也不许犯规！,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,60,5,20,5,5,0,0,1,1,31,0,0,0,0,0,0,0,0,1,79000001,1,3000,1,1,3000,1,1,1000,1,1,10000
11001,遭遇战,单人挑战,plogo2005,card_guozhan_title_16,icon_guozhan_53,遭遇敌人3支小队，上去干掉他们！,103,0,0,0,1,0,0,0,0,0,0,0,1,105,20,0,0,0,0,5,5,0,0,0,0,3,3,0,200,100,50,60,5,20,5,5,0,0,1,1,32,3102,1102,2102,0,0,91000018,0,0,2,79000001,1,4000,1,2,4000,1,2,2000,1,1,10000
11002,包围战,单人挑战,plogo1003,card_guozhan_title_18,icon_guozhan_50,敌方5支部队已经被我方包围，上去消灭他们！,103,0,0,0,1,0,0,0,0,0,0,0,1,105,10,0,0,0,0,10,10,0,0,0,0,3,5,0,450,225,100,60,5,20,5,5,0,0,1,1,32,3102,1102,2102,0,0,91000018,0,0,3,79000001,1,4000,2,3,4000,2,3,2000,1,1,10000
11003,歼灭战,单挑将领,plogo4009,card_guozhan_title_17,icon_guozhan_52,敌将已经落单，歼灭他！,103,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,10,0,0,0,0,4,1,0,500,250,125,60,5,20,5,5,0,0,1,1,33,3104,1104,2104,0,0,91000018,0,0,4,79000001,1,0,0,0,0,0,0,0,0,0,10000
11004,斩首战,单挑首领,plogo4004,card_guozhan_title_19,icon_guozhan_51,发现敌军大佬！不要怂就是干！,104,0,0,0,1,0,0,0,0,0,0,0,1,105,5,0,0,0,0,15,15,0,0,0,0,5,1,0,900,450,225,60,5,20,5,5,0,0,1,1,33,3105,1105,2105,0,0,91000018,0,0,5,79000001,1,3000,2,3,3000,2,3,4000,1,2,10000
11005,遭遇战,单人挑战,plogo3005,card_guozhan_title_16,icon_guozhan_53,遭遇敌人3支小队，上去干掉他们！,103,0,0,0,1,0,0,0,0,0,0,0,1,105,20,0,0,0,0,5,5,0,0,0,0,2,3,0,200,100,50,60,5,20,5,5,0,0,1,1,32,3103,1103,2103,0,0,91000018,0,0,2,79000001,1,4000,1,2,4000,1,2,2000,1,1,10000
11006,包围战,单人挑战,plogo2010,card_guozhan_title_18,icon_guozhan_50,敌方5支部队已经被我方包围，上去消灭他们！,103,0,0,0,1,0,0,0,0,0,0,0,1,105,10,0,0,0,0,10,10,0,0,0,0,2,5,0,450,225,100,60,5,20,5,5,0,0,1,1,32,3103,1103,2103,0,0,91000018,0,0,3,79000001,1,4000,2,3,4000,2,3,2000,1,1,10000
11007,歼灭战,单人挑战,plogo1002,card_guozhan_title_17,icon_guozhan_52,敌方7支部队已经走上绝路，歼灭他们！,103,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,10,0,0,0,0,2,7,0,500,250,125,60,5,20,5,5,0,0,1,1,32,3103,1103,2103,0,0,91000018,0,0,4,79000001,1,0,0,0,0,0,0,0,0,0,10000
11008,斩首战,单挑首领,plogo1004,card_guozhan_title_19,icon_guozhan_51,发现敌军大佬！不要怂就是干！,104,0,0,0,1,0,0,0,0,0,0,0,1,105,5,0,0,0,0,15,15,0,0,0,0,5,1,0,900,450,225,60,5,20,5,5,0,0,1,1,33,3105,1105,2105,0,0,91000018,0,0,5,79000001,1,3000,2,3,3000,2,3,4000,1,2,10000
13001,辎重运输,单人收割,plogo3001,card_guozhan_title_20,icon_guozhan_49,发现20支敌军辎重运输部队，击溃部队数越多缴获奖励越多！,101,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,6,20,30,0,0,200,60,5,20,5,5,0,0,1,1,36,3101,3101,3101,3101,3101,91000018,0,0,6,0,0,2500,1,1,2500,1,1,5000,1,1,10000
13002,粮草运输,单人收割,plogo4006,card_guozhan_title_21,icon_guozhan_49,发现20支敌军粮草运输部队，击溃部队数越多缴获奖励越多！,101,0,0,0,0,0,0,0,0,0,0,0,1,105,1,0,0,0,0,1,1,0,0,0,0,6,20,30,0,0,200,60,5,20,5,5,0,0,1,1,36,1201,1201,1201,1201,1201,91000018,0,0,6,0,0,2500,1,1,2500,1,1,5000,1,1,10000
13003,器械运输,单人收割,plogo3008,card_guozhan_title_22,icon_guozhan_49,发现20支敌军器械运输部队，击溃部队数越多缴获奖励越多！,101,0,0,0,0,0,0,0,0,0,0,0,1,105,1,0,0,0,0,1,1,0,0,0,0,7,20,30,0,0,200,60,5,20,5,5,0,0,1,1,36,91,91,91,91,91,91000018,0,0,6,0,0,2500,1,1,2500,1,1,5000,1,1,10000
12001,决战,35对战35,0,card_guozhan_title_23,icon_guozhan_51,强兵相遇，分外眼红，让整个战场知道谁才是真正的王牌部队。,202,任意一方城池占领值达到80%才开启决战！,5,80,2,0,0,0,0,0,0,0,0,0,0,0,180,120,120,20,1,0,0,35,35,4,0,0,3200,2000,15000,0,0,0,0,0,0,0,1,1,34,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
12002,决战,35对战35,0,card_guozhan_title_23,icon_guozhan_51,强兵相遇，分外眼红，让整个战场知道谁才是真正的王牌部队。,202,任意一方城池占领值达到80%才开启决战！,5,80,2,0,0,0,0,0,0,0,0,0,0,0,180,120,120,20,1,0,0,35,35,4,0,0,3200,2000,1500000,0,0,0,0,0,0,0,1,1,34,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
