sequence,id,type,num,name
1,91000001,2,888888888,金币
2,91000002,2,666666666,钻石
3,91000041,2,777777777,英雄经验
4,91000044,2,555555555,魔粉
5,91000045,2,800000,英灵币
6,91000048,2,600000,友情点
7,91000049,2,50000,生命精华
8,91000050,2,500000,竞技场硬币
9,40000003,2,1,初级专属强化石
10,40000004,2,1,高级专属强化石
11,40000005,2,1,光属性强化石
12,40000006,2,1,暗属性强化石
13,40000007,2,1,水属性强化石
14,40000008,2,1,火属性强化石
15,40000009,2,1,土属性强化石
16,40000010,2,1,雷属性强化石
17,40000012,2,1,复苏神石
18,40000013,2,1,神王神石
19,40000014,2,1,希望神石
20,40000015,2,1,圣灵神石
21,40000016,2,1,神圣神石
22,40000017,2,1,永恒神石
23,40000018,2,1,威仪神石
24,40000019,2,1,力量神石
25,40000020,2,1,敏捷神石
26,40000021,2,1,智力神石
27,42010001,2,1000,普通召唤卷
28,42010002,2,1000,阵营召唤卷
29,81000001,2,5000,黑铁铸币
30,81000002,2,5000,高级黑铁铸币
31,30000001,2,10,小堆金币
32,30000002,2,10,大堆金币
33,30000003,2,10,海量金币
34,30010001,2,10,小堆英雄经验
35,30010002,2,10,大堆英雄经验
36,30010003,2,10,海量英雄经验
37,30020001,2,10,小堆魔粉
38,30020002,2,10,大堆魔粉
39,30020003,2,10,海量魔粉
40,30020004,2,10,英雄许愿匣
41,30020005,2,10,道具许愿匣
42,30020006,2,10,时光沙漏（金币）
43,30020007,2,10,史诗时光沙漏（金币）
44,30020008,2,10,强化石宝箱
45,30020009,2,10,小钻石袋
46,30020010,2,10,稀有钻石袋
47,30020011,2,10,极品钻石袋
48,30020012,2,10,小堆挂机收益
49,30020013,2,10,海量挂机收益
50,30020014,2,10,神秘遗物箱
51,30100001,2,10,精英英雄卡
52,30100002,2,10,精英英雄卡
53,30100003,2,10,精英英雄卡
54,30100004,2,10,精英英雄卡
55,30100005,2,10,精英英雄卡
56,30100006,2,10,精英英雄卡
57,30100101,2,10,稀有英雄卡
58,30100102,2,10,稀有英雄卡
59,30100103,2,10,稀有英雄卡
60,30100104,2,10,稀有英雄卡
61,30100105,2,10,稀有英雄卡
62,30100106,2,10,稀有英雄卡
63,60110020,2,5,轻武器3空
64,60110021,2,5,轻武器3水
65,60110022,2,5,轻武器3火
66,60110023,2,5,轻武器3雷
67,60110024,2,5,轻武器3土
68,60110025,2,5,轻武器3光
69,60110026,2,5,轻武器3暗
70,60110030,2,5,轻武器4空
71,60110031,2,5,轻武器4水
72,60110032,2,5,轻武器4火
73,60110033,2,5,轻武器4雷
74,60110034,2,5,轻武器4土
75,60110035,2,5,轻武器4光
76,60110036,2,5,轻武器4暗
77,60110040,2,5,轻武器5空
78,60110041,2,5,轻武器5水
79,60110042,2,5,轻武器5火
80,60110043,2,5,轻武器5雷
81,60110044,2,5,轻武器5土
82,60110045,2,5,轻武器5光
83,60110046,2,5,轻武器5暗
84,60110050,2,5,轻武器6空
85,60110051,2,5,轻武器6水
86,60110052,2,5,轻武器6火
87,60110053,2,5,轻武器6雷
88,60110054,2,5,轻武器6土
89,60110055,2,5,轻武器6光
90,60110056,2,5,轻武器6暗
91,60110060,2,5,轻武器7空
92,60110061,2,5,轻武器7水
93,60110062,2,5,轻武器7火
94,60110063,2,5,轻武器7雷
95,60110064,2,5,轻武器7土
96,60110065,2,5,轻武器7光
97,60110066,2,5,轻武器7暗
98,60110070,2,5,轻武器8空
99,60110071,2,5,轻武器8水
100,60110072,2,5,轻武器8火
101,60110073,2,5,轻武器8雷
102,60110074,2,5,轻武器8土
103,60110075,2,5,轻武器8光
104,60110076,2,5,轻武器8暗
105,60110080,2,5,轻武器9空
106,60110081,2,5,轻武器9水
107,60110082,2,5,轻武器9火
108,60110083,2,5,轻武器9雷
109,60110084,2,5,轻武器9土
110,60110085,2,5,轻武器9光
111,60110086,2,5,轻武器9暗
112,60110090,2,5,轻武器10空
113,60110091,2,5,轻武器10水
114,60110092,2,5,轻武器10火
115,60110093,2,5,轻武器10雷
116,60110094,2,5,轻武器10土
117,60110095,2,5,轻武器10光
118,60110096,2,5,轻武器10暗
119,60210020,2,5,重武器3空
120,60210021,2,5,重武器3水
121,60210022,2,5,重武器3火
122,60210023,2,5,重武器3雷
123,60210024,2,5,重武器3土
124,60210025,2,5,重武器3光
125,60210026,2,5,重武器3暗
126,60210030,2,5,重武器4空
127,60210031,2,5,重武器4水
128,60210032,2,5,重武器4火
129,60210033,2,5,重武器4雷
130,60210034,2,5,重武器4土
131,60210035,2,5,重武器4光
132,60210036,2,5,重武器4暗
133,60210040,2,5,重武器5空
134,60210041,2,5,重武器5水
135,60210042,2,5,重武器5火
136,60210043,2,5,重武器5雷
137,60210044,2,5,重武器5土
138,60210045,2,5,重武器5光
139,60210046,2,5,重武器5暗
140,60210050,2,5,重武器6空
141,60210051,2,5,重武器6水
142,60210052,2,5,重武器6火
143,60210053,2,5,重武器6雷
144,60210054,2,5,重武器6土
145,60210055,2,5,重武器6光
146,60210056,2,5,重武器6暗
147,60210060,2,5,重武器7空
148,60210061,2,5,重武器7水
149,60210062,2,5,重武器7火
150,60210063,2,5,重武器7雷
151,60210064,2,5,重武器7土
152,60210065,2,5,重武器7光
153,60210066,2,5,重武器7暗
154,60210070,2,5,重武器8空
155,60210071,2,5,重武器8水
156,60210072,2,5,重武器8火
157,60210073,2,5,重武器8雷
158,60210074,2,5,重武器8土
159,60210075,2,5,重武器8光
160,60210076,2,5,重武器8暗
161,60210080,2,5,重武器9空
162,60210081,2,5,重武器9水
163,60210082,2,5,重武器9火
164,60210083,2,5,重武器9雷
165,60210084,2,5,重武器9土
166,60210085,2,5,重武器9光
167,60210086,2,5,重武器9暗
168,60210090,2,5,重武器10空
169,60210091,2,5,重武器10水
170,60210092,2,5,重武器10火
171,60210093,2,5,重武器10雷
172,60210094,2,5,重武器10土
173,60210095,2,5,重武器10光
174,60210096,2,5,重武器10暗
175,60310020,2,5,法杖武器3空
176,60310021,2,5,法杖武器3水
177,60310022,2,5,法杖武器3火
178,60310023,2,5,法杖武器3雷
179,60310024,2,5,法杖武器3土
180,60310025,2,5,法杖武器3光
181,60310026,2,5,法杖武器3暗
182,60310030,2,5,法杖武器4空
183,60310031,2,5,法杖武器4水
184,60310032,2,5,法杖武器4火
185,60310033,2,5,法杖武器4雷
186,60310034,2,5,法杖武器4土
187,60310035,2,5,法杖武器4光
188,60310036,2,5,法杖武器4暗
189,60310040,2,5,法杖武器5空
190,60310041,2,5,法杖武器5水
191,60310042,2,5,法杖武器5火
192,60310043,2,5,法杖武器5雷
193,60310044,2,5,法杖武器5土
194,60310045,2,5,法杖武器5光
195,60310046,2,5,法杖武器5暗
196,60310050,2,5,法杖武器6空
197,60310051,2,5,法杖武器6水
198,60310052,2,5,法杖武器6火
199,60310053,2,5,法杖武器6雷
200,60310054,2,5,法杖武器6土
201,60310055,2,5,法杖武器6光
202,60310056,2,5,法杖武器6暗
203,60310060,2,5,法杖武器7空
204,60310061,2,5,法杖武器7水
205,60310062,2,5,法杖武器7火
206,60310063,2,5,法杖武器7雷
207,60310064,2,5,法杖武器7土
208,60310065,2,5,法杖武器7光
209,60310066,2,5,法杖武器7暗
210,60310070,2,5,法杖武器8空
211,60310071,2,5,法杖武器8水
212,60310072,2,5,法杖武器8火
213,60310073,2,5,法杖武器8雷
214,60310074,2,5,法杖武器8土
215,60310075,2,5,法杖武器8光
216,60310076,2,5,法杖武器8暗
217,60310080,2,5,法杖武器9空
218,60310081,2,5,法杖武器9水
219,60310082,2,5,法杖武器9火
220,60310083,2,5,法杖武器9雷
221,60310084,2,5,法杖武器9土
222,60310085,2,5,法杖武器9光
223,60310086,2,5,法杖武器9暗
224,60310090,2,5,法杖武器10空
225,60310091,2,5,法杖武器10水
226,60310092,2,5,法杖武器10火
227,60310093,2,5,法杖武器10雷
228,60310094,2,5,法杖武器10土
229,60310095,2,5,法杖武器10光
230,60310096,2,5,法杖武器10暗
231,60420020,2,5,开山头盔
232,60420021,2,5,开山头盔
233,60420022,2,5,开山头盔
234,60420023,2,5,开山头盔
235,60420024,2,5,开山头盔
236,60420025,2,5,开山头盔
237,60420026,2,5,开山头盔
238,60420030,2,5,烈风头盔
239,60420031,2,5,烈风头盔
240,60420032,2,5,烈风头盔
