id,type,sort,active,n1,x1,n2,x2,n3,x3,n4,x4,special_item,special_num,recast_item,recast_num,rank,rankitem,ranknum,festival_item1,festival_num1
1,1,1,20,91000044,20,0,0,0,0,0,0,91000053,20,0,0,0,0,0,84100001,5
2,1,2,40,30020006,1,0,0,0,0,0,0,91000053,30,0,0,0,0,0,84100001,10
3,1,3,60,13000001,5,40000001,2,0,0,0,0,91000053,40,0,0,2,91000002,5000,84100001,10
4,1,4,80,91000002,10000,42010001,1,0,0,0,0,91000053,60,0,0,4,30010001,1,84100001,10
5,1,5,100,42010001,1,42010002,1,0,0,0,0,91000053,100,0,0,6,30000001,1,84100001,15
6,2,1,20,30020007,1,40000011,1,0,0,0,0,91000053,80,0,0,7,91000056,50,0,0
7,2,2,40,81000001,100,13000001,60,0,0,0,0,91000053,160,0,0,8,91000044,500,0,0
8,2,3,60,13000002,10,30020007,1,40000011,1,0,0,91000053,240,0,0,9,40000003,20,0,0
9,2,4,80,91000002,40000,42010001,2,0,0,0,0,91000053,320,0,0,10,40000004,10,0,0
10,2,5,100,42010001,3,40000011,1,42010002,2,0,0,91000053,400,82000001,1,11,30020008,5,0,0
