id,sort,stage,item1,item_name,num1,weight,effect_show,time_group,main_jiemian
10001,1,1,91000001,金币,30000,1000,0,1,0
10002,2,1,91000001,金币,120000,500,0,1,0
10003,3,2,42010001,普通召唤卷,5,500,1,1,0
10004,4,1,91000041,勇士经验,20000,1000,0,1,0
10005,5,1,91000041,勇士经验,30000,500,0,1,0
10006,6,2,42010001,普通召唤卷,10,1000,1,1,0
10007,7,1,91000001,勇士经验,50000,1000,0,1,0
10008,8,2,91000044,魔粉,120,1000,0,1,0
10009,9,4,30020019,光暗选择箱,1,1000,1,1,1
10010,10,2,42010002,阵营召唤卷,5,500,0,1,0
10011,11,3,81000001,青铜锻造币,900,500,0,1,0
10012,12,3,42010002,阵营召唤卷,10,1000,1,1,0
