id,activity_type,activity_periods,bossid,name,doc,level,times,skill1,skill2,skill3,skill4,hero1,txt1,hero2,txt2,hero3,txt3,progress,position1,position2,position3,position4,position5,item1,item2,item3,item4,item5,item6,item7,healthunit,getitem,getnum,healthnum
1,1700,1,8005,梦魇骑士,忤逆之柴 以火献祭,840001,3,80050201,80050401,80050101,0,5004,替死核心,5006,输出核心,5002,辅助核心,200000,0,0,0,8005,0,83000001,0,0,0,0,0,0,0,0,0,0
2,1700,2,8005,梦魇骑士,忤逆之柴 以火献祭,840001,3,80050201,80050401,80050101,0,5004,替死核心,5006,输出核心,5002,辅助核心,1000000,0,0,0,8005,0,83000001,0,0,0,0,0,0,0,0,0,0
3,1700,3,8005,梦魇骑士,忤逆之柴 以火献祭,840001,3,80050201,80050401,80050101,0,5004,替死核心,5006,输出核心,5002,辅助核心,5000000,0,0,0,8005,0,83000001,0,0,0,0,0,0,0,0,0,0
4,1701,1,8006,梦魇之触,先等BOSS  再等文本,840201,3,80070101,80070201,80070301,0,3002,群攻核心,5002,辅助核心,1010,辅助,1000000,0,0,0,8006,0,83000001,0,0,0,0,0,0,0,0,0,0
5,1702,1,8008,梦魇之触,先等BOSS  再等文本,840201,3,80070101,80070201,80070301,0,3002,群攻核心,5002,辅助核心,1010,辅助,1000000,0,0,0,8008,0,83000001,0,0,0,0,0,0,0,0,0,0
6,1704,1,8007,堕落君王,雷以渐灭  礼葬魂逝,840003,3,80070201,80070401,80070101,0,5007,输出核心,5002,辅助核心,5004,辅助输出,1000000,0,0,0,8007,0,83000002,0,0,0,0,0,0,0,0,0,0
7,1704,2,8007,堕落君王,雷以渐灭  礼葬魂逝,840003,3,80070201,80070401,80070101,0,5007,输出核心,5002,辅助核心,5004,辅助输出,1000000,0,0,0,8007,0,83000002,0,0,0,0,0,0,0,0,0,0
8,1705,1,8008,暗黑悟空,漫天诸佛  烟消云散,840004,3,80080201,80080401,80080101,0,6007,输出核心,5002,辅助核心,1010,辅助,1000000,0,8008,0,0,0,83000003,0,0,0,0,0,0,0,0,0,0
9,1750,1,8011,年兽,0,850001,1,80110401,80110101,80110201,80110301,0,0,0,0,0,0,0,0,0,0,8011,0,0,0,0,0,0,0,0,100,84100001,1,10
10,1026,0,8005,梦魇骑士,忤逆之柴 以火献祭,840001,3,80050201,80050401,80050101,0,5004,替死核心,5006,输出核心,5002,辅助核心,200000,0,0,0,8005,0,83000001,0,0,0,0,0,0,0,0,0,0
11,1700,4,8005,梦魇骑士,忤逆之柴 以火献祭,840001,3,80050201,80050401,80050101,0,5004,替死核心,5005,输出核心,5002,辅助核心,1000000,0,0,0,8005,0,83000001,0,0,0,0,0,0,0,0,0,0
12,1700,5,8005,梦魇骑士,忤逆之柴 以火献祭,840001,3,80050201,80050401,80050101,0,5004,替死核心,5005,输出核心,5002,辅助核心,1000000,0,0,0,8005,0,83000001,0,0,0,0,0,0,0,0,0,0
13,1705,2,8008,暗黑悟空,漫天诸佛  烟消云散,840004,3,80080201,80080401,80080101,0,5004,替死核心,6009,输出核心,1010,辅助,1000000,0,8008,0,0,0,83000003,0,0,0,0,0,0,0,0,0,0
14,1705,3,8008,暗黑悟空,漫天诸佛  烟消云散,840004,3,80080201,80080401,80080101,0,5004,替死核心,6009,输出核心,1010,辅助,1000000,0,8008,0,0,0,83000003,0,0,0,0,0,0,0,0,0,0
