id,activity_type,activity_periods,item,num,needitem1,neednum1,needitem2,neednum2,needitem3,neednum3,needitem4,neednum4,frequency
1,1700,1,11101001,1,83000001,300,0,0,0,0,0,0,4
2,1700,1,11200601,1,83000001,300,0,0,0,0,0,0,4
3,1700,1,11300201,1,83000001,300,0,0,0,0,0,0,4
4,1700,1,11400901,1,83000001,300,0,0,0,0,0,0,4
5,1700,1,11500401,1,83000001,450,0,0,0,0,0,0,4
6,1700,1,11600101,1,83000001,450,0,0,0,0,0,0,4
7,1700,1,30100101,9,83000001,60,0,0,0,0,0,0,10
8,1700,1,30100102,9,83000001,60,0,0,0,0,0,0,10
9,1700,1,30100103,9,83000001,60,0,0,0,0,0,0,10
10,1700,1,30100104,9,83000001,60,0,0,0,0,0,0,10
11,1700,1,40000003,30,83000001,25,0,0,0,0,0,0,10
12,1700,1,40000004,25,83000001,30,0,0,0,0,0,0,15
13,1700,1,30020008,20,83000001,75,0,0,0,0,0,0,20
14,1700,1,82000001,2,83000001,50,0,0,0,0,0,0,20
15,1700,1,91000056,1000,83000001,150,0,0,0,0,0,0,10
16,1700,1,91000001,30000,83000001,1,0,0,0,0,0,0,999
17,1700,2,11100801,1,83000001,300,0,0,0,0,0,0,4
18,1700,2,11201001,1,83000001,300,0,0,0,0,0,0,4
19,1700,2,11300701,1,83000001,300,0,0,0,0,0,0,4
20,1700,2,11400701,1,83000001,300,0,0,0,0,0,0,4
21,1700,2,11500201,1,83000001,450,0,0,0,0,0,0,4
22,1700,2,11600201,1,83000001,450,0,0,0,0,0,0,4
23,1700,2,30100101,9,83000001,60,0,0,0,0,0,0,10
24,1700,2,30100102,9,83000001,60,0,0,0,0,0,0,10
25,1700,2,30100103,9,83000001,60,0,0,0,0,0,0,10
26,1700,2,30100104,9,83000001,60,0,0,0,0,0,0,10
27,1700,2,40000003,30,83000001,25,0,0,0,0,0,0,10
28,1700,2,40000004,25,83000001,30,0,0,0,0,0,0,15
29,1700,2,30020008,20,83000001,75,0,0,0,0,0,0,20
30,1700,2,82000001,2,83000001,50,0,0,0,0,0,0,20
31,1700,2,91000056,1000,83000001,150,0,0,0,0,0,0,10
32,1700,2,91000001,30000,83000001,1,0,0,0,0,0,0,999
33,1700,3,11101001,1,83000001,300,0,0,0,0,0,0,4
34,1700,3,11200601,1,83000001,300,0,0,0,0,0,0,4
35,1700,3,11300201,1,83000001,300,0,0,0,0,0,0,4
36,1700,3,11400901,1,83000001,300,0,0,0,0,0,0,4
37,1700,3,11500401,1,83000001,450,0,0,0,0,0,0,4
38,1700,3,11600101,1,83000001,450,0,0,0,0,0,0,4
39,1700,3,30100101,9,83000001,60,0,0,0,0,0,0,10
40,1700,3,30100102,9,83000001,60,0,0,0,0,0,0,10
41,1700,3,30100103,9,83000001,60,0,0,0,0,0,0,10
42,1700,3,30100104,9,83000001,60,0,0,0,0,0,0,10
43,1700,3,40000003,30,83000001,25,0,0,0,0,0,0,10
44,1700,3,40000004,25,83000001,30,0,0,0,0,0,0,15
45,1700,3,30020008,20,83000001,75,0,0,0,0,0,0,20
46,1700,3,82000001,2,83000001,50,0,0,0,0,0,0,20
47,1700,3,91000056,1000,83000001,150,0,0,0,0,0,0,10
48,1700,3,91000001,30000,83000001,1,0,0,0,0,0,0,999
49,1700,4,11101001,1,83000001,300,0,0,0,0,0,0,4
50,1700,4,11200601,1,83000001,300,0,0,0,0,0,0,4
51,1700,4,11300201,1,83000001,300,0,0,0,0,0,0,4
52,1700,4,11500501,1,83000001,450,0,0,0,0,0,0,4
53,1700,4,11500401,1,83000001,450,0,0,0,0,0,0,4
54,1700,4,11600101,1,83000001,450,0,0,0,0,0,0,4
55,1700,4,30100101,9,83000001,60,0,0,0,0,0,0,10
56,1700,4,30100102,9,83000001,60,0,0,0,0,0,0,10
57,1700,4,30100103,9,83000001,60,0,0,0,0,0,0,10
58,1700,4,30100104,9,83000001,60,0,0,0,0,0,0,10
59,1700,4,40000003,30,83000001,25,0,0,0,0,0,0,10
60,1700,4,40000004,25,83000001,30,0,0,0,0,0,0,15
61,1700,4,30020008,20,83000001,75,0,0,0,0,0,0,20
62,1700,4,82000001,2,83000001,50,0,0,0,0,0,0,20
63,1700,4,91000056,1000,83000001,150,0,0,0,0,0,0,10
64,1700,4,91000001,30000,83000001,1,0,0,0,0,0,0,999
65,1700,5,11101001,1,83000001,300,0,0,0,0,0,0,4
66,1700,5,11200601,1,83000001,300,0,0,0,0,0,0,4
67,1700,5,11300201,1,83000001,300,0,0,0,0,0,0,4
68,1700,5,11500501,1,83000001,450,0,0,0,0,0,0,4
69,1700,5,11500401,1,83000001,450,0,0,0,0,0,0,4
