id,activity_type,activity_periods,subsection,ranking,icon,txt,name,section,contain,item1,num1,item2,num2,item3,num3,item4,num4
1,1700,1,1,1,icon_jjc_mlys_07,传奇,传奇 第1名,0,1,42010003,30,91000056,3000,30020008,50,11500401,1
2,1700,1,1,2,icon_jjc_mlys_07,传奇,传奇 第2名,0,1,42010003,25,91000056,2800,30020008,50,0,0
3,1700,1,1,3,icon_jjc_mlys_07,传奇,传奇 第3名,0,1,42010003,20,91000056,2700,30020008,50,0,0
4,1700,1,1,4,icon_jjc_mlys_07,传奇,传奇 第4名,0,1,42010003,18,91000056,2600,40000004,50,0,0
5,1700,1,1,5,icon_jjc_mlys_07,传奇,传奇 第5名,0,1,42010003,16,91000056,2500,40000004,50,0,0
6,1700,1,1,6,icon_jjc_mlys_07,传奇,传奇 第6名,0,1,42010003,14,91000056,2400,40000004,50,0,0
7,1700,1,1,7,icon_jjc_mlys_07,传奇,传奇 第7名,0,1,42010003,13,91000056,2300,40000004,50,0,0
8,1700,1,1,8,icon_jjc_mlys_07,传奇,传奇 第8名,0,1,42010003,12,91000056,2200,40000004,50,0,0
9,1700,1,1,9,icon_jjc_mlys_07,传奇,传奇 第9名,0,1,42010003,11,91000056,2100,40000004,50,0,0
10,1700,1,1,10,icon_jjc_mlys_07,传奇,传奇 第10名,0,1,42010003,10,91000056,2000,40000004,50,0,0
11,1700,1,2,1,icon_jjc_mlys_04,钻石I,钻石I,9600,0,42010002,10,91000056,1900,40000003,50,0,0
12,1700,1,2,2,icon_jjc_mlys_04,钻石II,钻石II,9200,0,42010002,10,91000056,1850,40000003,50,0,0
13,1700,1,2,3,icon_jjc_mlys_04,钻石III,钻石III,8800,0,42010002,10,91000056,1800,40000003,50,0,0
14,1700,1,2,4,icon_jjc_mlys_04,钻石IV,钻石IV,8400,0,42010002,10,91000056,1750,40000003,50,0,0
15,1700,1,2,5,icon_jjc_mlys_04,钻石V,钻石V,8000,0,42010002,10,91000056,1700,40000003,50,0,0
16,1700,1,3,1,icon_jjc_mlys_06,黄金I,黄金I,7500,0,42010002,10,91000056,1600,40000003,40,0,0
17,1700,1,3,2,icon_jjc_mlys_06,黄金II,黄金II,7000,0,42010002,10,91000056,1550,40000003,40,0,0
18,1700,1,3,3,icon_jjc_mlys_06,黄金III,黄金III,6500,0,42010002,10,91000056,1500,40000003,40,0,0
19,1700,1,3,4,icon_jjc_mlys_06,黄金IV,黄金IV,6000,0,42010002,10,91000056,1450,40000003,40,0,0
20,1700,1,3,5,icon_jjc_mlys_06,黄金V,黄金V,5500,0,42010002,10,91000056,1400,40000003,40,0,0
21,1700,1,4,1,icon_jjc_mlys_03,白银I,白银I,4900,0,42010001,10,91000056,1300,40000003,30,0,0
22,1700,1,4,2,icon_jjc_mlys_03,白银II,白银II,4300,0,42010001,10,91000056,1250,40000003,30,0,0
23,1700,1,4,3,icon_jjc_mlys_03,白银III,白银III,3700,0,42010001,10,91000056,1200,40000003,30,0,0
24,1700,1,4,4,icon_jjc_mlys_03,白银IV,白银IV,3100,0,42010001,10,91000056,1150,40000003,30,0,0
