taskid,activity_type,activity_periods,tasktypes,n1,n2,n3,n4,item,num,tasktxt,turn,id
10101,1700,1,283,1,1700,0,0,42010001,1,今日挑战首领梦魇骑士1次,3,1
10102,1700,1,283,3,1700,0,0,83000001,15,今日挑战首领梦魇骑士3次,3,2
10103,1700,1,281,3000000,1700,0,0,42010003,1,今日挑战首领梦魇骑士单次伤害超过3000000,3,3
10104,1700,1,131,1,0,0,0,83000001,20,使用占星1次,37,4
10105,1700,1,121,1,0,0,0,83000001,15,使用任意招募1次,17,5
10106,1700,1,282,4000000,1700,0,0,83000001,10,今日挑战首领梦魇骑士累计伤害达到4000000,3,6
10107,1700,1,282,8000000,1700,0,0,83000001,10,今日挑战首领梦魇骑士累计伤害达到8000000,3,7
10108,1700,1,282,12000000,1700,0,0,83000001,15,今日挑战首领梦魇骑士累计伤害达到12000000,3,8
10109,1700,1,282,16000000,1700,0,0,83000001,15,今日挑战首领梦魇骑士累计伤害达到16000000,3,9
10110,1700,1,282,20000000,1700,0,0,83000001,20,今日挑战首领梦魇骑士累计伤害达到20000000,3,10
10201,1700,2,283,1,1700,0,0,42010001,1,今日挑战首领梦魇骑士1次,3,1
10202,1700,2,283,3,1700,0,0,83000001,15,今日挑战首领梦魇骑士3次,3,2
10203,1700,2,281,6000000,1700,0,0,42010003,1,今日挑战首领梦魇骑士单次伤害超过6000000,3,3
10204,1700,2,131,1,0,0,0,83000001,20,使用占星1次,37,4
10205,1700,2,121,1,0,0,0,83000001,15,使用任意招募1次,17,5
10206,1700,2,282,8000000,1700,0,0,83000001,10,今日挑战首领梦魇骑士累计伤害达到8000000,3,6
10207,1700,2,282,16000000,1700,0,0,83000001,10,今日挑战首领梦魇骑士累计伤害达到16000000,3,7
10208,1700,2,282,24000000,1700,0,0,83000001,15,今日挑战首领梦魇骑士累计伤害达到24000000,3,8
10209,1700,2,282,32000000,1700,0,0,83000001,15,今日挑战首领梦魇骑士累计伤害达到32000000,3,9
10210,1700,2,282,40000000,1700,0,0,83000001,20,今日挑战首领梦魇骑士累计伤害达到40000000,3,10
10301,1700,3,283,1,1700,0,0,42010001,1,今日挑战首领梦魇骑士1次,3,1
10302,1700,3,283,3,1700,0,0,83000001,15,今日挑战首领梦魇骑士3次,3,2
10303,1700,3,281,9000000,1700,0,0,42010003,1,今日挑战首领梦魇骑士单次伤害超过9000000,3,3
10304,1700,3,131,1,0,0,0,83000001,20,使用占星1次,37,4
10305,1700,3,121,1,0,0,0,83000001,15,使用任意招募1次,17,5
10306,1700,3,282,12000000,1700,0,0,83000001,10,今日挑战首领梦魇骑士累计伤害达到12000000,3,6
10307,1700,3,282,24000000,1700,0,0,83000001,10,今日挑战首领梦魇骑士累计伤害达到24000000,3,7
10308,1700,3,282,36000000,1700,0,0,83000001,15,今日挑战首领梦魇骑士累计伤害达到36000000,3,8
10309,1700,3,282,48000000,1700,0,0,83000001,15,今日挑战首领梦魇骑士累计伤害达到48000000,3,9
10310,1700,3,282,60000000,1700,0,0,83000001,20,今日挑战首领梦魇骑士累计伤害达到60000000,3,10
10401,1700,4,283,1,1700,0,0,42010001,1,今日挑战首领梦魇骑士1次,3,1
10402,1700,4,283,3,1700,0,0,83000001,15,今日挑战首领梦魇骑士3次,3,2
10403,1700,4,281,12000000,1700,0,0,42010003,1,今日挑战首领梦魇骑士单次伤害超过12000000,3,3
10404,1700,4,131,1,0,0,0,83000001,20,使用占星1次,37,4
10405,1700,4,121,1,0,0,0,83000001,15,使用任意招募1次,17,5
10406,1700,4,282,16000000,1700,0,0,83000001,10,今日挑战首领梦魇骑士累计伤害达到16000000,3,6
