id,group,money,item1,num1,item2,num2,item3,num3,item4,num4,item5,num5,money_id,rebate_show,sale,money_reduce
10101,1,0,91000002,6000,13000002,60,0,0,0,0,0,0,701,999％+,6,0
10102,1,20,91000002,30000,42010001,10,0,0,0,0,0,0,702,999％+,30,0
10103,1,100,91000002,68000,42010001,20,0,0,0,0,0,0,703,900％+,68,30
10104,1,200,91000002,98000,42010001,20,13000001,120,0,0,0,0,704,800％+,98,30
10105,1,300,91000002,128000,42010002,10,13000001,240,0,0,0,0,705,600％+,128,30
10106,1,500,91000002,168000,42010002,10,13000001,360,0,0,0,0,706,600％+,168,60
10107,1,1000,91000002,198000,42010002,10,13000002,60,13000001,240,0,0,707,600％+,198,180
10108,1,1500,91000002,328000,42010002,20,30200000,1,0,0,0,0,708,600％+,328,180
10109,1,3000,91000002,648000,42010002,30,30200000,2,0,0,0,0,709,600％+,648,300
10201,2,0,91000002,6000,13000002,60,0,0,0,0,0,0,701,999％+,6,0
10202,2,20,91000002,30000,13000002,60,91000044,300,0,0,0,0,702,999％+,30,0
10203,2,100,91000002,68000,13000002,120,91000044,600,0,0,0,0,703,900％+,68,30
10204,2,200,91000002,98000,13000002,180,91000044,800,0,0,0,0,704,800％+,98,30
10205,2,300,91000002,128000,13000002,180,13000001,120,91000044,1000,0,0,705,600％+,128,30
10206,2,500,91000002,168000,13000002,240,13000001,180,91000044,1000,0,0,706,600％+,168,60
10207,2,1000,91000002,198000,60210050,1,13000002,240,91000044,1200,0,0,707,600％+,198,180
10208,2,1500,91000002,328000,60210060,1,13000002,240,91000044,1500,0,0,708,600％+,328,180
10209,2,3000,91000002,648000,60210070,1,30200000,1,91000044,3000,0,0,709,600％+,648,300
10301,3,0,91000002,6000,13000002,60,0,0,0,0,0,0,701,999％+,6,0
10302,3,20,91000002,30000,42010001,10,0,0,0,0,0,0,702,999％+,30,0
10303,3,100,91000002,68000,60210040,1,81000001,300,0,0,0,0,703,900％+,68,30
10304,3,200,91000002,98000,60210040,1,81000001,600,0,0,0,0,704,800％+,98,30
10305,3,300,91000002,128000,60210050,1,81000001,800,0,0,0,0,705,600％+,128,30
10306,3,500,91000002,168000,60210050,1,81000002,10,0,0,0,0,706,600％+,168,60
10307,3,1000,91000002,198000,60210060,1,81000002,20,0,0,0,0,707,600％+,198,180
10308,3,1500,91000002,328000,60210060,1,81000002,50,0,0,0,0,708,600％+,328,180
10309,3,3000,91000002,648000,60210070,1,30200000,1,81000002,50,0,0,709,600％+,648,300
10401,4,0,91000002,6000,13000002,60,0,0,0,0,0,0,701,999％+,6,0
10402,4,20,91000002,30000,42010001,10,0,0,0,0,0,0,702,999％+,30,0
10403,4,100,91000002,68000,42010001,10,91000044,600,0,0,0,0,703,900％+,68,30
10404,4,200,91000002,98000,42010001,10,13000002,60,0,0,0,0,704,800％+,98,30
10405,4,300,91000002,128000,42010001,20,91000044,800,0,0,0,0,705,600％+,128,30
10406,4,500,91000002,168000,42010001,20,13000002,120,0,0,0,0,706,600％+,168,60
10407,4,1000,91000002,198000,42010002,10,13000002,180,0,0,0,0,707,600％+,198,180
10408,4,1500,91000002,328000,42010002,20,30200000,1,0,0,0,0,708,600％+,328,180
10409,4,3000,91000002,648000,42010002,30,30200000,2,0,0,0,0,709,600％+,648,300
10501,5,0,91000002,6000,13000002,60,0,0,0,0,0,0,701,999％+,6,0
10502,5,20,91000002,30000,13000002,60,91000044,300,0,0,0,0,702,999％+,30,0
10503,5,100,91000002,68000,42010001,10,91000044,600,0,0,0,0,703,900％+,68,30
10504,5,200,91000002,98000,42010001,20,91000044,1000,0,0,0,0,704,800％+,98,30
10505,5,300,91000002,128000,42010001,20,91000044,1500,0,0,0,0,705,600％+,128,30
10506,5,500,91000002,168000,30200000,1,91000044,2000,0,0,0,0,706,600％+,168,60
10507,5,1000,91000002,198000,30200000,1,13000002,120,0,0,0,0,707,600％+,198,180
10508,5,1500,91000002,328000,42010002,20,30200000,1,0,0,0,0,708,600％+,328,180
10509,5,3000,91000002,648000,42010002,30,30200000,2,0,0,0,0,709,600％+,648,300
10601,6,0,91000002,6000,13000002,60,0,0,0,0,0,0,701,999％+,6,0
10602,6,20,91000002,30000,13000002,60,13000002,60,0,0,0,0,702,999％+,30,0
10603,6,100,91000002,68000,42010001,10,13000002,120,0,0,0,0,703,900％+,68,30
10604,6,200,91000002,98000,42010001,10,81000002,20,0,0,0,0,704,800％+,98,30
10605,6,300,91000002,128000,42010001,20,13000002,120,0,0,0,0,705,600％+,128,30
10606,6,500,91000002,168000,42010002,10,81000002,40,0,0,0,0,706,600％+,168,60
10607,6,1000,91000002,198000,30200000,1,13000002,120,0,0,0,0,707,600％+,198,180
10608,6,1500,91000002,328000,60210080,1,42010002,30,0,0,0,0,708,600％+,328,180
10609,6,3000,91000002,648000,60210080,1,81000002,100,42010002,20,0,0,709,600％+,648,300
10701,7,0,91000002,6000,13000002,60,0,0,0,0,0,0,701,999％+,6,0
10702,7,20,91000002,30000,13000002,60,13000002,60,0,0,0,0,702,999％+,30,0
10703,7,100,91000002,68000,42010001,10,13000002,120,0,0,0,0,703,900％+,68,30
10704,7,200,91000002,98000,42010001,10,81000002,20,0,0,0,0,704,800％+,98,30
10705,7,300,91000002,128000,42010001,20,13000002,120,0,0,0,0,705,600％+,128,30
10706,7,500,91000002,168000,42010002,10,81000002,40,0,0,0,0,706,600％+,168,60
10707,7,1000,91000002,198000,60210080,1,81000002,60,0,0,0,0,707,600％+,198,180
10708,7,1500,91000002,328000,60210080,1,42010002,30,0,0,0,0,708,600％+,328,180
10709,7,3000,91000002,648000,60210080,1,81000002,100,42010002,20,0,0,709,600％+,648,300
10801,8,0,91000002,6000,13000002,60,0,0,0,0,0,0,701,999％+,6,0
10802,8,20,91000002,30000,13000002,60,13000002,60,0,0,0,0,702,999％+,30,0
10803,8,100,91000002,68000,42010001,10,13000002,120,0,0,0,0,703,900％+,68,30
10804,8,200,91000002,98000,42010001,10,81000002,20,0,0,0,0,704,800％+,98,30
10805,8,300,91000002,128000,42010001,20,13000002,120,0,0,0,0,705,600％+,128,30
10806,8,500,91000002,168000,60210080,1,81000002,40,0,0,0,0,706,600％+,168,60
10807,8,1000,91000002,198000,60210080,1,81000002,60,0,0,0,0,707,600％+,198,180
10808,8,1500,91000002,328000,60210080,1,42010002,30,0,0,0,0,708,600％+,328,180
10809,8,3000,91000002,648000,60210080,1,81000002,100,42010002,20,0,0,709,600％+,648,300
10901,9,0,91000002,6000,13000002,60,0,0,0,0,0,0,701,999％+,6,0
10902,9,20,91000002,30000,13000002,60,13000002,60,0,0,0,0,702,999％+,30,0
10903,9,100,91000002,68000,42010001,10,13000002,120,0,0,0,0,703,900％+,68,30
10904,9,200,91000002,98000,42010001,10,81000002,20,0,0,0,0,704,800％+,98,30
10905,9,300,91000002,128000,60210080,1,13000002,120,0,0,0,0,705,600％+,128,30
10906,9,500,91000002,168000,60210080,1,81000002,40,0,0,0,0,706,600％+,168,60
10907,9,1000,91000002,198000,60210080,1,81000002,60,0,0,0,0,707,600％+,198,180
10908,9,1500,91000002,328000,60210080,1,42010002,30,0,0,0,0,708,600％+,328,180
10909,9,3000,91000002,648000,60210080,1,81000002,100,42010002,20,0,0,709,600％+,648,300
11001,10,0,91000002,6000,13000002,60,0,0,0,0,0,0,701,999％+,6,0
11002,10,20,91000002,30000,13000002,60,13000002,60,0,0,0,0,702,999％+,30,0
11003,10,100,91000002,68000,42010001,10,13000002,120,0,0,0,0,703,900％+,68,30
11004,10,200,91000002,98000,60210080,1,81000002,20,0,0,0,0,704,800％+,98,30
11005,10,300,91000002,128000,60210080,1,13000002,120,0,0,0,0,705,600％+,128,30
11006,10,500,91000002,168000,60210080,1,81000002,40,0,0,0,0,706,600％+,168,60
11007,10,1000,91000002,198000,60210080,1,81000002,60,0,0,0,0,707,600％+,198,180
11008,10,1500,91000002,328000,60210080,1,42010002,30,0,0,0,0,708,600％+,328,180
11009,10,3000,91000002,648000,60210080,1,81000002,100,42010002,20,0,0,709,600％+,648,300
11101,11,0,91000002,6000,13000002,60,0,0,0,0,0,0,701,999％+,6,0
11102,11,20,91000002,30000,13000002,60,13000002,60,0,0,0,0,702,999％+,30,0
11103,11,100,91000002,68000,60210080,1,13000002,120,0,0,0,0,703,900％+,68,30
11104,11,200,91000002,98000,60210080,1,81000002,20,0,0,0,0,704,800％+,98,30
11105,11,300,91000002,128000,60210080,1,13000002,120,0,0,0,0,705,600％+,128,30
11106,11,500,91000002,168000,60210080,1,81000002,40,0,0,0,0,706,600％+,168,60
11107,11,1000,91000002,198000,60210080,1,81000002,60,0,0,0,0,707,600％+,198,180
11108,11,1500,91000002,328000,60210080,1,42010002,30,0,0,0,0,708,600％+,328,180
11109,11,3000,91000002,648000,60210080,1,81000002,100,42010002,20,0,0,709,600％+,648,300
11201,12,0,91000002,6000,13000002,60,0,0,0,0,0,0,701,999％+,6,0
11202,12,20,91000002,30000,60210080,1,13000002,60,0,0,0,0,702,999％+,30,0
11203,12,100,91000002,68000,60210080,1,13000002,120,0,0,0,0,703,900％+,68,30
11204,12,200,91000002,98000,60210080,1,81000002,20,0,0,0,0,704,800％+,98,30
11205,12,300,91000002,128000,60210080,1,13000002,120,0,0,0,0,705,600％+,128,30
11206,12,500,91000002,168000,60210080,1,81000002,40,0,0,0,0,706,600％+,168,60
11207,12,1000,91000002,198000,60210080,1,81000002,60,0,0,0,0,707,600％+,198,180
11208,12,1500,91000002,328000,60210080,1,42010002,30,0,0,0,0,708,600％+,328,180
11209,12,3000,91000002,648000,60210080,1,81000002,100,42010002,20,0,0,709,600％+,648,300
11301,13,0,91000002,6000,60210080,1,0,0,0,0,0,0,701,999％+,6,0
11302,13,20,91000002,30000,60210080,1,13000002,60,0,0,0,0,702,999％+,30,0
11303,13,100,91000002,68000,60210080,1,13000002,120,0,0,0,0,703,900％+,68,30
11304,13,200,91000002,98000,60210080,1,81000002,20,0,0,0,0,704,800％+,98,30
11305,13,300,91000002,128000,60210080,1,13000002,120,0,0,0,0,705,600％+,128,30
11306,13,500,91000002,168000,60210080,1,81000002,40,0,0,0,0,706,600％+,168,60
11307,13,1000,91000002,198000,60210080,1,81000002,60,0,0,0,0,707,600％+,198,180
11308,13,1500,91000002,328000,60210080,1,42010002,30,0,0,0,0,708,600％+,328,180
11309,13,3000,91000002,648000,60210080,1,81000002,100,42010002,20,0,0,709,600％+,648,300
11401,14,0,91000002,6000,13000002,60,0,0,0,0,0,0,710,999％+,6,0
