id,activity_type,type,refresh_time,group,index,sort,tasktypes,n1,n2,n3,n4,item1,num1,item2,num2,item3,num3,item4,num4,item5,num5,vipnum,cost_price,sale,times,show_value,name,quality,effect_show,daily_effect_position,pic1,pic2_type,pic2,start,continued,cd,recharge_amount,star_hero,twinkle1,twinkle2,vip_amount
100200001,1002,1,1,0,1,1,201,1,0,0,0,13000002,5,91000002,5000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100200002,1002,1,1,0,2,2,201,1,206,0,0,91000002,1000,42010001,10,0,0,0,0,0,0,10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100200003,1002,1,1,0,3,3,201,1,207,0,0,91000002,3000,42010002,5,0,0,0,0,0,0,30,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100200004,1002,1,1,0,4,4,201,1,230,0,0,13000002,60,30000003,1,0,0,0,0,0,0,60,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100200005,1002,1,1,0,5,5,201,1,231,0,0,13000002,60,30010003,1,0,0,0,0,0,0,300,0,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100200006,1002,1,1,0,6,6,201,1,232,0,0,91000002,30000,42010001,30,91000041,100000,0,0,0,0,300,0,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100200007,1002,1,1,0,7,7,201,1,233,0,0,91000002,30000,42010002,15,91000041,100000,0,0,0,0,300,0,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100200008,1002,1,1,0,8,8,201,1,234,0,0,91000002,30000,81000001,500,30010002,6,0,0,0,0,300,0,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100200009,1002,1,1,0,9,9,201,1,235,0,0,91000002,30000,40000003,100,30010002,6,0,0,0,0,300,0,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100200010,1002,1,1,0,10,10,201,1,236,0,0,91000002,68000,81000002,100,0,0,0,0,0,0,680,0,68,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100200011,1002,1,1,0,11,11,201,1,237,0,0,91000002,68000,40000004,50,0,0,0,0,0,0,680,0,68,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100200012,1002,1,1,0,12,12,201,1,239,0,0,91000002,68000,91000056,300,0,0,0,0,0,0,680,0,68,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100200013,1002,1,1,0,13,13,201,1,240,0,0,91000002,98000,30020008,15,0,0,0,0,0,0,980,0,98,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
100300001,1003,2,2,0,1,1,201,1,0,0,0,13000002,5,91000002,10000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100300002,1003,2,2,0,2,2,201,1,250,0,0,91000002,6000,13000002,60,0,0,0,0,0,0,60,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100300003,1003,2,2,0,3,3,201,1,251,0,0,81000002,50,30020002,1,0,0,0,0,0,0,300,0,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100300004,1003,2,2,0,4,4,201,1,252,0,0,42010002,30,30010002,6,0,0,0,0,0,0,680,0,68,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100300005,1003,2,2,0,5,5,201,1,253,0,0,82000001,5,30000003,1,0,0,0,0,0,0,980,0,98,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100300006,1003,2,2,0,6,6,201,1,254,0,0,40000003,200,40000004,66,0,0,0,0,0,0,1280,0,128,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
100300007,1003,2,2,0,7,7,201,1,255,0,0,91000002,128000,91000056,800,0,0,0,0,0,0,1280,0,128,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
100300008,1003,2,2,0,8,8,201,1,256,0,0,91000002,128000,42010001,100,0,0,0,0,0,0,1280,0,128,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100300009,1003,2,2,0,9,9,201,1,257,0,0,42010002,50,30000003,2,30010003,1,0,0,0,0,1980,0,198,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
100300010,1003,2,2,0,10,10,201,1,258,0,0,42010001,100,30200100,1,30020002,6,0,0,0,0,3280,0,328,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
100300011,1003,2,2,0,11,11,201,1,259,0,0,42010002,50,30200101,1,0,0,0,0,0,0,6480,0,648,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
100300012,1003,2,2,0,12,12,201,1,260,0,0,42010003,50,0,0,0,0,0,0,0,0,6480,0,648,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
100400001,1004,3,3,0,1,1,201,1,0,0,0,13000002,10,91000002,10000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100400002,1004,3,3,0,2,2,201,1,270,0,0,91000002,6000,13000002,60,0,0,0,0,0,0,60,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100400003,1004,3,3,0,3,3,201,1,271,0,0,91000002,30000,80640081,15,0,0,0,0,0,0,300,0,30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100400004,1004,3,3,0,4,4,201,1,272,0,0,91000002,30000,42010002,20,0,0,0,0,0,0,300,0,30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100400005,1004,3,3,0,5,5,201,1,273,0,0,82000001,5,30000003,1,0,0,0,0,0,0,680,0,68,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100400006,1004,3,3,0,6,6,201,1,274,0,0,91000002,98000,82000001,5,0,0,0,0,0,0,980,0,98,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100400007,1004,3,3,0,7,7,201,1,275,0,0,91000002,128000,13000002,240,30010003,2,0,0,0,0,1280,0,128,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100400008,1004,3,3,0,8,8,201,1,276,0,0,91000002,168000,91000052,2,0,0,0,0,0,0,1680,0,168,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
100400009,1004,3,3,0,9,9,201,1,277,0,0,91000002,198000,42010001,100,81000002,100,0,0,0,0,1680,0,168,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100400010,1004,3,3,0,10,10,201,1,278,0,0,91000002,328000,42010002,100,0,0,0,0,0,0,3280,0,328,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
100400011,1004,3,3,0,11,11,201,1,279,0,0,91000002,648000,30200101,1,0,0,0,0,0,0,6480,0,648,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
100400012,1004,3,3,0,12,12,201,1,280,0,0,91000002,648000,42010003,40,0,0,0,0,0,0,6480,0,648,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
100400013,1004,3,3,0,13,13,201,1,281,0,0,40000003,500,40000004,200,30020008,120,0,0,0,0,6480,0,648,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
100800001,1008,4,0,0,1,3,201,1,401,0,0,91000002,12000,13000002,60,91000041,50000,0,0,0,0,60,0,6,1,999％+,新手福利,2,3,0,icon_xinshoulibao_01,0,0,0,0,0,0,0,0,0,0
100800002,1008,4,0,0,2,4,201,1,402,0,0,91000002,60000,13000002,60,30020084,1,0,0,0,0,300,0,30,1,999％+,新手福利,2,3,0,icon_xinshoulibao_02,0,0,0,0,0,0,0,0,0,0
100800003,1008,4,0,0,3,5,201,1,403,0,0,91000002,136000,42010001,50,91000041,100000,0,0,0,0,680,0,68,1,999％+,新手精品,4,2,0,icon_xinshoulibao_03,0,0,0,0,0,0,0,0,0,0
100800004,1008,4,0,0,4,6,201,1,404,0,0,91000002,196000,42010002,50,91000041,100000,0,0,0,0,980,0,98,1,999％+,新手豪华,4,3,0,icon_xinshoulibao_04,0,0,0,0,0,0,0,0,0,0
100800005,1008,4,0,0,5,7,201,1,405,0,0,91000002,256000,42010003,10,30020012,6,0,0,0,0,1280,0,128,1,999％+,豪华礼包,4,2,0,icon_xinshoulibao_04,0,0,0,0,0,0,0,0,0,0
100800006,1008,4,0,0,6,2,201,1,406,0,0,91000002,656000,30200101,1,13000002,120,0,0,0,0,3280,0,328,2,500％,光暗自选,6,2,0,icon_xinshoulibao_04,0,0,0,0,0,0,0,0,0,0
100800007,1008,4,0,0,7,1,201,1,407,0,0,91000002,1296000,11500401,1,30020085,1,0,0,0,0,6480,0,648,1,400％,黎明圣炎,8,2,0,icon_xinshoulibao_04,0,0,0,0,0,0,0,0,0,0
100800008,1008,4,0,0,8,8,201,1,408,0,0,91000002,1000000,11500401,2,30020085,4,0,0,0,0,10000,0,1000,1,999％+,黎明圣炎,4,2,0,icon_xinshoulibao_04,0,0,0,0,0,0,0,0,0,0
100800009,1008,4,0,0,9,9,201,1,409,0,0,91000002,2000000,42010003,100,30020043,4,0,0,0,0,20000,0,2000,1,500％,豪华礼包,6,2,0,icon_xinshoulibao_04,0,0,0,0,0,0,0,0,0,0
100800010,1008,4,0,0,10,10,201,1,410,0,0,91000002,5000000,42010003,200,30020044,4,0,0,0,0,50000,0,5000,1,400％,豪华礼包,8,2,0,icon_xinshoulibao_04,0,0,0,0,0,0,0,0,0,0
