id,activity_type,activity_periods,hero,duty,seevip,needvip,needquality,txt,pay,amount,limit,tasktypes,n1,n2,n3,n4,item1,num1,item2,num2,item3,num3,item4,num4
1,1800,1,5007,持续输出型英雄,0,0,4,达到精英品质解锁,0,0,1,0,0,0,0,0,91000044,2000,0,0,0,0,0,0
2,1800,1,5007,持续输出型英雄,0,0,5,达到精英+品质解锁,0,0,1,0,0,0,0,0,42010003,10,0,0,0,0,0,0
3,1800,1,5007,持续输出型英雄,0,0,6,达到史诗品质解锁,0,0,1,0,0,0,0,0,91000056,300,0,0,0,0,0,0
4,1800,1,5007,持续输出型英雄,0,0,7,达到史诗+品质解锁,0,0,1,0,0,0,0,0,82000001,2,0,0,0,0,0,0
5,1800,1,5007,持续输出型英雄,5,5,8,达到传说品质解锁,0,0,1,0,0,0,0,0,30020070,1,0,0,0,0,0,0
6,1800,1,5007,持续输出型英雄,5,5,9,达到传说+品质解锁,0,0,1,0,0,0,0,0,40000004,50,0,0,0,0,0,0
7,1800,1,5007,持续输出型英雄,5,5,10,达到神话品质解锁,0,0,1,0,0,0,0,0,52500702,1,0,0,0,0,0,0
8,1800,1,5007,持续输出型英雄,13,13,11,达到神话1星品质解锁,0,0,1,0,0,0,0,0,42010003,10,0,0,0,0,0,0
9,1800,1,5007,持续输出型英雄,13,13,12,达到神话2星品质解锁,0,0,1,0,0,0,0,0,40000019,1,81000002,30,0,0,0,0
10,1800,1,5007,持续输出型英雄,13,13,13,达到神话3星品质解锁,0,0,1,0,0,0,0,0,40000005,30,91000056,300,0,0,0,0
11,1800,1,5007,持续输出型英雄,13,13,14,达到神话4星品质解锁,0,0,1,0,0,0,0,0,40000024,1,81000002,60,0,0,0,0
12,1800,1,5007,持续输出型英雄,13,13,15,达到神话5星品质解锁,0,0,1,0,0,0,0,0,42010003,20,91000001,10000000,0,0,0,0
13,1800,1,5007,持续输出型英雄,0,0,4,达到精英品质解锁,1,6,1,201,1,901,0,0,91000002,6000,40000003,50,0,0,0,0
14,1800,1,5007,持续输出型英雄,0,0,5,达到精英+品质解锁,1,30,2,201,1,902,0,0,91000002,30000,40000003,100,0,0,0,0
15,1800,1,5007,持续输出型英雄,0,0,6,达到史诗品质解锁,1,98,2,201,1,903,0,0,91000002,98000,42010003,10,0,0,0,0
16,1800,1,5007,持续输出型英雄,0,0,7,达到史诗+品质解锁,1,163,2,201,1,904,0,0,91000002,163000,11500701,1,0,0,0,0
17,1800,1,5007,持续输出型英雄,5,5,8,达到传说品质解锁,1,648,2,201,1,905,0,0,91000002,648000,30020070,4,0,0,0,0
18,1800,1,5007,持续输出型英雄,5,5,9,达到传说+品质解锁,1,198,2,201,1,906,0,0,91000002,198000,40000004,110,0,0,0,0
19,1800,1,5007,持续输出型英雄,5,5,10,达到神话品质解锁,1,648,2,201,1,907,0,0,91000002,648000,11500701,2,91000056,100,0,0
20,1800,1,5007,持续输出型英雄,13,13,11,达到神话1星品质解锁,1,328,2,201,1,908,0,0,91000002,328000,42010003,50,0,0,0,0
21,1800,1,5007,持续输出型英雄,13,13,12,达到神话2星品质解锁,1,328,2,201,1,909,0,0,91000002,328000,40000004,200,91000056,300,0,0
22,1800,1,5007,持续输出型英雄,13,13,13,达到神话3星品质解锁,1,648,2,201,1,910,0,0,91000002,648000,40000005,200,0,0,0,0
23,1800,1,5007,持续输出型英雄,13,13,14,达到神话4星品质解锁,1,648,2,201,1,911,0,0,91000002,648000,40000019,2,81000002,200,0,0
24,1800,1,5007,持续输出型英雄,13,13,15,达到神话5星品质解锁,1,648,2,201,1,912,0,0,91000002,648000,40000024,2,81000002,200,0,0
25,1800,2,5007,持续输出型英雄,0,0,4,达到精英品质解锁,0,0,1,0,0,0,0,0,91000044,2000,0,0,0,0,0,0
26,1800,2,5007,持续输出型英雄,0,0,5,达到精英+品质解锁,0,0,1,0,0,0,0,0,42010003,10,0,0,0,0,0,0
27,1800,2,5007,持续输出型英雄,0,0,6,达到史诗品质解锁,0,0,1,0,0,0,0,0,91000056,300,0,0,0,0,0,0
28,1800,2,5007,持续输出型英雄,0,0,7,达到史诗+品质解锁,0,0,1,0,0,0,0,0,82000001,2,0,0,0,0,0,0
29,1800,2,5007,持续输出型英雄,5,5,8,达到传说品质解锁,0,0,1,0,0,0,0,0,30020070,1,0,0,0,0,0,0
30,1800,2,5007,持续输出型英雄,5,5,9,达到传说+品质解锁,0,0,1,0,0,0,0,0,40000004,50,0,0,0,0,0,0
31,1800,2,5007,持续输出型英雄,5,5,10,达到神话品质解锁,0,0,1,0,0,0,0,0,52500702,1,0,0,0,0,0,0
32,1800,2,5007,持续输出型英雄,13,13,11,达到神话1星品质解锁,0,0,1,0,0,0,0,0,42010003,10,0,0,0,0,0,0
