id,type,group,item,num,limit,layer,change,lucky,weight,minlucky,minweight,maxlucky,maxweight,notice
1,1,0,91000044,20,5,0,0,0,1,1000,6,3000,6,0
2,1,0,91000025,200,5,0,0,0,1,1000,6,3000,6,0
3,1,0,91000051,200,5,0,0,0,1,1000,6,3000,6,0
4,1,0,91000001,100000,5,0,0,0,1,1000,6,3000,6,0
5,1,0,91000002,200,5,0,0,0,1,1000,6,3000,6,0
6,1,0,13000001,5,5,0,0,0,1,1000,6,3000,6,0
7,1,0,81000001,10,5,0,0,0,1,1000,6,3000,6,0
8,2,1,30000004,20,20,0,21,1500,0,1000,2,3000,4,1
9,2,1,30010004,5,20,0,21,1500,0,1000,2,3000,4,1
10,2,1,30020003,5,20,0,21,1500,0,1000,2,3000,4,1
11,2,1,42010001,2,20,0,21,1500,0,1000,2,3000,4,1
12,2,1,42010002,1,20,0,21,1500,0,1000,2,3000,4,1
13,2,1,42010003,1,20,0,21,1500,0,1000,2,3000,4,1
14,2,1,30100101,2,20,0,21,1500,0,1000,2,3000,4,1
15,2,1,30100102,2,20,0,21,1500,0,1000,2,3000,4,1
16,2,1,30100103,2,20,0,21,1500,0,1000,2,3000,4,1
17,2,1,30100104,2,20,0,21,1500,0,1000,2,3000,4,1
18,2,1,40000003,15,20,0,21,1500,0,1000,2,3000,4,1
19,2,1,91000056,80,20,0,21,1500,0,1000,2,3000,4,1
20,2,2,11100101,1,2,0,21,3500,0,1500,2,3000,4,2
21,2,2,11101101,1,2,0,21,3500,0,1500,2,3000,4,2
22,2,2,11200701,1,2,0,21,3500,0,1500,2,3000,4,2
23,2,2,11200201,1,2,0,21,3500,0,1500,2,3000,4,2
24,2,2,11300901,1,2,0,21,3500,0,1500,2,3000,4,2
25,2,2,11300801,1,2,0,21,3500,0,1500,2,3000,4,2
26,2,2,11400601,1,2,0,21,3500,0,1500,2,3000,4,2
27,2,2,11400301,1,2,0,21,3500,0,1500,2,3000,4,2
28,2,2,11500301,1,1,20,21,3500,0,1500,2,3000,4,2
29,2,2,11500201,1,1,20,21,3500,0,1500,2,3000,4,2
30,2,2,11600201,1,1,20,21,3500,0,1500,2,3000,4,2
31,2,2,11600701,1,1,20,21,3500,0,1500,2,3000,4,2
32,2,2,42010003,15,2,0,21,3500,0,1500,2,3000,4,2
33,2,2,40000004,120,2,0,21,3500,0,1500,2,3000,4,2
34,2,2,30020008,60,2,0,21,3500,0,1500,2,3000,4,2
35,2,2,91000056,1500,2,0,21,3500,0,1500,2,3000,4,2
36,2,2,82000001,8,2,0,21,3500,0,1500,2,3000,4,2
37,2,2,30020043,4,2,0,21,3500,0,1500,2,3000,4,2
38,2,2,30020044,4,1,20,21,3500,0,1500,2,3000,4,2
