id,type,group,index,content,tasktypes,n1,n2,n3,n4,free_award1,free_num1,gold_award1,gold_num1,gold_twinkle1,gold_twinkle2
10101,1,1,1,1章可领,43,1,0,0,0,42010001,10,91000002,270000,0,1
10102,1,1,2,3章可领,43,3,0,0,0,42010001,10,91000002,270000,0,0
10103,1,1,3,5章可领,43,5,0,0,0,42010001,10,91000002,270000,0,0
10104,1,1,4,7章可领,43,7,0,0,0,42010001,10,91000002,270000,0,0
10105,1,1,5,9章可领,43,9,0,0,0,42010001,15,91000002,360000,0,1
10106,1,1,6,11章可领,43,11,0,0,0,42010001,15,91000002,360000,0,0
10107,1,1,7,13章可领,43,13,0,0,0,42010001,15,91000002,540000,0,1
10108,1,1,8,15章可领,43,15,0,0,0,42010001,15,91000002,540000,0,0
10109,1,1,9,17章可领,43,17,0,0,0,42010001,20,91000002,810000,0,1
10110,1,1,10,19章可领,43,19,0,0,0,42010001,20,91000002,810000,0,0
20101,2,1,1,20层可领,81,20,0,0,0,91000002,25000,91000002,270000,0,1
20102,2,1,2,50层可领,81,50,0,0,0,91000002,25000,91000002,270000,0,0
20103,2,1,3,80层可领,81,80,0,0,0,91000002,25000,91000002,270000,0,0
20104,2,1,4,100层可领,81,100,0,0,0,91000002,25000,91000002,270000,0,0
20105,2,1,5,120层可领,81,120,0,0,0,91000002,35000,91000002,360000,0,1
20106,2,1,6,140层可领,81,140,0,0,0,91000002,35000,91000002,360000,0,0
20107,2,1,7,160层可领,81,160,0,0,0,91000002,50000,91000002,540000,0,1
20108,2,1,8,180层可领,81,180,0,0,0,91000002,50000,91000002,540000,0,0
20109,2,1,9,200层可领,81,200,0,0,0,91000002,80000,91000002,810000,0,1
20110,2,1,10,250层可领,81,250,0,0,0,91000002,80000,91000002,810000,0,0
30101,3,1,1,200000,204,200000,0,0,0,30020086,1,30020087,1,0,1
30102,3,1,2,400000,204,400000,0,0,0,30020086,1,30020087,1,0,0
30103,3,1,3,600000,204,600000,0,0,0,30020086,1,30020087,1,0,0
30104,3,1,4,1000000,204,1000000,0,0,0,30020086,1,30020087,1,0,0
30105,3,1,5,1500000,204,1500000,0,0,0,30020086,1,30020087,1,0,1
30106,3,1,6,2500000,204,2500000,0,0,0,30020086,1,30020087,1,0,0
