id,sort,mode,modetype,type,name,backicon,nameicon,dec,step,txt,tasktypes,n1,n2,n3,n4,item1,num1,item2,num2,item3,num3,item4,num4,costitem1,costnum1,costitem2,costnum2,costitem3,costnum3,costitem4,costnum4,start,continued,cd,show,renovate,reset,status,button,buttontype,buttoncolour
100101,1,0,0,1,签到,0,name_activity_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
100201,2,0,0,2,领体力,0,name_activity_03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
900101,11,3,0,9001,关卡双倍,acg_activity_10,name_activity_10,0,0,0,130,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2099-03-29 05:00:00,259200,0,0,0,0,1,1,0,0
900201,12,3,0,9002,寻访双倍,acg_activity_11,name_activity_17,0,0,0,131,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2099-03-29 05:00:00,345600,0,0,0,0,1,1,0,0
900301,13,3,0,9003,领体力双倍,acg_activity_11,name_activity_17,0,0,0,135,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2099-03-29 05:00:00,345600,0,0,0,0,1,4,0,0
100301,997,0,0,6,月卡,0,name_activity_05,0,1,月卡,50,1,101,0,0,91000002,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
100302,997,0,0,6,月卡,0,name_activity_05,0,2,至尊月卡,50,1,102,0,0,91000002,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
100303,997,0,0,6,月卡,0,name_activity_05,0,3,永久月卡,50,1,103,0,0,91000002,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
100401,998,0,0,9,兑换码,0,name_activity_06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
900401,999,0,0,9004,首充奖励,0,0,0,0,0,0,0,0,0,0,11300301,1,91000002,300,91000001,80000,30101000,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
900501,999,0,0,9005,限时神将,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,259200,0,86400,0,0,1,4,0,0
900601,999,0,0,9006,预约神将,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2099-04-04 05:00:00,259200,0,86400,0,0,1,4,0,0
900701,999,0,0,9007,众将降临,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,259200,0,86400,0,0,1,4,0,0
900801,999,0,0,9008,许愿池,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,259200,0,0,0,0,1,4,0,0
900901,999,0,0,9009,合服预热,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2099-04-04 05:00:00,259200,0,0,0,0,1,4,0,0
901001,999,0,0,9010,红包,0,0,祝所有主公国庆快乐,0,祝所有主公国庆快乐,1,50,91000002,5000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2099-04-04 05:00:00,86400,0,0,0,0,1,4,0,0
901101,999,0,0,9011,转盘,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2099-10-01 05:00:00,345600,0,0,0,0,1,4,0,0
901201,999,0,0,9012,翻牌,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2099-10-01 05:00:00,345600,0,0,0,0,1,4,0,0
901301,999,0,0,9013,独立充值,0,0,贵族4,0,8888,73,1,225,0,0,91000002,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2099-10-01 05:00:00,172800,0,0,0,0,0,4,0,0
901401,999,0,0,9014,砸金蛋,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,691200,0,0,0,0,1,4,0,0
901501,1,4,0,9015,开工福利,bg_activity_60,name_activity_80,活动期间奖励不重置,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2099-10-01 05:00:00,172800,0,0,0,0,1,2,2,0
901601,1,8,0,9016,连续充值,0,name_activity_70,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2099-10-01 05:00:00,432000,0,0,0,0,0,2,7,1
901701,1,8,0,9017,连续充值,0,name_activity_70,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2099-10-01 05:00:00,432000,0,0,0,0,0,2,7,1
901801,1,8,0,9018,幸运礼包,0,font_huodong_yxwd_04,限量武将，兵法材料，限量返送,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
902001,1,0,0,9020,全民礼包,0,全民礼包,8-12点，18-23点，每隔整点刷新,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,0
902101,1,0,0,9021,限时礼包,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259200,0,0,0,0,1,4,0,0
902201,1,8,0,9022,天天充值,bg_activity_42,充值好礼,每日充值30元即可领豪礼,0,豪华大礼包,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,604800,0,0,0,0,1,2,3,1
902301,1,0,0,9023,超值基金,bg_activity_43,超值基金,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,604800,0,864000,0,0,1,2,8,1
902401,1,0,0,9024,每日首充1,0,0,0,0,0,73,0,0,0,0,72000002,6,91000002,100,79000008,20,30101000,100,0,0,0,0,0,0,0,0,1,259200,0,0,1,0,1,4,0,0
902501,1,0,0,9025,每日首充2,0,0,0,0,0,73,0,0,0,0,72000002,6,91000002,100,79000008,20,30101000,100,0,0,0,0,0,0,0,0,4,8640000,0,0,1,0,1,4,0,0
902601,1,0,0,9026,开服基金,bg_activity_43,开服基金,0,0,0,0,0,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,604800,0,864000,0,0,1,2,2,1
200101,3,2,1,2001,累充送礼,bg_activity_43,充值好礼,累计充值有福利，赠送元宝不计入活动。,1,累计充值60元宝,60,60,0,0,0,60000277,30,79000008,10,0,0,0,0,0,0,0,0,0,0,0,0,2099-10-01 05:00:00,345600,0,0,0,0,1,2,3,1
200102,3,2,1,2001,累充送礼,bg_activity_43,充值好礼,累计充值有福利，赠送元宝不计入活动。,2,累计充值300元宝,60,300,0,0,0,60000277,50,79000008,50,0,0,0,0,0,0,0,0,0,0,0,0,2099-10-01 05:00:00,345600,0,0,0,0,1,2,3,1
200103,3,2,1,2001,累充送礼,bg_activity_43,充值好礼,累计充值有福利，赠送元宝不计入活动。,3,累计充值600元宝,60,600,0,0,0,60000277,80,79000008,100,0,0,0,0,0,0,0,0,0,0,0,0,2099-10-01 05:00:00,345600,0,0,0,0,1,2,3,1
200104,3,2,1,2001,累充送礼,bg_activity_43,充值好礼,累计充值有福利，赠送元宝不计入活动。,4,累计充值1000元宝,60,1000,0,0,0,60000277,100,79000008,200,0,0,0,0,0,0,0,0,0,0,0,0,2099-10-01 05:00:00,345600,0,0,0,0,1,2,3,1
200105,3,2,1,2001,累充送礼,bg_activity_43,充值好礼,累计充值有福利，赠送元宝不计入活动。,5,累计充值2000元宝,60,2000,0,0,0,60000279,50,60000259,50,91000001,500000,0,0,0,0,0,0,0,0,0,0,2099-10-01 05:00:00,345600,0,0,0,0,1,2,3,1
200106,3,2,1,2001,累充送礼,bg_activity_43,充值好礼,累计充值有福利，赠送元宝不计入活动。,6,累计充值3000元宝,60,3000,0,0,0,60000279,50,60000260,50,91000001,500000,0,0,0,0,0,0,0,0,0,0,2099-10-01 05:00:00,345600,0,0,0,0,1,2,3,1
200107,3,2,1,2001,累充送礼,bg_activity_43,充值好礼,累计充值有福利，赠送元宝不计入活动。,7,累计充值6000元宝,60,6000,0,0,0,60000279,50,60000260,50,91000001,500000,0,0,0,0,0,0,0,0,0,0,2099-10-01 05:00:00,345600,0,0,0,0,1,2,3,1
200108,3,2,1,2001,累充送礼,bg_activity_43,充值好礼,累计充值有福利，赠送元宝不计入活动。,8,累计充值10000元宝,60,10000,0,0,0,60000279,50,60000261,50,91000001,800000,0,0,0,0,0,0,0,0,0,0,2099-10-01 05:00:00,345600,0,0,0,0,1,2,3,1
200109,3,2,1,2001,累充送礼,bg_activity_43,充值好礼,累计充值有福利，赠送元宝不计入活动。,9,累计充值15000元宝,60,15000,0,0,0,60000278,50,60000261,50,91000001,800000,0,0,0,0,0,0,0,0,0,0,2099-10-01 05:00:00,345600,0,0,0,0,1,2,3,1
