id,class,dan,icon,name,ranking,capacity,integral,income,limit
1,1,1,icon_jjc_mlys_07,最强王者,1,1,600,400,10000
2,1,2,icon_jjc_mlys_07,最强王者,2,1,595,399,10000
3,1,3,icon_jjc_mlys_07,最强王者,3,1,590,398,10000
4,1,4,icon_jjc_mlys_07,最强王者,4,1,585,397,10000
5,1,5,icon_jjc_mlys_07,最强王者,5,1,580,396,10000
6,1,6,icon_jjc_mlys_07,最强王者,6,1,575,395,10000
7,1,7,icon_jjc_mlys_07,最强王者,7,1,570,394,10000
8,1,8,icon_jjc_mlys_07,最强王者,8,1,565,393,10000
9,1,9,icon_jjc_mlys_07,最强王者,9,1,560,392,10000
10,1,10,icon_jjc_mlys_07,最强王者,10,1,555,391,10000
11,1,11,icon_jjc_mlys_07,最强王者,11,1,550,390,10000
12,1,12,icon_jjc_mlys_07,最强王者,12,1,545,389,10000
13,1,13,icon_jjc_mlys_07,最强王者,13,1,540,388,10000
14,1,14,icon_jjc_mlys_07,最强王者,14,1,535,387,10000
15,1,15,icon_jjc_mlys_07,最强王者,15,1,530,386,10000
16,1,16,icon_jjc_mlys_07,最强王者,16,1,525,385,10000
17,1,17,icon_jjc_mlys_07,最强王者,17,1,520,384,10000
18,1,18,icon_jjc_mlys_07,最强王者,18,1,515,383,10000
19,1,19,icon_jjc_mlys_07,最强王者,19,1,510,382,10000
20,1,20,icon_jjc_mlys_07,最强王者,20,1,505,381,10000
21,1,21,icon_jjc_mlys_07,最强王者,21,1,500,380,10000
22,1,22,icon_jjc_mlys_07,最强王者,22,1,495,379,10000
23,1,23,icon_jjc_mlys_07,最强王者,23,1,490,378,10000
24,1,24,icon_jjc_mlys_07,最强王者,24,1,485,377,10000
25,1,25,icon_jjc_mlys_07,最强王者,25,1,480,376,10000
26,1,26,icon_jjc_mlys_07,最强王者,26,1,475,375,10000
27,1,27,icon_jjc_mlys_07,最强王者,27,1,470,374,10000
28,1,28,icon_jjc_mlys_07,最强王者,28,1,465,373,10000
29,1,29,icon_jjc_mlys_07,最强王者,29,1,460,372,10000
30,1,30,icon_jjc_mlys_07,最强王者,30,1,450,371,10000
31,1,31,icon_jjc_mlys_07,最强王者,31,1,440,370,10000
32,1,32,icon_jjc_mlys_07,最强王者,32,1,430,369,10000
33,1,33,icon_jjc_mlys_07,最强王者,33,1,420,368,10000
34,1,34,icon_jjc_mlys_07,最强王者,34,1,410,367,10000
