id,name,icon,index,sort,identification
53100001,猎豹战旗,icon_armyflag_001,1,101,1
53200001,猛虎战旗,icon_armyflag_001,2,1,1
53100002,夜枭战旗,icon_armyflag_002,1,102,2
53200002,雷鸟战旗,icon_armyflag_002,2,2,2
53100003,暗月战旗,icon_armyflag_003,1,103,3
53200003,月蚀战旗,icon_armyflag_003,2,3,3
53100004,野猪战旗,icon_armyflag_004,1,104,4
53200004,龙龟战旗,icon_armyflag_004,2,4,4
53100005,龙鹰战旗,icon_armyflag_005,1,105,5
53200005,金雕战旗,icon_armyflag_005,2,5,5
53100006,青日战旗,icon_armyflag_006,1,106,6
53200006,日蚀战旗,icon_armyflag_006,2,6,6
53100007,公牛战旗,icon_armyflag_007,1,107,7
53200007,猛犸战旗,icon_armyflag_007,2,7,7
53100008,暂无,icon_armyflag_001,1,108,8
53200008,暂无,icon_armyflag_001,2,8,8
53100009,暂无,icon_armyflag_001,1,109,9
53200009,暂无,icon_armyflag_001,2,9,9
