lazyid,id,name,lv,needitem,neednum,needlv,base_type1,base_value1,base_type2,base_value2,base_type3,base_value3
5001001,53100001,猎豹战旗,1,53100001,1,1,7,150,56,0,99,15000
5001002,53100001,猎豹战旗,2,53100001,2,1,7,205,56,0,99,20500
5001003,53100001,猎豹战旗,3,53100001,3,1,7,290,56,0,99,29000
5001004,53100001,猎豹战旗,4,53100001,4,1,7,400,56,0,99,40000
5001005,53100001,猎豹战旗,5,53100001,5,1,7,535,56,0,99,53500
5001006,53100001,猎豹战旗,6,53100001,6,1,7,690,56,0,99,69000
5001007,53100001,猎豹战旗,7,53100001,7,1,7,865,56,0,99,86500
5001008,53100001,猎豹战旗,8,53100001,8,1,7,1060,56,0,99,106000
5001009,53100001,猎豹战旗,9,53100001,9,1,7,1275,56,0,99,127500
5001010,53100001,猎豹战旗,10,53100001,10,10,7,1510,56,0,99,151000
5001011,53100001,猎豹战旗,11,53100001,11,10,7,1760,56,0,99,176000
5001012,53100001,猎豹战旗,12,53100001,12,10,7,2030,56,0,99,203000
5001013,53100001,猎豹战旗,13,53100001,13,10,7,2315,56,0,99,231500
5001014,53100001,猎豹战旗,14,53100001,14,10,7,2620,56,0,99,262000
5001015,53100001,猎豹战旗,15,53100001,15,10,7,2940,56,0,99,294000
5001016,53100001,猎豹战旗,16,53100001,16,10,7,3275,56,0,99,327500
5001017,53100001,猎豹战旗,17,53100001,17,10,7,3630,56,0,99,363000
5001018,53100001,猎豹战旗,18,53100001,18,10,7,3995,56,0,99,399500
5001019,53100001,猎豹战旗,19,53100001,19,10,7,4380,56,0,99,438000
5001020,53100001,猎豹战旗,20,53100001,20,20,7,4780,56,0,99,478000
5001021,53100001,猎豹战旗,21,53100001,21,20,7,5195,56,0,99,519500
5001022,53100001,猎豹战旗,22,53100001,22,20,7,5625,56,0,99,562500
5001023,53100001,猎豹战旗,23,53100001,23,20,7,6070,56,0,99,607000
5001024,53100001,猎豹战旗,24,53100001,24,20,7,6530,56,0,99,653000
5001025,53100001,猎豹战旗,25,53100001,25,20,7,7005,56,0,99,700500
5001026,53100001,猎豹战旗,26,53100001,26,20,7,7495,56,0,99,749500
5001027,53100001,猎豹战旗,27,53100001,27,20,7,8000,56,0,99,800000
5001028,53100001,猎豹战旗,28,53100001,28,20,7,8515,56,0,99,851500
5001029,53100001,猎豹战旗,29,53100001,29,20,7,9050,56,0,99,905000
5001030,53100001,猎豹战旗,30,53100001,30,30,7,9595,56,0,99,959500
5001031,53100001,猎豹战旗,31,53100001,31,30,7,10155,56,0,99,1015500
5001032,53100001,猎豹战旗,32,53100001,32,30,7,10725,56,0,99,1072500
5001033,53100001,猎豹战旗,33,53100001,33,30,7,11315,56,0,99,1131500
5001034,53100001,猎豹战旗,34,53100001,34,30,7,11915,56,0,99,1191500
5001035,53100001,猎豹战旗,35,53100001,35,30,7,12525,56,0,99,1252500
5001036,53100001,猎豹战旗,36,53100001,36,30,7,13155,56,0,99,1315500
5001037,53100001,猎豹战旗,37,53100001,37,30,7,13795,56,0,99,1379500
5001038,53100001,猎豹战旗,38,53100001,38,30,7,14445,56,0,99,1444500
5001039,53100001,猎豹战旗,39,53100001,39,30,7,15110,56,0,99,1511000
5001040,53100001,猎豹战旗,40,53100001,40,40,7,15790,56,0,99,1579000
5001041,53100001,猎豹战旗,41,53100001,41,40,7,16485,56,0,99,1648500
5001042,53100001,猎豹战旗,42,53100001,42,40,7,17190,56,0,99,1719000
5001043,53100001,猎豹战旗,43,53100001,43,40,7,17905,56,0,99,1790500
5001044,53100001,猎豹战旗,44,53100001,44,40,7,18635,56,0,99,1863500
5001045,53100001,猎豹战旗,45,53100001,45,40,7,19380,56,0,99,1938000
5001046,53100001,猎豹战旗,46,53100001,46,40,7,20135,56,0,99,2013500
5001047,53100001,猎豹战旗,47,53100001,47,40,7,20900,56,0,99,2090000
5001048,53100001,猎豹战旗,48,53100001,48,40,7,21680,56,0,99,2168000
5001049,53100001,猎豹战旗,49,53100001,49,40,7,22470,56,0,99,2247000
5001050,53100001,猎豹战旗,50,53100001,50,50,7,23275,56,0,99,2327500
5001051,53100001,猎豹战旗,51,53100001,51,50,7,24090,56,0,99,2409000
5001052,53100001,猎豹战旗,52,53100001,52,50,7,24920,56,0,99,2492000
5001053,53100001,猎豹战旗,53,53100001,53,50,7,25760,56,0,99,2576000
5001054,53100001,猎豹战旗,54,53100001,54,50,7,26615,56,0,99,2661500
5001055,53100001,猎豹战旗,55,53100001,55,50,7,27480,56,0,99,2748000
5001056,53100001,猎豹战旗,56,53100001,56,50,7,28355,56,0,99,2835500
5001057,53100001,猎豹战旗,57,53100001,57,50,7,29245,56,0,99,2924500
5001058,53100001,猎豹战旗,58,53100001,58,50,7,30145,56,0,99,3014500
5001059,53100001,猎豹战旗,59,53100001,59,50,7,31055,56,0,99,3105500
5001060,53100001,猎豹战旗,60,53100001,60,60,7,31980,56,0,99,3198000
5001061,53100001,猎豹战旗,61,53100001,61,60,7,32915,56,0,99,3291500
5001062,53100001,猎豹战旗,62,53100001,62,60,7,33860,56,0,99,3386000
5001063,53100001,猎豹战旗,63,53100001,63,60,7,34815,56,0,99,3481500
5001064,53100001,猎豹战旗,64,53100001,64,60,7,35785,56,0,99,3578500
5001065,53100001,猎豹战旗,65,53100001,65,60,7,36765,56,0,99,3676500
5001066,53100001,猎豹战旗,66,53100001,66,60,7,37760,56,0,99,3776000
5001067,53100001,猎豹战旗,67,53100001,67,60,7,38765,56,0,99,3876500
5001068,53100001,猎豹战旗,68,53100001,68,60,7,39780,56,0,99,3978000
5001069,53100001,猎豹战旗,69,53100001,69,60,7,40805,56,0,99,4080500
5001070,53100001,猎豹战旗,70,53100001,70,70,7,41840,56,0,99,4184000
5001071,53100001,猎豹战旗,71,53100001,71,70,7,42890,56,0,99,4289000
5001072,53100001,猎豹战旗,72,53100001,72,70,7,43950,56,0,99,4395000
5001073,53100001,猎豹战旗,73,53100001,73,70,7,45020,56,0,99,4502000
5001074,53100001,猎豹战旗,74,53100001,74,70,7,46105,56,0,99,4610500
5001075,53100001,猎豹战旗,75,53100001,75,70,7,47195,56,0,99,4719500
5001076,53100001,猎豹战旗,76,53100001,76,70,7,48300,56,0,99,4830000
5001077,53100001,猎豹战旗,77,53100001,77,70,7,49415,56,0,99,4941500
5001078,53100001,猎豹战旗,78,53100001,78,70,7,50540,56,0,99,5054000
5001079,53100001,猎豹战旗,79,53100001,79,70,7,51675,56,0,99,5167500
5001080,53100001,猎豹战旗,80,53100001,80,80,7,52825,56,0,99,5282500
5001081,53100001,猎豹战旗,81,53100001,81,80,7,53980,56,0,99,5398000
5001082,53100001,猎豹战旗,82,53100001,82,80,7,55150,56,0,99,5515000
5001083,53100001,猎豹战旗,83,53100001,83,80,7,56330,56,0,99,5633000
5001084,53100001,猎豹战旗,84,53100001,84,80,7,57520,56,0,99,5752000
5001085,53100001,猎豹战旗,85,53100001,85,80,7,58720,56,0,99,5872000
5001086,53100001,猎豹战旗,86,53100001,86,80,7,59935,56,0,99,5993500
5001087,53100001,猎豹战旗,87,53100001,87,80,7,61155,56,0,99,6115500
5001088,53100001,猎豹战旗,88,53100001,88,80,7,62390,56,0,99,6239000
5001089,53100001,猎豹战旗,89,53100001,89,80,7,63635,56,0,99,6363500
5001090,53100001,猎豹战旗,90,53100001,90,90,7,64885,56,0,99,6488500
5001091,53100001,猎豹战旗,91,53100001,91,90,7,66150,56,0,99,6615000
5001092,53100001,猎豹战旗,92,53100001,92,90,7,67425,56,0,99,6742500
5001093,53100001,猎豹战旗,93,53100001,93,90,7,68710,56,0,99,6871000
5001094,53100001,猎豹战旗,94,53100001,94,90,7,70010,56,0,99,7001000
5001095,53100001,猎豹战旗,95,53100001,95,90,7,71315,56,0,99,7131500
5001096,53100001,猎豹战旗,96,53100001,96,90,7,72630,56,0,99,7263000
5001097,53100001,猎豹战旗,97,53100001,97,90,7,73960,56,0,99,7396000
5001098,53100001,猎豹战旗,98,53100001,98,90,7,75295,56,0,99,7529500
5001099,53100001,猎豹战旗,99,53100001,99,90,7,76640,56,0,99,7664000
5001100,53100001,猎豹战旗,100,53100001,100,90,7,78000,56,0,99,7800000
6001001,53200001,猛虎战旗,1,53200001,1,1,7,300,56,0,99,30000
6001002,53200001,猛虎战旗,2,53200001,2,1,7,410,56,0,99,41000
6001003,53200001,猛虎战旗,3,53200001,3,1,7,580,56,0,99,58000
6001004,53200001,猛虎战旗,4,53200001,4,1,7,800,56,0,99,80000
6001005,53200001,猛虎战旗,5,53200001,5,1,7,1070,56,0,99,107000
6001006,53200001,猛虎战旗,6,53200001,6,1,7,1380,56,0,99,138000
6001007,53200001,猛虎战旗,7,53200001,7,1,7,1730,56,0,99,173000
6001008,53200001,猛虎战旗,8,53200001,8,1,7,2120,56,0,99,212000
6001009,53200001,猛虎战旗,9,53200001,9,1,7,2550,56,0,99,255000
6001010,53200001,猛虎战旗,10,53200001,10,10,7,3020,56,300,99,302000
6001011,53200001,猛虎战旗,11,53200001,11,10,7,3520,56,300,99,352000
6001012,53200001,猛虎战旗,12,53200001,12,10,7,4060,56,300,99,406000
6001013,53200001,猛虎战旗,13,53200001,13,10,7,4630,56,300,99,463000
6001014,53200001,猛虎战旗,14,53200001,14,10,7,5240,56,300,99,524000
6001015,53200001,猛虎战旗,15,53200001,15,10,7,5880,56,300,99,588000
6001016,53200001,猛虎战旗,16,53200001,16,10,7,6550,56,300,99,655000
6001017,53200001,猛虎战旗,17,53200001,17,10,7,7260,56,300,99,726000
6001018,53200001,猛虎战旗,18,53200001,18,10,7,7990,56,300,99,799000
6001019,53200001,猛虎战旗,19,53200001,19,10,7,8760,56,300,99,876000
6001020,53200001,猛虎战旗,20,53200001,20,20,7,9560,56,600,99,956000
6001021,53200001,猛虎战旗,21,53200001,21,20,7,10390,56,600,99,1039000
6001022,53200001,猛虎战旗,22,53200001,22,20,7,11250,56,600,99,1125000
6001023,53200001,猛虎战旗,23,53200001,23,20,7,12140,56,600,99,1214000
6001024,53200001,猛虎战旗,24,53200001,24,20,7,13060,56,600,99,1306000
6001025,53200001,猛虎战旗,25,53200001,25,20,7,14010,56,600,99,1401000
6001026,53200001,猛虎战旗,26,53200001,26,20,7,14990,56,600,99,1499000
6001027,53200001,猛虎战旗,27,53200001,27,20,7,16000,56,600,99,1600000
6001028,53200001,猛虎战旗,28,53200001,28,20,7,17030,56,600,99,1703000
6001029,53200001,猛虎战旗,29,53200001,29,20,7,18100,56,600,99,1810000
6001030,53200001,猛虎战旗,30,53200001,30,30,7,19190,56,900,99,1919000
