id,astrologyid,description,astrology_chance,astrology_mid,scorelim,itemid,itemnum,itemdes,itemwt,scorevalue,itemscore
1,10002,3000元充值卡,1,1,0,30200109,1,3000元充值卡,1,1,10000
2,10003,神器石头掉落组,350,350,0,40000012,1,贤王神石,1,0,1
3,10004,神器石头掉落组,350,350,0,40000013,1,光辉神石,1,0,1
4,10005,神器石头掉落组,350,350,0,40000014,1,神圣神石,1,0,1
5,10006,神器石头掉落组,350,350,0,40000015,1,黎明神石,1,0,1
6,10007,神器石头掉落组,350,350,0,40000016,1,圣光神石,1,0,1
7,10008,神器石头掉落组,350,350,0,40000017,1,古代神石,1,0,1
8,10009,神器石头掉落组,350,350,0,40000018,1,真神神石,1,0,1
9,10010,战斗之证,501,501,0,40000001,2,战斗之证,1,0,1
10,10011,青铜锻造币,936,936,0,81000001,100,青铜锻造币,1,0,1
11,10012,30元充值卡,450,450,0,30200104,1,30元充值卡,1,0,1
12,10013,怒涛联邦选择箱,80,160,5000,30020054,1,怒涛联邦选择箱,1,1,5000
13,10014,圣焰部落选择箱,80,160,5000,30020055,1,圣焰部落选择箱,1,1,5000
14,10015,雷鸣之城选择箱,80,160,5000,30020056,1,雷鸣之城选择箱,1,1,5000
15,10016,神峰秘境选择箱,80,160,5000,30020057,1,神峰秘境选择箱,1,1,5000
16,10017,精英勇士卡,225,225,0,30100001,1,精英勇士卡,1,0,1
17,10018,精英勇士卡,225,225,0,30100002,1,精英勇士卡,1,0,1
18,10019,精英勇士卡,225,225,0,30100003,1,精英勇士卡,1,0,1
19,10020,精英勇士卡,225,225,0,30100004,1,精英勇士卡,1,0,1
20,10021,精英勇士魂石,936,936,0,13000002,60,精英勇士魂石,1,0,1
21,10022,白银锻造币,936,936,0,81000002,10,白银锻造币,1,0,1
22,10023,大量勇士经验,936,936,0,30010002,2,大量勇士经验,1,0,1
23,10024,一大箱金币,450,450,0,30000003,2,一大箱金币,1,0,1
24,10025,巨额勇士经验,450,450,0,30010003,1,巨额勇士经验,1,0,1
25,10026,巨额魔粉,450,450,0,30020003,2,巨额魔粉,1,0,1
26,10027,红色装备无阵营,7,7,1,60110080,1,禁军重弓,6,1,50
27,10027,红色装备水阵营,0,0,0,60110081,1,禁军重弓,1,1,50
28,10027,红色装备火阵营,0,0,0,60110082,1,禁军重弓,1,1,50
29,10027,红色装备雷阵营,0,0,0,60110083,1,禁军重弓,1,1,50
30,10027,红色装备土阵营,0,0,0,60110084,1,禁军重弓,1,1,50
31,10027,红色装备光阵营,0,0,0,60110085,1,禁军重弓,1,1,50
32,10027,红色装备暗阵营,0,0,0,60110086,1,禁军重弓,1,1,50
33,10028,红色装备无阵营,7,7,1,60210080,1,崩山之刃,6,1,50
34,10028,红色装备水阵营,0,0,0,60210081,1,崩山之刃,1,1,50
35,10028,红色装备火阵营,0,0,0,60210082,1,崩山之刃,1,1,50
36,10028,红色装备雷阵营,0,0,0,60210083,1,崩山之刃,1,1,50
37,10028,红色装备土阵营,0,0,0,60210084,1,崩山之刃,1,1,50
38,10028,红色装备光阵营,0,0,0,60210085,1,崩山之刃,1,1,50
39,10028,红色装备暗阵营,0,0,0,60210086,1,崩山之刃,1,1,50
40,10029,红色装备无阵营,7,7,1,60310080,1,魔焰巨杖,6,1,50
41,10029,红色装备水阵营,0,0,0,60310081,1,魔焰巨杖,1,1,50
42,10029,红色装备火阵营,0,0,0,60310082,1,魔焰巨杖,1,1,50
43,10029,红色装备雷阵营,0,0,0,60310083,1,魔焰巨杖,1,1,50
44,10029,红色装备土阵营,0,0,0,60310084,1,魔焰巨杖,1,1,50
45,10029,红色装备光阵营,0,0,0,60310085,1,魔焰巨杖,1,1,50
46,10029,红色装备暗阵营,0,0,0,60310086,1,魔焰巨杖,1,1,50
47,10030,红色装备无阵营,7,7,1,60420080,1,崩山战盔,6,1,50
48,10030,红色装备水阵营,0,0,0,60420081,1,崩山战盔,1,1,50
49,10030,红色装备火阵营,0,0,0,60420082,1,崩山战盔,1,1,50
50,10030,红色装备雷阵营,0,0,0,60420083,1,崩山战盔,1,1,50
51,10030,红色装备土阵营,0,0,0,60420084,1,崩山战盔,1,1,50
52,10030,红色装备光阵营,0,0,0,60420085,1,崩山战盔,1,1,50
53,10030,红色装备暗阵营,0,0,0,60420086,1,崩山战盔,1,1,50
54,10031,红色装备无阵营,7,7,1,60520080,1,魔焰发冠,6,1,50
55,10031,红色装备水阵营,0,0,0,60520081,1,魔焰发冠,1,1,50
56,10031,红色装备火阵营,0,0,0,60520082,1,魔焰发冠,1,1,50
57,10031,红色装备雷阵营,0,0,0,60520083,1,魔焰发冠,1,1,50
58,10031,红色装备土阵营,0,0,0,60520084,1,魔焰发冠,1,1,50
59,10031,红色装备光阵营,0,0,0,60520085,1,魔焰发冠,1,1,50
60,10031,红色装备暗阵营,0,0,0,60520086,1,魔焰发冠,1,1,50
61,10032,红色装备无阵营,7,7,1,60620080,1,大骑士皮盔,6,1,50
62,10032,红色装备水阵营,0,0,0,60620081,1,大骑士皮盔,1,1,50
63,10032,红色装备火阵营,0,0,0,60620082,1,大骑士皮盔,1,1,50
64,10032,红色装备雷阵营,0,0,0,60620083,1,大骑士皮盔,1,1,50
65,10032,红色装备土阵营,0,0,0,60620084,1,大骑士皮盔,1,1,50
66,10032,红色装备光阵营,0,0,0,60620085,1,大骑士皮盔,1,1,50
67,10032,红色装备暗阵营,0,0,0,60620086,1,大骑士皮盔,1,1,50
68,10033,红色装备无阵营,7,7,1,60430080,1,崩山板甲,6,1,50
