id,type,item,num,chance,position
1,1,0,1,200,0
2,2,30200109,1,1,1
3,2,60310080,1,7,6
4,2,60110080,1,7,0
5,2,60210080,1,7,0
6,2,60520080,1,7,0
7,2,60620080,1,7,0
8,2,60420080,1,7,0
9,2,60530080,1,7,0
10,2,60630080,1,7,0
11,2,60430080,1,7,0
12,2,60540080,1,7,0
13,2,60640080,1,7,0
14,2,60440080,1,7,0
15,2,40000012,1,350,2
16,2,40000013,1,350,0
17,2,40000014,1,350,0
18,2,40000015,1,350,0
19,2,40000016,1,350,0
20,2,40000017,1,350,0
21,2,40000018,1,350,0
22,2,81000002,1,450,3
23,2,40000001,2,501,0
24,2,30020054,1,80,4
25,2,30020055,1,80,0
26,2,30020056,1,80,0
27,2,30020057,1,80,0
28,2,30000003,2,450,0
29,2,30010003,1,450,0
30,2,30020003,2,450,7
31,2,30100001,1,225,0
32,2,30100002,1,225,0
33,2,30100003,1,225,0
34,2,30100004,1,225,0
35,2,30000002,5,936,0
36,2,30010002,2,936,5
37,2,30020001,5,936,0
38,2,81000001,50,936,0
