base_id,mode,loop,nature,path,bank,explain,name,switch,switch_value
1001,2D,1,0,Music/Login,Music,登陆界面,Login,0,0
1002,2D,1,0,Music/Maincity,Music,主城界面,Maincity,0,0
1003,2D,0,0,Music/battle_win,Music,战斗胜利,battle_win,0,0
1004,2D,0,0,Music/battle_lose,Music,战斗失败,battle_lose,0,0
1005,2D,1,0,Music/battle_frozen,Music,冰原战斗场景,battle_frozen,0,0
1006,2D,1,0,Music/battle_hell,Music,熔岩战斗场景,battle_hell,0,0
1007,2D,1,0,Music/battle_sand,Music,沙漠战斗场景,battle_sand,0,0
1008,2D,1,0,Music/battle_siege,Music,城郊战斗场景,battle_siege,0,0
1009,2D,1,0,Music/battle_undead,Music,地狱战斗场景,battle_undead,0,0
2001,2D,0,1,UI/click_001,UI,通用点击,click_001,0,0
2002,2D,0,1,UI/click_002,UI,通用关闭/后退,click_002,0,0
2003,2D,0,1,UI/click_Peiyang,UI,培养,click_Peiyang,0,0
2004,2D,0,1,UI/click_YingXiong,UI,英雄,click_YingXiong,0,0
2005,2D,0,1,UI/click_bag,UI,背包,click_bag,0,0
2006,2D,0,1,UI/click_ZhaoMu,UI,招募,click_ZhaoMu,0,0
2007,2D,0,1,UI/click_GongHui,UI,工会,click_GongHui,0,0
2008,2D,0,1,UI/click_JiBan,UI,羁绊,click_JiBan,0,0
2009,2D,0,1,UI/click_MaoXian,UI,冒险,click_MaoXian,0,0
2010,2D,0,1,UI/Levelup,UI,玩家升级,Levelup,0,0
2011,2D,0,1,UI/Starup01,UI,角色升阶,Starup01,0,0
2012,2D,0,1,UI/Starup02,UI,角色升阶,Starup02,0,0
2013,2D,0,1,UI/Getreward,UI,获得奖励,Getreward,0,0
2014,2D,0,1,UI/Click_Final,UI,点击人物头像释放大招,Click_Final,0,0
2015,2D,0,1,UI/click_003,UI,二级界面页签按钮,click_003,0,0
2016,2D,0,1,UI/click_000,UI,开始游戏和挑战按钮,click_000,0,0
2017,2D,0,1,UI/click_LiaoTian,UI,聊天,click_LiaoTian,0,0
2018,2D,0,1,UI/click_RenWu,UI,任务,click_RenWu,0,0
2019,2D,0,1,UI/click_ZhuCheng,UI,主城界面,click_ZhuCheng,0,0
2020,2D,0,1,UI/click_JiaoWai,UI,郊外,click_JiaoWai,0,0
2021,2D,0,1,UI/click_MaoYi,UI,商店,click_MaoYi,0,0
2022,2D,0,1,UI/click_PaiHang,UI,排行,click_PaiHang,0,0
2023,2D,0,1,UI/click_FanShu,UI,英雄之绊,click_FanShu,0,0
2024,2D,0,1,UI/click_JiTan,UI,祭坛,click_JiTan,0,0
2025,2D,0,1,UI/click_FanShu02,UI,"英雄之绊内,下方页签",click_FanShu02,0,0
2026,2D,0,1,UI/flip_card,UI,发卡音效,flip_card,0,0
2027,2D,0,1,UI/card_normal,UI,普通翻卡特效,card_normal,0,0
2028,2D,0,1,UI/card_rare,UI,长翻卡特效,card_rare,0,0
2029,2D,0,1,UI/click_ChuanDai,UI,穿上装备，唯一,click_ChuanDai,0,0
3001,2D,0,1,Ambience/miwu,Ambience,迷雾揭开时的音效,miwu,0,0
2030,2D,0,1,UI/click_004,UI,聊天框点击音效,click_004,0,0
2031,2D,0,1,UI/Levelup_ShenMu,UI,创世神木升级音效,Levelup_ShenMu,0,0
2032,2D,0,1,UI/click_QuanShui,UI,希望泉水获取途径按钮,click_QuanShui,0,0
2033,2D,0,1,UI/click_005,UI,钻石礼包贵族礼包,click_005,0,0
2034,2D,0,1,UI/click_LiBao,UI,每日礼包每周礼包页签音效,click_LiBao,0,0
1010,2D,1,0,Music/battle_003,Music,冒险界面,battle_003,0,0
1011,2D,1,0,Music/Field,Music,郊外界面,Field,0,0
101,2D,0,1,Hero/VO_Guid_01,Hero,引导音效,VO_Guid_01,0,0
102,2D,0,1,Hero/VO_Guid_02,Hero,引导音效,VO_Guid_02,0,0
103,2D,0,1,Hero/VO_Guid_03,Hero,引导音效,VO_Guid_03,0,0
104,2D,0,1,Hero/VO_Guid_04,Hero,引导音效,VO_Guid_04,0,0
105,2D,0,1,Hero/VO_Guid_05,Hero,引导音效,VO_Guid_05,0,0
106,2D,0,1,Hero/VO_Guid_06,Hero,引导音效,VO_Guid_06,0,0
107,2D,0,1,Hero/VO_Guid_07,Hero,引导音效,VO_Guid_07,0,0
108,2D,0,1,Hero/VO_Guid_08,Hero,引导音效,VO_Guid_08,0,0
109,2D,0,1,Hero/VO_Guid_09,Hero,引导音效,VO_Guid_09,0,0
