ID,type,condition,typename,Builtpages,Builtpagesname,Builtpagespicture,systemname,systempicture,sort,openlevelid,star,Explain,type1,aindex1,aindex2,boxid,item1,num1,item2,num2,item3,num3
1,1,1,推荐阵容,1,新手万金油,0,0,1002,1,0,0,推荐理由：拥有群体护盾，昏迷，魔法输出，治疗的万金油组合。,0,0,0,200010,91000002,20000,0,0,0,0
2,1,1,推荐阵容,1,新手万金油,0,0,2005,2,0,0,推荐理由：拥有群体护盾，昏迷，魔法输出，治疗的万金油组合。,0,0,0,200010,91000002,20000,0,0,0,0
3,1,1,推荐阵容,1,新手万金油,0,0,3003,3,0,0,推荐理由：拥有群体护盾，昏迷，魔法输出，治疗的万金油组合。,0,0,0,200010,91000002,20000,0,0,0,0
4,1,1,推荐阵容,1,新手万金油,0,0,4010,4,0,0,推荐理由：拥有群体护盾，昏迷，魔法输出，治疗的万金油组合。,0,0,0,200010,91000002,20000,0,0,0,0
5,1,1,推荐阵容,1,新手万金油,0,0,4008,5,0,0,推荐理由：拥有群体护盾，昏迷，魔法输出，治疗的万金油组合。,0,0,0,200010,91000002,20000,0,0,0,0
6,1,1,推荐阵容,2,中期碾压,0,0,4003,1,0,0,推荐理由：单体吸血肉盾，超高单体爆发输出，优先集火秒杀敌人脆皮。,0,0,0,200010,91000002,20000,0,0,0,0
7,1,1,推荐阵容,2,中期碾压,0,0,2007,2,0,0,推荐理由：单体吸血肉盾，超高单体爆发输出，优先集火秒杀敌人脆皮。,0,0,0,200010,91000002,20000,0,0,0,0
8,1,1,推荐阵容,2,中期碾压,0,0,4006,3,0,0,推荐理由：单体吸血肉盾，超高单体爆发输出，优先集火秒杀敌人脆皮。,0,0,0,200010,91000002,20000,0,0,0,0
9,1,1,推荐阵容,2,中期碾压,0,0,2008,4,0,0,推荐理由：单体吸血肉盾，超高单体爆发输出，优先集火秒杀敌人脆皮。,0,0,0,200010,91000002,20000,0,0,0,0
10,1,1,推荐阵容,2,中期碾压,0,0,2009,5,0,0,推荐理由：单体吸血肉盾，超高单体爆发输出，优先集火秒杀敌人脆皮。,0,0,0,200010,91000002,20000,0,0,0,0
11,1,1,推荐阵容,3,后期无敌,0,0,2002,1,0,0,推荐理由：全队伤害免疫，超强伤害输出，全队百分比治疗。,0,0,0,200010,91000002,20000,0,0,0,0
12,1,1,推荐阵容,3,后期无敌,0,0,1009,2,0,0,推荐理由：全队伤害免疫，超强伤害输出，全队百分比治疗。,0,0,0,200010,91000002,20000,0,0,0,0
13,1,1,推荐阵容,3,后期无敌,0,0,2011,3,0,0,推荐理由：全队伤害免疫，超强伤害输出，全队百分比治疗。,0,0,0,200010,91000002,20000,0,0,0,0
14,1,1,推荐阵容,3,后期无敌,0,0,1004,4,0,0,推荐理由：全队伤害免疫，超强伤害输出，全队百分比治疗。,0,0,0,200010,91000002,20000,0,0,0,0
15,1,1,推荐阵容,3,后期无敌,0,0,3010,5,0,0,推荐理由：全队伤害免疫，超强伤害输出，全队百分比治疗。,0,0,0,200010,91000002,20000,0,0,0,0
16,2,0,等级提升,0,0,0,日常任务,strong_meiri.png,1,12,5,完成日常任务可获得大量领主经验,121,0,0,0,0,0,0,0,0,0
17,2,0,等级提升,0,0,0,地下城,strong_dixaicheng.png,2,24,3,通关、扫荡地下城消耗体力可提升领主等级,102,0,0,0,0,0,0,0,0,0
18,2,0,等级提升,0,0,0,剧情,strong_juqing.png,3,10,2,通关、扫荡主线关卡消耗体力可提升领主等级,118,0,0,0,0,0,0,0,0,0
19,3,0,资源汇总,1,钻石,1,成长任务,strong_chengzhang.png,1,12,5,完成成长任务可获得大量钻石,123,0,0,0,0,0,0,0,0,0
20,3,0,资源汇总,1,钻石,1,剧情,strong_juqing.png,2,10,4,首次完成地下城关卡可获得钻石,118,0,0,0,0,0,0,0,0,0
21,3,0,资源汇总,1,钻石,1,王座之战,strong_wangquan.png,3,34,4,占领爵位每日可获得钻石奖励,122,0,0,0,0,0,0,0,0,0
22,3,0,资源汇总,1,钻石,1,城池争夺,strong_chengchizhengduo.png,4,77,5,参与军团战，占下城池可获得大量钻石奖励,116,0,0,0,0,0,0,0,0,0
23,3,0,资源汇总,2,体力,2,日常活动,strong_meiri.png,1,11,5,每天12点，18点，21点，可领取体力,139,0,0,0,0,0,0,0,0,0
