type,systemname,icon,Explain,Builtpages,name,aindex1,aindex2,openlevelid
1,武将升级,gnkq_biandui_bb,提升少量战斗力,0,0,src/ui/wujiangxitong,"wujiangxitong.show(1002,1)",4
1,武将进阶,gnkq_biandui_gb,提升大量战斗力,0,0,src/ui/wujiangxitong,"wujiangxitong.show(1002,1)",4
1,武将升星,gnkq_biandui_qb,提升大量战斗力,0,0,src/ui/wujiangxitong,"wujiangxitong.show(1002,1)",4
1,神器强化,gnkq_daditu_chanye,提升少量战斗力,0,0,src/ui/wujiangxitong,"wujiangxitong.show(1002,3,1)",116
1,统兵升级,gnkq_zhugong_lianbing,提升少量战斗力,0,0,src/ui/wujiangxitong,"wujiangxitong.show(1002,4)",123
1,兵种战法,gnkq_zhugong_lianbing,提升大量战斗力,0,0,src/ui/wujiangxitong,"wujiangxitong.show(1002,4) ",123
1,神器觉醒,gnkq_daditu_chanye,提升大量战斗力,0,0,src/ui/wujiangxitong,"wujiangxitong.show(1002,3,2)",129
1,美人,gnkq_zhugong_meiren,提升大量战斗力,0,0,src/ui/hougong_ui,hougong_ui.show(),9
1,威名,gnkq_zhugong_chenghao,提升大量战斗力,0,0,src/ui/newTitleUI,newTitleUI.show(),103
1,战马,gnkq_shijie_zhanma,提升大量战斗力,0,0,src/ui/Mount_by_Hero,Mount_by_Hero.show() ,225
1,珍宝,gnkq_zhugong_zhenbao,提升大量战斗力,0,0,src/ui/ZhenBao,ZhenBao.show(),240
2,剧情扫荡,renwu_01_003,提升少量经验,0,0,src/ui/JunWangMiLing,JunWangMiLing.show(),1
2,名仕寻访,gnkq_shijian_mingshixunfang,提升少量经验,0,0,src/ui/shijian_msxfUI,shijian_msxfUI.show(),113
2,政务,renwu_01_017,提升大量经验,0,0,src/ui/renwu,renwu.show(1),36
3,招贤馆,gnkq_zhujiemian_zhaomu,获得武将,0,0,src/ui/jiuguan_plus,jiuguan_plus.show(),19
3,名仕寻访,gnkq_shijian_mingshixunfang,获得大量武将碎片,0,0,src/ui/shijian_msxfUI,shijian_msxfUI.show(),113
3,商店,gnkq_shangdian_zh,获得大量武将碎片,0,0,src/ui/shop_mainUI,shop_mainUI.show(4),181
4,剧情扫荡,renwu_01_003,获得少量铜钱,1,我要铜钱,src/ui/JunWangMiLing,JunWangMiLing.show(),1
4,内政厅,gnkq_zhujiemian_renwu,获得大量铜钱,1,我要铜钱,src/ui/countryquest_ui,countryquest_ui.show(7),117
4,政务,renwu_01_017,获得大量铜钱,1,我要铜钱,src/ui/renwu,renwu.show(1),36
4,天下会武,renwu_01_009,获得大量铜钱,1,我要铜钱,src/ui/jjc_ui,jjc_ui.gotoShow(),11
4,过关斩将,gnkq_shijian_guoguanzhanjiang,获得大量铜钱,1,我要铜钱,src/ui/shijian_ggzj_chosetype,shijian_ggzj_chosetype.show(),105
4,塞外远征,gnkq_shijian_yuanzheng,获得大量铜钱,1,我要铜钱,src/ui/yuanzheng_main_ui,yuanzheng_main_ui.show(),13
4,军演操练,gnkq_shijian_junyancaolian,获得大量铜钱,1,我要铜钱,src/ui/JunYanCaoLian,JunYanCaoLian.show(),229
4,日常试炼,gnkq_shijian_nanmang,获得大量铜钱,1,我要铜钱,src/ui/shilianUI,shilianUI.show(),194
4,官职挑战,renwu_01_014,获得大量功勋,2,我要功勋,src/ui/officePkUI,officePkUI.show(),109
4,国战（限时开放）,gnkq_shijian_juntuan,获得大量功勋,2,我要功勋,0,0,125
4,宝箱抽奖,gnkq_shijian_tianxiabaozhang,获得大量魂器碎片,3,我要魂器,src/ui/jiuguan_plus,jiuguan_plus.show(),35
4,冶炼,gnkq_daditu_chanye,获得魂器碎片,3,我要魂器,src/ui/Smelt,Smelt.show(),233
4,剧情扫荡,renwu_01_003,获得大量进阶材料,4,我要进阶,src/ui/JunWangMiLing,JunWangMiLing.show(),1
4,内政厅,gnkq_zhujiemian_renwu,获得大量兵符,5,我要兵符,src/ui/countryquest_ui,countryquest_ui.show(7),117
4,过关斩将,gnkq_shijian_guoguanzhanjiang,获得大量兵符,5,我要兵符,src/ui/shijian_ggzj_chosetype,shijian_ggzj_chosetype.show(),105
4,国库,renwu_01_005,获得大量战法材料,6,我要战法,src/ui/shop_mainUI,shop_mainUI.show(6),193
4,九星宝阁,renwu_01_012,获得大量美人材料,7,我要美人,src/ui/newHaremLucky,newHaremLucky.show(),9
4,民生民情,gnkq_shijian_minshengminqing,获得大量美人材料,7,我要美人,src/ui/shijian_newchose,shijian_newchose.show(),112
5,武将置换,gnkq_junshiting_zhihuan,两个武将对应属性置换,0,0,src/ui/wujiangxitong_zhuanhuan,wujiangxitong_zhuanhuan.show(1),192
5,神器分解,gnkq_zhugong_lianbing,暂时不用的神器材料分解为通用材料,0,0,src/ui/wujiangxitong_zhuanhuan,wujiangxitong_zhuanhuan.show(2),192
