effectid,word1,r1,g1,b1,font1,icon1,mbr1,mbg1,mbb1,fontmb1,sprtips1,word2,r2,g2,b2,font2,icon2,mbr2,mbg2,mbb2,fontmb2,sprtips2
2,攻击提升,52,188,29,24,71,24,74,24,2,0,攻击降低,228,66,57,24,82,96,20,13,2,0
3,防御提升,52,188,29,24,71,24,74,24,2,0,防御降低,228,66,57,24,82,96,20,13,2,0
4,物理暴击提升,52,188,29,24,71,24,74,24,2,0,物理暴击降低,228,66,57,24,82,96,20,13,2,0
5,魔法暴击提升,52,188,29,24,71,24,74,24,2,0,魔法暴击降低,228,66,57,24,82,96,20,13,2,0
6,暴击提升,52,188,29,24,71,24,74,24,2,0,暴击降低,228,66,57,24,82,96,20,13,2,0
7,物理抗暴提升,52,188,29,24,71,24,74,24,2,0,物理抗暴降低,228,66,57,24,82,96,20,13,2,0
8,魔法抗暴提升,52,188,29,24,71,24,74,24,2,0,魔法抗暴降低,228,66,57,24,82,96,20,13,2,0
9,抗暴提升,52,188,29,24,71,24,74,24,2,0,抗暴降低,228,66,57,24,82,96,20,13,2,0
10,物理暴击倍数提升,52,188,29,24,71,24,74,24,2,0,物理暴击倍数降低,228,66,57,24,82,96,20,13,2,0
11,魔法暴击倍数提升,52,188,29,24,71,24,74,24,2,0,魔法暴击倍数降低,228,66,57,24,82,96,20,13,2,0
12,暴击倍数提升,52,188,29,24,71,24,74,24,2,0,暴击倍数降低,228,66,57,24,82,96,20,13,2,0
13,物理暴伤减免提升,52,188,29,24,71,24,74,24,2,0,物理暴伤减免降低,228,66,57,24,82,96,20,13,2,0
14,魔法暴伤害免提升,52,188,29,24,71,24,74,24,2,0,魔法暴伤害免降低,228,66,57,24,82,96,20,13,2,0
15,暴击伤害减免提升,52,188,29,24,71,24,74,24,2,0,暴击伤害减免降低,228,66,57,24,82,96,20,13,2,0
16,物理穿透提升,52,188,29,24,71,24,74,24,2,0,物理穿透降低,228,66,57,24,82,96,20,13,2,0
17,魔法穿透提升,52,188,29,24,71,24,74,24,2,0,魔法穿透降低,228,66,57,24,82,96,20,13,2,0
18,穿透提升,52,188,29,24,71,24,74,24,2,0,穿透降低,228,66,57,24,82,96,20,13,2,0
19,命中提升,52,188,29,24,71,24,74,24,2,0,命中降低,228,66,57,24,82,96,20,13,2,0
20,闪避提升,52,188,29,24,71,24,74,24,2,0,闪避降低,228,66,57,24,82,96,20,13,2,0
21,攻速降低,228,66,57,24,82,96,20,13,2,0,攻速提升,52,188,29,24,71,24,74,24,2,0
22,移速提升,52,188,29,24,71,24,74,24,2,0,移速降低,228,66,57,24,82,96,20,13,2,0
23,破击提升,52,188,29,24,71,24,74,24,2,0,破击降低,228,66,57,24,82,96,20,13,2,0
24,格挡提升,52,188,29,24,71,24,74,24,2,0,格挡降低,228,66,57,24,82,96,20,13,2,0
25,吸血提升,52,188,29,24,71,24,74,24,2,0,吸血降低,228,66,57,24,82,96,20,13,2,0
26,治疗提升,52,188,29,24,71,24,74,24,2,0,治疗降低,228,66,57,24,82,96,20,13,2,0
27,重伤,228,66,57,24,82,96,20,13,2,0,重伤,52,188,29,24,71,24,74,24,2,0
28,治愈提升,52,188,29,24,71,24,74,24,2,0,治愈降低,228,66,57,24,82,96,20,13,2,0
29,韧性提升,52,188,29,24,71,24,74,24,2,0,韧性降低,228,66,57,24,82,96,20,13,2,0
30,抵抗提升,52,188,29,24,71,24,74,24,2,0,抵抗降低,228,66,57,24,82,96,20,13,2,0
31,生命恢复提升,52,188,29,24,71,24,74,24,2,0,生命恢复降低,228,66,57,24,82,96,20,13,2,0
32,能量恢复提升,52,188,29,24,71,24,74,24,2,0,能量恢复降低,228,66,57,24,82,96,20,13,2,0
33,物理伤害提升,52,188,29,24,71,24,74,24,2,0,物理伤害降低,228,66,57,24,82,96,20,13,2,0
34,魔法伤害提升,52,188,29,24,71,24,74,24,2,0,魔法伤害降低,228,66,57,24,82,96,20,13,2,0
35,伤害提升,52,188,29,24,71,24,74,24,2,0,伤害降低,228,66,57,24,82,96,20,13,2,0
36,物理减伤提升,52,188,29,24,71,24,74,24,2,0,物理易伤,228,66,57,24,82,96,20,13,2,0
37,魔法减伤提升,52,188,29,24,71,24,74,24,2,0,魔法易伤,228,66,57,24,82,96,20,13,2,0
38,减伤提升,52,188,29,24,71,24,74,24,2,0,易伤,228,66,57,24,82,96,20,13,2,0
39,真实攻击提升,52,188,29,24,71,24,74,24,2,0,真实攻击降低,228,66,57,24,82,96,20,13,2,0
40,真实防御提升,52,188,29,24,71,24,74,24,2,0,真实防御降低,228,66,57,24,82,96,20,13,2,0
41,真实伤害加成提升,52,188,29,24,71,24,74,24,2,0,真实伤害加成降低,228,66,57,24,82,96,20,13,2,0
42,真实伤害减免提升,52,188,29,24,71,24,74,24,2,0,真实伤害减免降低,228,66,57,24,82,96,20,13,2,0
99,战斗力提升,52,188,29,24,71,24,74,24,2,0,战斗力降低,228,66,57,24,82,96,20,13,2,0
501,生命值提升,52,188,29,24,71,24,74,24,2,0,生命值降低,228,66,57,24,82,96,20,13,2,0
502,攻击力提升,52,188,29,24,71,24,74,24,2,0,攻击力降低,228,66,57,24,82,96,20,13,2,0
503,防御力提升,52,188,29,24,71,24,74,24,2,0,防御力降低,228,66,57,24,82,96,20,13,2,0
504,物理暴击率提升,52,188,29,24,71,24,74,24,2,0,物理暴击率降低,228,66,57,24,82,96,20,13,2,0
505,魔法暴击率提升,52,188,29,24,71,24,74,24,2,0,魔法暴击率降低,228,66,57,24,82,96,20,13,2,0
506,暴击率提升,52,188,29,24,71,24,74,24,2,0,暴击率降低,228,66,57,24,82,96,20,13,2,0
507,物理抗暴提升,52,188,29,24,71,24,74,24,2,0,物理抗暴降低,228,66,57,24,82,96,20,13,2,0
508,魔法抗暴提升,52,188,29,24,71,24,74,24,2,0,魔法抗暴降低,228,66,57,24,82,96,20,13,2,0
509,抗暴提升,52,188,29,24,71,24,74,24,2,0,抗暴降低,228,66,57,24,82,96,20,13,2,0
510,物理暴击倍数提升,52,188,29,24,71,24,74,24,2,0,物理暴击倍数降低,228,66,57,24,82,96,20,13,2,0
