id,name,monstername,monstericon,thingtype,x,y,icon,model,size,radius,effect,dir,hide,traffic,touchtype,condition1,condition2,condition3,condition4,condition5,condition6,event1,pop1,event2,pop2,event3,pop3,endhide,sweep,bubble
7401,第一关,0,0,2,22,25,C_muzhuang_01.png,11005,8,20,1,5,0,1,5,0,0,0,0,0,0,7401,0,0,0,0,0,1,0,0
7402,第二关搜索,0,0,0,13,14,B_yiji_02.png,0,8,20,5,1,0,1,5,0,0,0,0,0,0,7402,15,0,15,192,0,0,0,0
7403,第三关,0,0,2,24,18,C_muzhuang_01.png,12009,8,20,1,4,0,1,5,0,0,0,0,0,0,7404,0,0,0,0,0,1,117403,0
7404,第四关谈判,0,0,2,18,15,sr601.png,13101,10,20,1,4,0,1,5,0,0,0,0,0,0,7405,0,0,0,0,0,1,0,0
7405,第五关,0,0,2,33,14,C_muzhuang_01.png,14002,8,20,1,6,0,1,5,0,0,0,0,0,0,7406,0,0,0,0,0,1,117405,0
7406,第六关野外BOSS,0,0,2,40,23,C_muzhuang_01.png,12009,8,20,1,7,0,1,5,0,0,0,0,0,0,7407,201,0,0,0,0,1,0,0
7407,第七关搜索,0,0,0,59,8,B_yiji_02.png,0,8,20,5,2,0,1,5,0,0,0,0,0,0,7408,16,0,16,192,0,0,0,0
7408,第八关,0,0,2,49,12,C_muzhuang_01.png,12009,8,20,1,6,0,1,5,0,0,0,0,0,0,7410,0,0,0,0,0,1,117408,0
7409,第九关谈判,0,0,2,56,11,sr601.png,13103,10,20,1,5,0,1,5,0,0,0,0,0,0,7411,0,0,0,0,0,1,0,0
7410,第十关,0,0,2,59,21,C_muzhuang_01.png,14002,10,20,9,7,0,1,5,0,0,0,0,0,0,7412,0,0,0,0,0,1,117410,0
7411,传送门,0,0,2,63,26,C_muzhuang_01.png,11010,0,10,21,0,0,1,2,741007412,0,0,0,0,0,7420,0,0,0,0,0,1,0,0
7412,第一关宝物,0,0,3,21,23,C_qianbi_03.png,0,8,20,7,4,0,1,5,740107401,0,0,0,0,0,103,0,7413,0,0,0,1,0,0
7413,第一关宝物,0,0,3,23,23,C_qianbi_03.png,0,8,20,7,4,0,1,5,740107401,0,0,0,0,0,103,0,7413,0,0,0,1,0,0
7414,第一关宝物,0,0,3,25,24,C_zuanshi_03.png,0,8,20,10,4,0,1,5,740107401,0,0,0,0,0,113,0,7413,0,0,0,1,0,0
7415,第三关宝物,0,0,3,23,17,C_qianbi_03.png,0,8,20,7,4,0,1,5,740307404,0,0,0,0,0,103,0,7414,0,0,0,1,0,0
7416,第三关宝物,0,0,3,25,16,C_zuanshi_03.png,0,8,20,10,4,0,1,5,740307404,0,0,0,0,0,113,0,7414,0,0,0,1,0,0
7417,第三关宝物,0,0,3,26,18,C_qianbi_03.png,0,8,20,7,4,0,1,5,740307404,0,0,0,0,0,103,0,7414,0,0,0,1,0,0
