popid,type,name,effect,frame,x,y,dir,size,text,time,cd
1,1,建筑名,aureole2.png,0,0,0,0,10,伐木场,0,0
2,2,说话气泡,qipao.png,0,-60,95,1,7,请先探索西边的遗迹吧。,50,10
3,2,说话气泡,qipao.png,0,-60,95,1,7,前面还有敌人，请小心行事！,50,10
4,4,序列帧动画,0,0,0,0,0,0,0,0,0
15,4,遗迹光效,yiji_1,1|10,0,0,0,8,0,0,0
16,4,遗迹光效反,yiji_1,1|10,0,0,1,8,0,0,0
6,3,感叹号,gth.png,0,30,75,0,10,0,0,0
10,3,感叹号,gth.png,0,0,15,0,10,0,0,0
11,3,矮人问号,wh.png,0,-15,80,0,10,0,0,0
12,3,矮人感叹号,gth.png,0,-15,80,0,10,0,0,0
18,3,人物感叹号,gth.png,0,0,95,0,10,0,0,0
20,3,人物问号,wh.png,0,0,95,0,10,0,0,0
21,3,建筑感叹号,gth.png,0,0,75,0,10,0,0,0
25,3,人物省略号,dian.png,0,0,95,0,10,0,0,0
104,2,强盗说话,qipao.png,0,-70,100,1,7,哈哈哈，这些财宝都是我的！,50,20
105,2,路霸说话,qipao.png,0,-50,90,1,7,走开！只有屠龙者才配和我说话。,50,10
201,2,蜘蛛说话,qipao.png,0,95,110,0,7,嘶嘶嘶…新鲜的血肉，是我的最爱！,50,10
