id,x,y,icon,changeicon,name,type,initialtype,initial,delayed,trigger,passby,show,event,priority,story,journal,tips,remarks,removetype,removerelation,remove,establish,modify,dispel,performance,setup,describe
1,9,11,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,初始点
2,9,11,0,0,剧情,2,0,0,0,1,1,0,0,2,1101001,探索峡谷，破解谜题。,0,0,0,0,0,0,0,0,0,0,初始剧情
3,4,8,ins_monster_01,0,敌人,3,0,0,0,0,0,0,401109,1,0,0,此处被一队实力普通的敌人占据。\n击败他们才能通过此处。,掉落稀有或精英级别的遗物,0,0,0,12,0,0,0,0,普通小怪
4,7,9,ins_monster_01,0,敌人,3,0,0,0,0,0,0,401104,1,0,0,此处被一队实力普通的敌人占据。\n击败他们才能通过此处。,掉落稀有或精英级别的遗物,0,0,0,13,0,0,0,0,普通小怪
5,7,13,ins_monster_01,0,敌人,3,0,0,0,0,0,0,401103,1,0,0,此处被一队实力普通的敌人占据。\n击败他们才能通过此处。,掉落稀有或精英级别的遗物,0,0,0,14,0,0,0,0,普通小怪
6,7,20,ins_monster_01,0,敌人,3,0,0,0,0,0,0,401108,1,0,0,此处被一队实力普通的敌人占据。\n击败他们才能通过此处。,掉落稀有或精英级别的遗物,0,0,0,15,0,0,0,0,普通小怪
7,9,14,ins_monster_01,0,敌人,3,0,0,0,0,0,0,401101,1,0,0,此处被一队实力普通的敌人占据。\n击败他们才能通过此处。,掉落稀有或精英级别的遗物,0,0,0,16,0,0,0,0,普通小怪
8,10,1,ins_monster_01,0,敌人,3,0,0,0,0,0,0,401107,1,0,0,此处被一队实力普通的敌人占据。\n击败他们才能通过此处。,掉落稀有或精英级别的遗物,0,0,0,17,0,0,0,0,普通小怪
9,10,7,ins_monster_01,0,敌人,3,0,0,0,0,0,0,401102,1,0,0,此处被一队实力普通的敌人占据。\n击败他们才能通过此处。,掉落稀有或精英级别的遗物,0,0,0,18,0,0,0,0,普通小怪
10,15,8,ins_monster_01,0,敌人,3,0,0,0,0,0,0,401105,1,0,0,此处被一队实力普通的敌人占据。\n击败他们才能通过此处。,掉落稀有或精英级别的遗物,0,0,0,19,0,0,0,0,普通小怪
