id,x,y,icon,changeicon,name,type,initialtype,initial,delayed,trigger,passby,show,event,priority,story,journal,tips,remarks,removetype,removerelation,remove,establish,modify,dispel,performance,setup,describe
1,2,14,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,森林
2,11,10,ins_monster_01,0,敌人,3,0,0,0,0,0,0,500213,1,0,0,此处被一队实力普通的敌人占据。\n击败他们才能通过此处。,0,0,0,0,0,0,0,0,0,普通小怪
3,5,7,ins_monster_01,0,敌人,3,0,0,0,0,0,0,500214,1,0,0,此处被一队实力普通的敌人占据。\n击败他们才能通过此处。,0,0,0,0,0,0,0,0,0,普通小怪
4,9,3,ins_monster_02,0,精锐敌人,4,0,0,0,0,0,0,500217,1,0,0,此处被一队实力强劲的敌人占据。\n击败他们才能通过此处。,0,0,0,0,0,0,0,0,0,普通精锐
5,10,9,ins_case_01,0,普通宝箱,6,0,0,0,1,0,0,203101,1,0,0,0,0,0,0,0,0,0,0,0,0,普通宝箱
6,10,10,ins_case_01,0,普通宝箱,6,0,0,0,1,0,0,203102,1,0,0,0,0,0,0,0,0,0,0,0,0,普通宝箱
7,6,6,ins_case_01,0,普通宝箱,6,0,0,0,1,0,0,203103,1,0,0,0,0,0,0,0,0,0,0,0,0,普通宝箱
8,6,7,ins_case_01,0,普通宝箱,6,0,0,0,1,0,0,203104,1,0,0,0,0,0,0,0,0,0,0,0,0,普通宝箱
9,9,1,ins_case_01,0,普通宝箱,6,0,0,0,1,0,0,203105,1,0,0,0,0,0,0,0,0,0,0,0,0,普通宝箱
10,9,2,ins_case_01,0,普通宝箱,6,0,0,0,1,0,0,203106,1,0,0,0,0,0,0,0,0,0,0,0,0,普通宝箱
11,8,1,ins_case_01,0,普通宝箱,6,0,0,0,1,0,0,203107,1,0,0,0,0,0,0,0,0,0,0,0,0,普通宝箱
12,10,1,ins_case_01,0,普通宝箱,6,0,0,0,1,0,0,203108,1,0,0,0,0,0,0,0,0,0,0,0,0,普通宝箱
