id,level,cost,item1,num1,item2,num2,item3,num3
1,1,0,91000028,500,91000029,50,91000001,10000
2,2,0,91000028,500,91000029,50,91000001,10000
3,3,0,91000028,500,91000029,50,91000001,10000
4,4,0,91000028,500,91000029,50,91000001,10000
5,5,0,91000028,500,91000029,50,91000001,10000
6,6,500,91000028,500,91000029,50,91000001,10000
7,7,500,91000028,500,91000029,50,91000001,10000
8,8,500,91000028,500,91000029,50,91000001,10000
9,9,500,91000028,500,91000029,50,91000001,10000
10,10,500,91000028,500,91000029,50,91000001,10000
11,11,1000,91000028,1000,91000029,100,91000001,10000
12,12,1000,91000028,1000,91000029,100,91000001,10000
13,13,1000,91000028,1000,91000029,100,91000001,10000
14,14,1000,91000028,1000,91000029,100,91000001,10000
15,15,1000,91000028,1000,91000029,100,91000001,10000
16,16,1000,91000028,1000,91000029,100,91000001,10000
17,17,1000,91000028,1000,91000029,100,91000001,10000
18,18,1000,91000028,1000,91000029,100,91000001,10000
19,19,1000,91000028,1000,91000029,100,91000001,10000
20,20,1000,91000028,1000,91000029,100,91000001,10000
21,21,2000,91000028,2000,91000029,200,91000001,10000
22,22,2000,91000028,2000,91000029,200,91000001,10000
23,23,2000,91000028,2000,91000029,200,91000001,10000
24,24,2000,91000028,2000,91000029,200,91000001,10000
25,25,2000,91000028,2000,91000029,200,91000001,10000
26,26,2000,91000028,2000,91000029,200,91000001,10000
27,27,2000,91000028,2000,91000029,200,91000001,10000
28,28,2000,91000028,2000,91000029,200,91000001,10000
29,29,2000,91000028,2000,91000029,200,91000001,10000
30,30,2000,91000028,2000,91000029,200,91000001,10000
31,31,3000,91000028,3000,91000029,300,91000001,20000
32,32,3000,91000028,3000,91000029,300,91000001,20000
33,33,3000,91000028,3000,91000029,300,91000001,20000
34,34,3000,91000028,3000,91000029,300,91000001,20000
35,35,3000,91000028,3000,91000029,300,91000001,20000
36,36,3000,91000028,3000,91000029,300,91000001,20000
37,37,3000,91000028,3000,91000029,300,91000001,20000
38,38,3000,91000028,3000,91000029,300,91000001,20000
39,39,3000,91000028,3000,91000029,300,91000001,20000
40,40,3000,91000028,3000,91000029,300,91000001,20000
41,41,5000,91000028,5000,91000029,500,91000001,20000
42,42,5000,91000028,5000,91000029,500,91000001,20000
43,43,5000,91000028,5000,91000029,500,91000001,20000
44,44,5000,91000028,5000,91000029,500,91000001,20000
45,45,5000,91000028,5000,91000029,500,91000001,20000
46,46,5000,91000028,5000,91000029,500,91000001,20000
47,47,5000,91000028,5000,91000029,500,91000001,20000
48,48,5000,91000028,5000,91000029,500,91000001,20000
49,49,5000,91000028,5000,91000029,500,91000001,20000
50,50,5000,91000028,5000,91000029,500,91000001,20000
51,51,8000,91000028,8000,91000029,800,91000001,30000
52,52,8000,91000028,8000,91000029,800,91000001,30000
53,53,8000,91000028,8000,91000029,800,91000001,30000
54,54,8000,91000028,8000,91000029,800,91000001,30000
55,55,8000,91000028,8000,91000029,800,91000001,30000
56,56,8000,91000028,8000,91000029,800,91000001,30000
57,57,8000,91000028,8000,91000029,800,91000001,30000
58,58,8000,91000028,8000,91000029,800,91000001,30000
59,59,8000,91000028,8000,91000029,800,91000001,30000
60,60,8000,91000028,8000,91000029,800,91000001,30000
61,61,10000,91000028,10000,91000029,1000,91000001,30000
62,62,10000,91000028,10000,91000029,1000,91000001,30000
63,63,10000,91000028,10000,91000029,1000,91000001,30000
64,64,10000,91000028,10000,91000029,1000,91000001,30000
65,65,10000,91000028,10000,91000029,1000,91000001,30000
66,66,10000,91000028,10000,91000029,1000,91000001,30000
67,67,10000,91000028,10000,91000029,1000,91000001,30000
68,68,10000,91000028,10000,91000029,1000,91000001,30000
69,69,10000,91000028,10000,91000029,1000,91000001,30000
70,70,10000,91000028,10000,91000029,1000,91000001,30000
71,71,10000,91000028,10000,91000029,1000,91000001,30000
72,72,10000,91000028,10000,91000029,1000,91000001,30000
73,73,10000,91000028,10000,91000029,1000,91000001,30000
74,74,10000,91000028,10000,91000029,1000,91000001,30000
75,75,10000,91000028,10000,91000029,1000,91000001,30000
76,76,10000,91000028,10000,91000029,1000,91000001,30000
77,77,10000,91000028,10000,91000029,1000,91000001,30000
78,78,10000,91000028,10000,91000029,1000,91000001,30000
79,79,10000,91000028,10000,91000029,1000,91000001,30000
80,80,10000,91000028,10000,91000029,1000,91000001,30000
81,81,20000,91000028,20000,91000029,2000,91000001,30000
82,82,20000,91000028,20000,91000029,2000,91000001,30000
83,83,20000,91000028,20000,91000029,2000,91000001,30000
84,84,20000,91000028,20000,91000029,2000,91000001,30000
85,85,20000,91000028,20000,91000029,2000,91000001,30000
86,86,20000,91000028,20000,91000029,2000,91000001,30000
87,87,20000,91000028,20000,91000029,2000,91000001,30000
88,88,20000,91000028,20000,91000029,2000,91000001,30000
89,89,20000,91000028,20000,91000029,2000,91000001,30000
90,90,20000,91000028,20000,91000029,2000,91000001,30000
91,91,20000,91000028,20000,91000029,2000,91000001,30000
92,92,20000,91000028,20000,91000029,2000,91000001,30000
93,93,20000,91000028,20000,91000029,2000,91000001,30000
94,94,20000,91000028,20000,91000029,2000,91000001,30000
95,95,20000,91000028,20000,91000029,2000,91000001,30000
96,96,20000,91000028,20000,91000029,2000,91000001,30000
97,97,20000,91000028,20000,91000029,2000,91000001,30000
98,98,20000,91000028,20000,91000029,2000,91000001,30000
99,99,20000,91000028,20000,91000029,2000,91000001,30000
100,100,20000,91000028,20000,91000029,2000,91000001,30000
101,101,30000,91000028,30000,91000029,3000,91000001,50000
102,102,30000,91000028,30000,91000029,3000,91000001,50000
103,103,30000,91000028,30000,91000029,3000,91000001,50000
104,104,30000,91000028,30000,91000029,3000,91000001,50000
105,105,30000,91000028,30000,91000029,3000,91000001,50000
106,106,30000,91000028,30000,91000029,3000,91000001,50000
107,107,30000,91000028,30000,91000029,3000,91000001,50000
108,108,30000,91000028,30000,91000029,3000,91000001,50000
109,109,30000,91000028,30000,91000029,3000,91000001,50000
110,110,30000,91000028,30000,91000029,3000,91000001,50000
111,111,30000,91000028,30000,91000029,3000,91000001,50000
112,112,30000,91000028,30000,91000029,3000,91000001,50000
113,113,30000,91000028,30000,91000029,3000,91000001,50000
114,114,30000,91000028,30000,91000029,3000,91000001,50000
115,115,30000,91000028,30000,91000029,3000,91000001,50000
116,116,30000,91000028,30000,91000029,3000,91000001,50000
117,117,30000,91000028,30000,91000029,3000,91000001,50000
118,118,30000,91000028,30000,91000029,3000,91000001,50000
119,119,30000,91000028,30000,91000029,3000,91000001,50000
120,120,30000,91000028,30000,91000029,3000,91000001,50000
121,121,30000,91000028,30000,91000029,3000,91000001,50000
122,122,30000,91000028,30000,91000029,3000,91000001,50000
123,123,30000,91000028,30000,91000029,3000,91000001,50000
124,124,30000,91000028,30000,91000029,3000,91000001,50000
125,125,30000,91000028,30000,91000029,3000,91000001,50000
126,126,30000,91000028,30000,91000029,3000,91000001,50000
127,127,30000,91000028,30000,91000029,3000,91000001,50000
128,128,30000,91000028,30000,91000029,3000,91000001,50000
129,129,30000,91000028,30000,91000029,3000,91000001,50000
130,130,30000,91000028,30000,91000029,3000,91000001,50000
131,131,30000,91000028,30000,91000029,3000,91000001,50000
132,132,30000,91000028,30000,91000029,3000,91000001,50000
133,133,30000,91000028,30000,91000029,3000,91000001,50000
134,134,30000,91000028,30000,91000029,3000,91000001,50000
135,135,30000,91000028,30000,91000029,3000,91000001,50000
136,136,30000,91000028,30000,91000029,3000,91000001,50000
137,137,30000,91000028,30000,91000029,3000,91000001,50000
138,138,30000,91000028,30000,91000029,3000,91000001,50000
139,139,30000,91000028,30000,91000029,3000,91000001,50000
140,140,30000,91000028,30000,91000029,3000,91000001,50000
141,141,50000,91000028,50000,91000029,5000,91000001,50000
142,142,50000,91000028,50000,91000029,5000,91000001,50000
143,143,50000,91000028,50000,91000029,5000,91000001,50000
144,144,50000,91000028,50000,91000029,5000,91000001,50000
145,145,50000,91000028,50000,91000029,5000,91000001,50000
146,146,50000,91000028,50000,91000029,5000,91000001,50000
147,147,50000,91000028,50000,91000029,5000,91000001,50000
148,148,50000,91000028,50000,91000029,5000,91000001,50000
149,149,50000,91000028,50000,91000029,5000,91000001,50000
150,150,50000,91000028,50000,91000029,5000,91000001,50000
