id,sort,type,n1,n2,n3,txt,item1,num1,item2,num2,item3,num3,item4,num4,item5,num5,item6,num6,group
100101,1,1,1,1,200000,第1名,91000002,300000,30020008,300,91000056,1000,30020045,200,12500101,150,40000005,300,1
100102,2,1,2,2,180000,第2名,91000002,200000,30020008,150,91000056,800,30020045,150,12500101,120,40000005,150,1
100103,3,1,3,3,150000,第3名,91000002,100000,30020008,100,91000056,600,30020045,100,12500101,100,40000005,50,1
100104,4,1,4,4,100000,第4名,91000002,100000,30020008,80,91000056,400,30020045,50,12500101,50,0,0,1
100105,5,1,5,5,80000,第5名,91000002,90000,30020008,80,91000056,350,30020045,40,12500101,30,0,0,1
100106,6,1,6,10,50000,第6-10名,91000002,80000,30020008,60,91000056,320,30020045,30,12500101,20,0,0,1
100107,7,1,11,50,40000,第11-50名,91000002,70000,30020008,60,91000056,300,0,0,12500101,15,0,0,1
100108,8,1,51,100,10000,第51-100名,91000002,60000,30020008,40,91000056,280,0,0,12500101,10,0,0,1
100109,9,1,101,200,10000,第101-200名,91000002,50000,30020008,30,91000056,260,0,0,12500101,5,0,0,1
100110,10,1,201,500,10000,第201-500名,91000002,30000,30020008,20,91000056,240,0,0,12500101,3,0,0,1
100111,11,1,501,100000,0,第500名以外,91000002,10000,30020008,10,91000056,100,0,0,0,0,0,0,1
100112,1,1,1,1,200000,第1名,91000002,300000,30020008,300,91000056,1000,30020045,200,12500201,150,40000005,300,2
100113,2,1,2,2,180000,第2名,91000002,200000,30020008,150,91000056,800,30020045,150,12500201,120,40000005,150,2
100114,3,1,3,3,150000,第3名,91000002,100000,30020008,100,91000056,600,30020045,100,12500201,100,40000005,50,2
100115,4,1,4,4,100000,第4名,91000002,100000,30020008,80,91000056,400,30020045,50,12500201,50,0,0,2
100116,5,1,5,5,80000,第5名,91000002,90000,30020008,80,91000056,350,30020045,40,12500201,30,0,0,2
100117,6,1,6,10,50000,第6-10名,91000002,80000,30020008,60,91000056,320,30020045,30,12500201,20,0,0,2
100118,7,1,11,50,40000,第11-50名,91000002,70000,30020008,60,91000056,300,0,0,12500201,15,0,0,2
100119,8,1,51,100,10000,第51-100名,91000002,60000,30020008,40,91000056,280,0,0,12500201,10,0,0,2
100120,9,1,101,200,10000,第101-200名,91000002,50000,30020008,30,91000056,260,0,0,12500201,5,0,0,2
100121,10,1,201,500,10000,第201-500名,91000002,30000,30020008,20,91000056,240,0,0,12500201,3,0,0,2
100122,11,1,501,100000,0,第500名以外,91000002,10000,30020008,10,91000056,100,0,0,0,0,0,0,2
100123,1,1,1,1,200000,第1名,91000002,300000,30020008,300,91000056,1000,30020045,200,12500301,150,40000005,300,3
100124,2,1,2,2,180000,第2名,91000002,200000,30020008,150,91000056,800,30020045,150,12500301,120,40000005,150,3
100125,3,1,3,3,150000,第3名,91000002,100000,30020008,100,91000056,600,30020045,100,12500301,100,40000005,50,3
100126,4,1,4,4,100000,第4名,91000002,100000,30020008,80,91000056,400,30020045,50,12500301,50,0,0,3
100127,5,1,5,5,80000,第5名,91000002,90000,30020008,80,91000056,350,30020045,40,12500301,30,0,0,3
100128,6,1,6,10,50000,第6-10名,91000002,80000,30020008,60,91000056,320,30020045,30,12500301,20,0,0,3
100129,7,1,11,50,40000,第11-50名,91000002,70000,30020008,60,91000056,300,0,0,12500301,15,0,0,3
100130,8,1,51,100,10000,第51-100名,91000002,60000,30020008,40,91000056,280,0,0,12500301,10,0,0,3
100131,9,1,101,200,10000,第101-200名,91000002,50000,30020008,30,91000056,260,0,0,12500301,5,0,0,3
100132,10,1,201,500,10000,第201-500名,91000002,30000,30020008,20,91000056,240,0,0,12500301,3,0,0,3
100133,11,1,501,100000,0,第500名以外,91000002,10000,30020008,10,91000056,100,0,0,0,0,0,0,3
100134,1,1,1,1,200000,第1名,91000002,300000,30020008,300,91000056,1000,30020045,200,12500401,150,40000005,300,4
100135,2,1,2,2,180000,第2名,91000002,200000,30020008,150,91000056,800,30020045,150,12500401,120,40000005,150,4
100136,3,1,3,3,150000,第3名,91000002,100000,30020008,100,91000056,600,30020045,100,12500401,100,40000005,50,4
100137,4,1,4,4,100000,第4名,91000002,100000,30020008,80,91000056,400,30020045,50,12500401,50,0,0,4
100138,5,1,5,5,80000,第5名,91000002,90000,30020008,80,91000056,350,30020045,40,12500401,30,0,0,4
100139,6,1,6,10,50000,第6-10名,91000002,80000,30020008,60,91000056,320,30020045,30,12500401,20,0,0,4
