id,sort,type,time,item,num,cost,costnum,group
1001,1,2,5,12500101,5,91000029,5000,1
1002,2,2,20,30000003,2,91000029,1600,1
1003,3,2,5,40000003,10,91000029,1000,1
1004,4,2,5,81000002,10,91000029,1000,1
1005,5,2,5,30010003,2,91000029,1800,1
1006,6,2,5,91000056,100,91000029,800,1
1007,7,2,2,42010003,1,91000029,2000,1
1008,8,2,5,30020045,10,91000029,1000,1
1009,9,2,5,30020008,10,91000029,1600,1
1010,10,2,2,82000001,1,91000029,1600,1
1011,1,2,5,12500201,5,91000029,5000,2
1012,2,2,20,30000003,2,91000029,1600,2
1013,3,2,5,40000003,10,91000029,1000,2
1014,4,2,5,81000002,10,91000029,1000,2
1015,5,2,5,30010003,2,91000029,1800,2
1016,6,2,5,91000056,100,91000029,800,2
1017,7,2,5,42010003,1,91000029,2000,2
1018,8,2,5,30020045,10,91000029,1000,2
1019,9,2,5,30020008,10,91000029,1600,2
1020,10,2,20,82000001,1,91000029,1600,2
1021,1,2,5,12500301,5,91000029,5000,3
1022,2,2,5,30000003,2,91000029,1600,3
1023,3,2,5,40000003,10,91000029,1000,3
1024,4,2,5,81000002,10,91000029,1000,3
1025,5,2,5,30010003,2,91000029,1800,3
1026,6,2,5,91000056,100,91000029,800,3
1027,7,2,5,42010003,1,91000029,2000,3
1028,8,2,5,30020045,10,91000029,1000,3
1029,9,2,5,30020008,10,91000029,1600,3
1030,10,2,20,82000001,1,91000029,1600,3
1031,1,2,5,12500401,5,91000029,5000,4
1032,2,2,5,30000003,2,91000029,1600,4
1033,3,2,5,40000003,10,91000029,1000,4
1034,4,2,5,81000002,10,91000029,1000,4
1035,5,2,5,30010003,2,91000029,1800,4
1036,6,2,5,91000056,100,91000029,800,4
1037,7,2,5,42010003,1,91000029,2000,4
1038,8,2,5,30020045,10,91000029,1000,4
1039,9,2,5,30020008,10,91000029,1600,4
1040,10,2,20,82000001,1,91000029,1600,4
1041,1,2,5,12500501,5,91000029,5000,5
1042,2,2,5,30000003,2,91000029,1600,5
1043,3,2,5,40000003,10,91000029,1000,5
1044,4,2,5,81000002,10,91000029,1000,5
1045,5,2,5,30010003,2,91000029,1800,5
1046,6,2,5,91000056,100,91000029,800,5
1047,7,2,5,42010003,1,91000029,2000,5
1048,8,2,5,30020045,10,91000029,1000,5
1049,9,2,5,30020008,10,91000029,1600,5
1050,10,2,20,82000001,1,91000029,1600,5
