id,name,costid1,costcount1,costid2,costcount2,costid3,costcount3,costid4,costcount4,costid5,costcount5
1,科技消耗,91000033,1,0,0,0,0,0,0,0,0
2,科技重置时间,91000002,1200,0,0,0,0,0,0,0,0
100,宝石副本扫荡,91000003,36,0,0,0,0,0,0,0,0
101,宝石副本挑战,91000003,6,0,0,0,0,0,0,0,0
151,资源副本挑战,91000003,6,0,0,0,0,0,0,0,0
10,蜘蛛,91000034,0,0,0,0,0,0,0,0,0
11,狮鹫,91000034,500,0,0,0,0,0,0,0,0
12,狮蝎,91000034,1000,0,0,0,0,0,0,0,0
13,三头狗,91000034,3000,0,0,0,0,0,0,0,0
14,美杜莎,91000034,5000,0,0,0,0,0,0,0,0
15,九头蛇,91000034,10000,0,0,0,0,0,0,0,0
16,红龙,91000034,30000,0,0,0,0,0,0,0,0
201,王国任务,91000001,50000,0,0,0,0,0,0,0,0
202,白魔晶,30000001,1,0,0,0,0,0,0,0,0
203,绿魔晶,30000002,1,0,0,0,0,0,0,0,0
204,蓝魔晶,30000003,1,0,0,0,0,0,0,0,0
205,紫魔晶,30000004,1,0,0,0,0,0,0,0,0
206,橙魔晶,30000005,1,0,0,0,0,0,0,0,0
207,红魔晶,30000006,1,0,0,0,0,0,0,0,0
208,白星魂,30001001,1,0,0,0,0,0,0,0,0
209,绿星魂,30001002,1,0,0,0,0,0,0,0,0
210,蓝星魂,30001003,1,0,0,0,0,0,0,0,0
211,紫星魂,30001004,1,0,0,0,0,0,0,0,0
212,橙星魂,30001005,1,0,0,0,0,0,0,0,0
213,红星魂,30001006,1,0,0,0,0,0,0,0,0
214,铜锭,31000101,1,0,0,0,0,0,0,0,0
215,铁锭,31000102,1,0,0,0,0,0,0,0,0
216,钢锭,31000103,1,0,0,0,0,0,0,0,0
217,银锭,31000104,1,0,0,0,0,0,0,0,0
218,金锭,31000105,1,0,0,0,0,0,0,0,0
219,秘银锭,31000106,1,0,0,0,0,0,0,0,0
220,幽暗碎片,31001001,1,0,0,0,0,0,0,0,0
221,微光碎片,31001002,1,0,0,0,0,0,0,0,0
222,闪耀碎片,31001003,1,0,0,0,0,0,0,0,0
223,炽热碎片,31001004,1,0,0,0,0,0,0,0,0
224,魔能碎片,31001005,1,0,0,0,0,0,0,0,0
225,圣光碎片,31001006,1,0,0,0,0,0,0,0,0
226,莫拉丁之尘,31000001,1,0,0,0,0,0,0,0,0
227,匕首碎片,21000001,1,0,0,0,0,0,0,0,0
228,无光戒碎片,21000002,1,0,0,0,0,0,0,0,0
229,皮裤碎片,21000003,1,0,0,0,0,0,0,0,0
230,棉甲碎片,21000004,1,0,0,0,0,0,0,0,0
231,棉靴碎片,21000005,1,0,0,0,0,0,0,0,0
232,腕带碎片,21000006,1,0,0,0,0,0,0,0,0
301,佣兵强化,91000001,100,0,0,0,0,0,0,0,0
310,0个锁佣兵洗练,91000001,100,40000001,1,0,0,0,0,0,0
311,1个锁佣兵洗练,91000001,100,40000001,1,40000002,1,0,0,0,0
312,2个锁佣兵洗练,91000001,100,40000001,1,40000002,2,0,0,0,0
313,3个锁佣兵洗练,91000001,100,40000001,1,40000002,3,0,0,0,0
314,4个锁佣兵洗练,91000001,100,40000001,1,40000002,4,0,0,0,0
315,5个锁佣兵洗练,91000001,100,40000001,1,40000002,5,0,0,0,0
3,领体力补领,91000002,6000,0,0,0,0,0,0,0,0
401,每日首次道具十连,81400601,8,0,0,0,0,0,0,0,0
402,每日首次钻石十连,91000002,288000,0,0,0,0,0,0,0,0
501,科技消耗,91000033,1000,0,0,0,0,0,0,0,0
502,科技消耗,91000033,2000,0,0,0,0,0,0,0,0
503,科技消耗,91000033,5000,0,0,0,0,0,0,0,0
504,科技消耗,91000033,10000,0,0,0,0,0,0,0,0
505,科技消耗,91000033,20000,0,0,0,0,0,0,0,0
506,科技消耗,91000033,50000,0,0,0,0,0,0,0,0
507,科技消耗,91000033,100000,0,0,0,0,0,0,0,0
508,科技消耗,91000033,200000,0,0,0,0,0,0,0,0
509,科技消耗,91000033,500000,0,0,0,0,0,0,0,0
510,科技消耗,91000033,1000000,0,0,0,0,0,0,0,0
