group,step,alllv,base_type1,base_value1,base_type2,base_value2,base_type3,base_value3,base_type4,base_value4,base_type5,base_value5,keyindex
1,0,0,81,0,84,0,0,0,0,0,99,0,1
1,1,1,81,600,84,600,0,0,0,0,99,600000,2
1,2,2,81,1200,84,1200,0,0,0,0,99,1200000,3
1,3,3,81,1800,84,1800,0,0,0,0,99,1800000,4
1,4,4,81,2400,84,2400,0,0,0,0,99,2400000,5
1,5,5,81,3000,84,3000,0,0,0,0,99,3000000,6
2,0,0,81,0,84,0,0,0,0,0,99,0,7
2,1,1,81,800,84,800,0,0,0,0,99,800000,8
2,2,2,81,1600,84,1600,0,0,0,0,99,1600000,9
2,3,3,81,2400,84,2400,0,0,0,0,99,2400000,10
2,4,4,81,3200,84,3200,0,0,0,0,99,3200000,11
2,5,5,81,4000,84,4000,0,0,0,0,99,4000000,12
3,0,0,81,0,84,0,0,0,0,0,99,0,13
3,1,1,81,1000,84,1000,0,0,0,0,99,1000000,14
3,2,2,81,2000,84,2000,0,0,0,0,99,2000000,15
3,3,3,81,3000,84,3000,0,0,0,0,99,3000000,16
3,4,4,81,4000,84,4000,0,0,0,0,99,4000000,17
3,5,5,81,5000,84,5000,0,0,0,0,99,5000000,18
