id,lv,needlv,txt,base_type1,base_value1,base_type2,base_value2,base_type3,base_value3,base_type4,base_value4,skill,item1,num1,item2,num2,item3,num3,return_type1,return_value1,return_type2,return_value2
100101,0,20,领主达到20级,7,0,0,0,0,0,99,0,0,42100104,1,42000001,1,0,0,0,0,0,0
100101,1,30,领主达到30级,7,3700,0,0,0,0,99,370000,0,42100104,3,42000001,2,0,0,42100104,1,42000001,1
100101,2,40,领主达到40级,7,7500,0,0,0,0,99,750000,0,42100104,6,42000001,5,0,0,42100104,4,42000001,3
100101,3,50,领主达到50级,7,16600,0,0,0,0,99,1660000,0,42100104,6,42000001,10,0,0,42100104,10,42000001,8
100101,4,60,领主达到60级,7,30300,0,0,0,0,99,3030000,0,42100104,6,42000001,16,0,0,42100104,16,42000001,18
100101,5,0,0,7,48000,0,0,0,0,99,4800000,0,0,0,0,0,0,0,42100104,22,42000001,34
100201,0,20,领主达到20级,29,0,0,0,0,0,99,0,0,42100204,1,42000001,1,0,0,0,0,0,0
100201,1,30,领主达到30级,29,3700,0,0,0,0,99,370000,0,42100204,3,42000001,2,0,0,42100204,1,42000001,1
100201,2,40,领主达到40级,29,7500,0,0,0,0,99,750000,0,42100204,6,42000001,5,0,0,42100204,4,42000001,3
100201,3,50,领主达到50级,29,16600,0,0,0,0,99,1660000,0,42100204,6,42000001,10,0,0,42100204,10,42000001,8
100201,4,60,领主达到60级,29,30300,0,0,0,0,99,3030000,0,42100204,6,42000001,16,0,0,42100204,16,42000001,18
100201,5,0,0,29,48000,0,0,0,0,99,4800000,0,0,0,0,0,0,0,42100204,22,42000001,34
100301,0,20,领主达到20级,29,0,0,0,0,0,99,0,0,42100304,1,42000001,2,0,0,0,0,0,0
100301,1,30,领主达到30级,29,8400,0,0,0,0,99,840000,0,42100304,3,42000001,6,0,0,42100304,1,42000001,2
100301,2,40,领主达到40级,29,16900,0,0,0,0,99,1690000,0,42100304,6,42000001,12,0,0,42100304,4,42000001,8
100301,3,50,领主达到50级,29,37400,0,0,0,0,99,3740000,0,42100304,6,42000001,22,0,0,42100304,10,42000001,20
100301,4,60,领主达到60级,29,68100,0,0,0,0,99,6810000,0,42100304,6,42000001,33,0,0,42100304,16,42000001,42
100301,5,0,0,29,108000,0,0,0,0,99,10800000,0,0,0,0,0,0,0,42100304,22,42000001,75
