id,group,item,num,refreshweight,extractweight,only,havediv,havedivchance,notice
1,1001,42401004,1,1,2,1,0,0,1
2,1001,42101104,1,1,2,1,0,0,1
3,1001,42300904,1,1,2,1,0,0,1
4,1001,42100204,1,1,2,1,0,0,1
5,1001,42300204,1,1,2,1,0,0,1
6,1001,42300504,1,1,2,1,0,0,1
7,1001,42100504,1,1,2,1,0,0,1
8,1001,42100104,1,1,2,1,0,0,1
9,1001,42300304,1,1,2,1,0,0,1
10,1001,42300104,1,1,2,1,0,0,1
11,1001,42301104,1,1,1,1,0,0,1
12,1001,42400204,1,1,1,1,0,0,1
13,1001,42200304,1,1,1,1,0,0,1
14,1001,42100804,1,1,1,1,0,0,1
15,1001,42300704,1,1,1,1,0,0,1
16,1001,42400404,1,1,1,1,0,0,1
17,1001,42200904,1,1,1,1,0,0,1
18,1001,42100604,1,1,1,1,0,0,1
19,1001,42400504,1,1,1,1,0,0,1
20,1001,42200804,1,1,1,1,0,0,1
21,1001,42200104,1,1,1,1,0,0,1
22,1001,42200704,1,1,1,1,0,0,1
23,1001,42400604,1,1,1,1,0,0,1
24,1001,42200504,1,1,1,1,0,0,1
25,1002,91000001,50000,1,1000,0,0,0,0
26,1002,91000001,30000,1,1000,0,0,0,0
27,1002,91000001,10000,1,1000,0,0,0,0
28,1008,44300404,1,1,600,0,0,0,0
29,1008,44200404,1,1,600,0,0,0,0
30,1008,44200604,1,1,600,0,0,0,0
31,1008,44201004,1,1,300,0,0,0,0
32,1008,44301204,1,1,300,0,0,0,0
33,1008,44400104,1,1,300,0,0,0,0
34,1008,44101004,1,1,300,0,0,0,0
35,1008,44400904,1,1,300,0,0,0,0
36,1008,44300604,1,1,300,0,0,0,0
37,1008,44300804,1,1,300,0,0,0,0
38,1008,44100704,1,1,300,0,0,0,0
39,1008,44400804,1,1,300,0,0,0,0
40,1003,81400601,1,1,600,0,0,0,0
41,1004,81400602,1,1,50,0,0,0,0
42,1005,42000001,1,1,50,1,0,0,0
43,1006,79000008,1,1,1000,0,0,0,0
44,1007,79000008,2,1,1000,0,0,0,0
45,1009,44300404,1,1,600,0,0,0,0
46,1009,44200404,1,1,600,0,0,0,0
47,1009,44200604,1,1,600,0,0,0,0
48,1009,44201004,1,1,300,0,0,0,0
49,1009,44301204,1,1,300,0,0,0,0
