id,class,name,refcost,luckcost,minvip,maxvip,type,total,group1,group2,group3,group4,group5,group6,group7,group8,group9,group10,group11,group12,chance,typetime
1,10101,金币神格-刷新-小R,32,34,0,4,101,12,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012,60,150
2,10102,金币神格-刷新-小R,32,34,0,4,101,12,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012,20,150
3,10103,金币神格-刷新-小R,32,34,0,4,101,12,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012,20,150
4,10104,金币神格-刷新-中R,32,34,5,10,101,12,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012,30,150
5,10105,金币神格-刷新-中R,32,34,5,10,101,12,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012,30,150
6,10106,金币神格-刷新-中R,32,34,5,10,101,12,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012,40,150
7,10107,金币神格-刷新-大R,32,34,11,15,101,12,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012,5,150
8,10108,金币神格-刷新-大R,32,34,11,15,101,12,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012,90,150
9,10109,金币神格-刷新-大R,32,34,11,15,101,12,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012,10,150
10,10201,钻石神格-刷新-小R,33,35,0,4,201,12,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,60,100
11,10202,钻石神格-刷新-小R,33,35,0,4,201,12,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,20,100
12,10203,钻石神格-刷新-小R,33,35,0,4,201,12,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,20,100
13,10204,钻石神格-刷新-中R,33,35,5,10,201,12,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,30,100
14,10205,钻石神格-刷新-中R,33,35,5,10,201,12,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,30,100
15,10206,钻石神格-刷新-中R,33,35,5,10,201,12,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,40,100
16,10207,钻石神格-刷新-大R,33,35,11,15,201,12,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,5,100
17,10208,钻石神格-刷新-大R,33,35,11,15,201,12,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,90,100
18,10209,钻石神格-刷新-大R,33,35,11,15,201,12,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,10,100
