id,name,icon,quality,intr,sketch,remark,effecthero,effectcamp
70000001,死者支配,tb.png,2,在战斗的开始，将不消耗能量使用一次终极技能不死之王,一段简述,精英,0,0
70000002,暗影匕首,tb.png,2,暴击+15%,一段简述,精英,0,0
70000003,暗影匕首,tb.png,3,暴击+25%,一段简述,史诗,0,0
70000004,暗影匕首,tb.png,1,暴击+10%,一段简述,稀有,0,0
70000005,大魔术法典,tb.png,2,基于智力的英雄造成+20％伤害。,一段简述,精英,0,0
70000006,大魔术法典,tb.png,3,基于智力的英雄造成+30％伤害。,一段简述,史诗,0,0
70000007,大魔术法典,tb.png,1,基于智力的英雄造成+10％伤害。,一段简述,稀有,0,0
70000008,应激防壁,tb.png,2,敌人首次使用必杀技时，己方全体获得一个持续3秒的最大生命值40%的护盾,一段简述,精英,0,0
70000009,应激防壁,tb.png,3,敌人首次使用必杀技时，己方全体获得一个持续3秒的最大生命值60%的护盾每次战斗只能使用一次能力,一段简述,史诗,0,0
70000010,应激防壁,tb.png,1,敌人首次使用必杀技时，己方全体获得一个持续3秒的最大生命值20%的护盾,一段简述,稀有,0,0
70000011,寒冰神符,tb.png,3,每场战斗一次，己方英雄受到致命伤害时，产生免疫所有伤害的屏障保护该英雄数秒，期间持续恢复生命,一段简述,史诗,0,0
70000012,能量水晶,tb.png,2,每场战斗，己方英雄首次使用终极技能后，该英雄将在之后的5秒内恢复350能量,一段简述,精英,0,0
70000013,能量水晶,tb.png,3,每场战斗，己方英雄首次使用终极技能后，该英雄将在之后的5秒内恢复700能量,一段简述,史诗,0,0
70000014,复仇雕像,tb.png,2,当英雄死亡时，所有幸存英雄的所有属性都会提高，直到战斗结束。,一段简述,精英,0,0
70000015,耀光圣剑,tb.png,2,耀光帝国的防御+ 30％。受伤时能量恢复+ 20％。,一段简述,精英,0,0
70000016,耀光圣剑,tb.png,3,持光者的防御等级+ 50％。受伤时能量恢复+ 30％。,一段简述,史诗,0,0
70000017,耀光圣剑,tb.png,1,耀光帝国的防御+ 10％。受伤时能量恢复+ 15％。,一段简述,稀有,0,0
70000018,急速之靴,tb.png,2,闪避+40,一段简述,精英,0,0
70000019,急速之靴,tb.png,1,闪避+20,一段简述,稀有,0,0
70000020,能量基座,tb.png,2,使已拥有的能量碎块所带来的增益效果提升至原本的两倍,一段简述,精英,0,0
70000021,活力源泉,tb.png,2,当您使用生命之泉时，可以额外恢复50％的健康和能量。,一段简述,精英,0,0
70000022,活力源泉,tb.png,1,当您使用生命之泉时，可以额外恢复25％的健康和活力。,一段简述,稀有,0,0
70000023,刚铁护甲,tb.png,2,力量英雄获得+ 20％防御力。,一段简述,精英,0,0
70000024,刚铁护甲,tb.png,3,力量英雄获得+ 30％防御力。每秒恢复最大HP的1％,一段简述,史诗,0,0
70000025,钢铁护甲,tb.png,1,力量英雄获得+ 10％防御力。,一段简述,稀有,0,0
70000026,卫队头盔,tb.png,2,受到伤害-15%,一段简述,精英,0,0
70000027,卫队头盔,tb.png,3,受到伤害-25%,一段简述,史诗,0,0
70000028,卫队头盔,tb.png,1,受到伤害-10%,一段简述,稀有,0,0
70000029,冰苍之剑,tb.png,2,己方英雄每次对敌人造成伤害时，都有机会降低敌人的防御，直到战斗结束。
如果您同时拥有【绯炎之剑】，降低的属性将变为伤害者的属性提升。,一段简述,精英,0,0
70000030,绿裔神弓,tb.png,2,绿意联盟英雄的暴击等级提高20％，20％速度提升。,一段简述,精英,0,0
70000031,绿裔神弓,tb.png,3,狂野英雄的暴击等级提高30％，急速提高30％。,一段简述,史诗,0,0
70000032,绿裔神弓,tb.png,1,狂野英雄的暴击等级提高15％，急速提高10％。,一段简述,稀有,0,0
70000033,恢复水晶,tb.png,3,当队友的生命值降低到40％以下时，可以在20秒内每秒使队友恢复4％的生命值（每场战斗只能使用一次）。,一段简述,史诗,0,0
70000034,怒气护腕,tb.png,2,受伤回能+40%,一段简述,精英,0,0
70000035,绯炎之剑,tb.png,2,己方每次对敌人造成伤害时，有一定几率削减对手攻击力，直至战斗结束，若同时拥有【冰苍之剑】，降低的属性将变为伤害者的属性提升,一段简述,精英,0,0
70000036,霍根的毅力,tb.png,2,当霍根受到的伤害小于其最大生命值的6％时，使霍根受到的伤害降低80％。,一段简述,精英,0,0
