id,intr,heroid1,heroid2,heroid3,heroid4,heroid5,probability
10001,普通怪,1002,1001,1003,1004,1005,10
10002,精英怪,1002,1001,1003,1004,1005,10
20001,灵魂马车,1002,1001,1003,1004,1005,10
30001,邪恶马车,1002,0,0,0,0,10
40001,宝藏守卫,1002,0,0,0,0,10
50001,BOSS,1002,1001,1003,1004,1005,10
50001,BOSS,1002,1001,1003,1004,1005,10
50001,BOSS,1002,1001,1003,1004,1005,10
50001,BOSS,1002,1001,1003,1004,1005,10
50001,BOSS,1002,1001,1003,1004,1005,10
50001,BOSS,1002,1001,1003,1004,1005,10
50001,BOSS,1002,1001,1003,1004,1005,10
