id,dungeons_id,name,thingtype,x,y,icon,model,model_res,battle_id,size,traffic,event1,item_type1,item_number1,item_type2,item_number2,item_type3,item_number3
1001,1,起点,0,1,1,0,0,0,0,65,0,0,0,0,0,0,0,0
1002,1,终点,1,7,1,0,0,0,0,65,0,0,0,0,0,0,0,0
1003,1,资源点,3,2,2,C_qianbi_01,0,0,0,65,0,0,91000001,9999,91000002,99,0,0
1004,1,机关,4,2,4,0,0,0,0,65,0,0,0,0,0,0,0,0
1005,1,传送点,5,3,2,C_chuansong,0,0,0,65,0,"dungeonMainUI.playerMoveTo(5,2)",0,0,0,0,0,0
1006,1,传送点,5,4,1,C_chuansong,0,0,0,65,0,"dungeonMainUI.playerMoveTo(3,3)",0,0,0,0,0,0
1007,1,宝箱,3,4,4,C_baoxiang_01,0,0,0,65,0,0,12300501,1,0,0,0,0
1008,1,许愿池,6,5,1,B_yiji_04,0,0,0,65,0,0,0,0,0,0,0,0
1009,1,怪物,2,5,4,0,2101,rsoldier2101,110207,65,0,0,91000041,30,91000005,6,12300401,1
1010,1,路障,7,6,4,B_zhangpeng_06,0,0,0,65,0,0,0,0,0,0,0,0
1011,1,上锁宝箱,8,7,2,C_baoxiang_01,0,0,0,65,0,0,0,0,0,0,0,0
1012,1,怪物boss,2,7,3,0,3002,hero302,110207,65,0,0,91000041,30,91000005,6,12300401,1
2001,2,起点,0,1,1,0,0,0,0,65,0,0,0,0,0,0,0,0
2002,2,终点,1,7,1,0,0,0,0,65,0,0,0,0,0,0,0,0
2003,2,资源点,3,2,2,C_qianbi_01,0,0,0,65,0,0,91000001,9999,91000002,9900,0,0
2004,2,机关,4,2,4,0,0,0,0,65,0,0,0,0,0,0,0,0
2005,2,传送点,5,3,2,C_chuansong,0,0,0,65,0,"dungeonMainUI.playerMoveTo(5,2)",0,0,0,0,0,0
2006,2,传送点,5,4,1,C_chuansong,0,0,0,65,0,"dungeonMainUI.playerMoveTo(3,3)",0,0,0,0,0,0
2007,2,宝箱,3,4,4,C_baoxiang_01,0,0,0,65,0,0,12300501,1,0,0,0,0
2008,2,许愿池,6,5,1,B_yiji_04,0,0,0,65,0,0,0,0,0,0,0,0
2009,2,怪物,2,5,4,0,2101,rsoldier2101,110207,65,0,0,91000041,30,91000005,6,12300401,1
2010,2,路障,7,6,4,B_zhangpeng_06,0,0,0,65,0,0,0,0,0,0,0,0
2011,2,上锁宝箱,8,7,2,C_baoxiang_01,0,0,0,65,0,0,0,0,0,0,0,0
2012,2,怪物boss,2,7,3,0,3002,hero302,110207,65,0,0,91000041,30,91000005,6,12300401,1
3001,3,起点,0,1,1,0,0,0,0,65,0,0,0,0,0,0,0,0
3002,3,终点,1,7,1,0,0,0,0,65,0,0,0,0,0,0,0,0
3003,3,资源点,3,2,2,C_qianbi_01,0,0,0,65,0,0,91000001,9999,91000002,9900,0,0
3004,3,机关,4,2,4,0,0,0,0,65,0,0,0,0,0,0,0,0
3005,3,传送点,5,3,2,C_chuansong,0,0,0,65,0,"dungeonMainUI.playerMoveTo(5,2)",0,0,0,0,0,0
3006,3,传送点,5,4,1,C_chuansong,0,0,0,65,0,"dungeonMainUI.playerMoveTo(3,3)",0,0,0,0,0,0
3007,3,宝箱,3,4,4,C_baoxiang_01,0,0,0,65,0,0,12300501,1,0,0,0,0
3008,3,许愿池,6,5,1,B_yiji_04,0,0,0,65,0,0,0,0,0,0,0,0
3009,3,怪物,2,5,4,0,2101,rsoldier2101,110207,65,0,0,91000041,30,91000005,6,12300401,1
3010,3,路障,7,6,4,B_zhangpeng_06,0,0,0,65,0,0,0,0,0,0,0,0
3011,3,上锁宝箱,8,7,2,C_baoxiang_01,0,0,0,65,0,0,0,0,0,0,0,0
3012,3,怪物boss,2,7,3,0,3002,hero302,110207,65,0,0,91000041,30,91000005,6,12300401,1
4001,4,起点,0,1,1,0,0,0,0,65,0,0,0,0,0,0,0,0
4002,4,终点,1,7,1,0,0,0,0,65,0,0,0,0,0,0,0,0
4003,4,资源点,3,2,2,C_qianbi_01,0,0,0,65,0,0,91000001,9999,91000002,9900,0,0
4004,4,机关,4,2,4,0,0,0,0,65,0,0,0,0,0,0,0,0
4005,4,传送点,5,3,2,C_chuansong,0,0,0,65,0,"dungeonMainUI.playerMoveTo(5,2)",0,0,0,0,0,0
4006,4,传送点,5,4,1,C_chuansong,0,0,0,65,0,"dungeonMainUI.playerMoveTo(3,3)",0,0,0,0,0,0
4007,4,宝箱,3,4,4,C_baoxiang_01,0,0,0,65,0,0,12300501,1,0,0,0,0
4008,4,许愿池,6,5,1,B_yiji_04,0,0,0,65,0,0,0,0,0,0,0,0
4009,4,怪物,2,5,4,0,2101,rsoldier2101,110207,65,0,0,91000041,30,91000005,6,12300401,1
4010,4,路障,7,6,4,B_zhangpeng_06,0,0,0,65,0,0,0,0,0,0,0,0
4011,4,上锁宝箱,8,7,2,C_baoxiang_01,0,0,0,65,0,0,0,0,0,0,0,0
4012,4,怪物boss,2,7,3,0,3002,hero302,110207,65,0,0,91000041,30,91000005,6,12300401,1
5001,5,起点,0,1,1,0,0,0,0,65,0,0,0,0,0,0,0,0
5002,5,终点,1,7,1,0,0,0,0,65,0,0,0,0,0,0,0,0
5003,5,资源点,3,2,2,C_qianbi_01,0,0,0,65,0,0,91000001,9999,91000002,9900,0,0
5004,5,机关,4,2,4,0,0,0,0,65,0,0,0,0,0,0,0,0
5005,5,传送点,5,3,2,C_chuansong,0,0,0,65,0,"dungeonMainUI.playerMoveTo(5,2)",0,0,0,0,0,0
5006,5,传送点,5,4,1,C_chuansong,0,0,0,65,0,"dungeonMainUI.playerMoveTo(3,3)",0,0,0,0,0,0
5007,5,宝箱,3,4,4,C_baoxiang_01,0,0,0,65,0,0,12300501,1,0,0,0,0
5008,5,许愿池,6,5,1,B_yiji_04,0,0,0,65,0,0,0,0,0,0,0,0
5009,5,怪物,2,5,4,0,2101,rsoldier2101,110207,65,0,0,91000041,30,91000005,6,12300401,1
5010,5,路障,7,6,4,B_zhangpeng_06,0,0,0,65,0,0,0,0,0,0,0,0
5011,5,上锁宝箱,8,7,2,C_baoxiang_01,0,0,0,65,0,0,0,0,0,0,0,0
5012,5,怪物boss,2,7,3,0,3002,hero302,110207,65,0,0,91000041,30,91000005,6,12300401,1
