id,say,face,option_text1,option_img1,option_type1,option_info1,option_text2,option_img2,option_type2,option_info2,option_text3,option_img3,option_type3,option_info3
1009,打劫，劫财劫色,monster2101,战斗,btn_dilaozhangjie_yxwd_01,1,110207,战力碾压,btn_dilaozhangjie_yxwd_03,2,9000,0,0,0,0
1012,ICIPIQ卡，统统拿来,hero3002,战斗,btn_dilaozhangjie_yxwd_01,1,110207,英雄压制,btn_dilaozhangjie_yxwd_02,3,3004,战力碾压,btn_dilaozhangjie_yxwd_03,2,9999999
2009,打劫，劫财劫色,monster2101,战斗,btn_dilaozhangjie_yxwd_01,1,110207,战力碾压,btn_dilaozhangjie_yxwd_03,2,9000,0,0,0,0
2012,ICIPIQ卡，统统拿来,hero3002,战斗,btn_dilaozhangjie_yxwd_01,1,110207,英雄压制,btn_dilaozhangjie_yxwd_02,3,3004,战力碾压,btn_dilaozhangjie_yxwd_03,2,9999999
3009,打劫，劫财劫色,monster2101,战斗,btn_dilaozhangjie_yxwd_01,1,110207,战力碾压,btn_dilaozhangjie_yxwd_03,2,9000,0,0,0,0
3012,ICIPIQ卡，统统拿来,hero3002,战斗,btn_dilaozhangjie_yxwd_01,1,110207,英雄压制,btn_dilaozhangjie_yxwd_02,3,3004,战力碾压,btn_dilaozhangjie_yxwd_03,2,9999999
4009,打劫，劫财劫色,monster2101,战斗,btn_dilaozhangjie_yxwd_01,1,110207,战力碾压,btn_dilaozhangjie_yxwd_03,2,9000,0,0,0,0
4012,ICIPIQ卡，统统拿来,hero3002,战斗,btn_dilaozhangjie_yxwd_01,1,110207,英雄压制,btn_dilaozhangjie_yxwd_02,3,3004,战力碾压,btn_dilaozhangjie_yxwd_03,2,9999999
5009,打劫，劫财劫色,monster2101,战斗,btn_dilaozhangjie_yxwd_01,1,110207,战力碾压,btn_dilaozhangjie_yxwd_03,2,9000,0,0,0,0
5012,ICIPIQ卡，统统拿来,hero3002,战斗,btn_dilaozhangjie_yxwd_01,1,110207,英雄压制,btn_dilaozhangjie_yxwd_02,3,3004,战力碾压,btn_dilaozhangjie_yxwd_03,2,9999999
