serialnumber,awaken_group,stage,attribute_type1,value1,attribute_type2,value2,talent_lv,talent_value,talent_name,talent_sign,talent_icon,ball_icon,ball_count
6011,601,1,7,0,99,0,0,0,武器（强化+觉醒）属性,加成,401004,1,3
6012,601,2,7,4800,99,480000,1,1000,武器（强化+觉醒）属性,加成,401004,2,3
6013,601,3,7,9600,99,960000,2,1500,武器（强化+觉醒）属性,加成,401004,3,4
6014,601,4,7,16000,99,1600000,3,2000,武器（强化+觉醒）属性,加成,401004,3,4
6015,601,5,7,24000,99,2400000,4,3000,武器（强化+觉醒）属性,加成,401004,4,5
6016,601,6,7,33600,99,3360000,5,4000,武器（强化+觉醒）属性,加成,401004,4,5
6017,601,7,7,44800,99,4480000,6,5000,武器（强化+觉醒）属性,加成,401004,5,5
6018,601,8,7,57600,99,5760000,7,6500,武器（强化+觉醒）属性,加成,401004,5,5
6019,601,9,7,73600,99,7360000,8,8000,武器（强化+觉醒）属性,加成,401004,5,5
60110,601,10,7,92800,99,9280000,9,10000,武器（强化+觉醒）属性,加成,401004,6,5
6021,602,1,8,0,99,0,0,0,铠甲（强化+觉醒）属性,加成,401103,1,3
6022,602,2,8,1920,99,192000,1,1000,铠甲（强化+觉醒）属性,加成,401103,2,3
6023,602,3,8,3840,99,384000,2,1500,铠甲（强化+觉醒）属性,加成,401103,3,4
6024,602,4,8,6400,99,640000,3,2000,铠甲（强化+觉醒）属性,加成,401103,3,4
6025,602,5,8,9600,99,960000,4,3000,铠甲（强化+觉醒）属性,加成,401103,4,5
6026,602,6,8,13440,99,1344000,5,4000,铠甲（强化+觉醒）属性,加成,401103,4,5
6027,602,7,8,17920,99,1792000,6,5000,铠甲（强化+觉醒）属性,加成,401103,5,5
6028,602,8,8,23040,99,2304000,7,6500,铠甲（强化+觉醒）属性,加成,401103,5,5
6029,602,9,8,29440,99,2944000,8,8000,铠甲（强化+觉醒）属性,加成,401103,5,5
60210,602,10,8,37120,99,3712000,9,10000,铠甲（强化+觉醒）属性,加成,401103,6,5
6031,603,1,9,0,99,0,0,0,戒指（强化+觉醒）属性,加成,401105,1,3
6032,603,2,9,9600,99,480000,1,1000,戒指（强化+觉醒）属性,加成,401105,2,3
6033,603,3,9,19200,99,960000,2,1500,戒指（强化+觉醒）属性,加成,401105,3,4
6034,603,4,9,32000,99,1600000,3,2000,戒指（强化+觉醒）属性,加成,401105,3,4
6035,603,5,9,48000,99,2400000,4,3000,戒指（强化+觉醒）属性,加成,401105,4,5
6036,603,6,9,67200,99,3360000,5,4000,戒指（强化+觉醒）属性,加成,401105,4,5
6037,603,7,9,89600,99,4480000,6,5000,戒指（强化+觉醒）属性,加成,401105,5,5
6038,603,8,9,115200,99,5760000,7,6500,戒指（强化+觉醒）属性,加成,401105,5,5
6039,603,9,9,147200,99,7360000,8,8000,戒指（强化+觉醒）属性,加成,401105,5,5
60310,603,10,9,185600,99,9280000,9,10000,戒指（强化+觉醒）属性,加成,401105,6,5
6041,604,1,10,0,99,0,0,0,护腿（强化+觉醒）属性,加成,401204,1,3
6042,604,2,10,2880,99,144000,1,1000,护腿（强化+觉醒）属性,加成,401204,2,3
6043,604,3,10,5760,99,288000,2,1500,护腿（强化+觉醒）属性,加成,401204,3,4
6044,604,4,10,9600,99,480000,3,2000,护腿（强化+觉醒）属性,加成,401204,3,4
6045,604,5,10,14400,99,720000,4,3000,护腿（强化+觉醒）属性,加成,401204,4,5
6046,604,6,10,20160,99,1008000,5,4000,护腿（强化+觉醒）属性,加成,401204,4,5
6047,604,7,10,26880,99,1344000,6,5000,护腿（强化+觉醒）属性,加成,401204,5,5
6048,604,8,10,34560,99,1728000,7,6500,护腿（强化+觉醒）属性,加成,401204,5,5
6049,604,9,10,44160,99,2208000,8,8000,护腿（强化+觉醒）属性,加成,401204,5,5
60410,604,10,10,55680,99,2784000,9,10000,护腿（强化+觉醒）属性,加成,401204,6,5
6051,605,1,29,0,99,0,0,0,拳套（强化+觉醒）属性,加成,101111,1,3
6052,605,2,29,4800,99,480000,1,1000,拳套（强化+觉醒）属性,加成,101111,2,3
6053,605,3,29,9600,99,960000,2,1500,拳套（强化+觉醒）属性,加成,101111,3,4
6054,605,4,29,16000,99,1600000,3,2000,拳套（强化+觉醒）属性,加成,101111,3,4
6055,605,5,29,24000,99,2400000,4,3000,拳套（强化+觉醒）属性,加成,101111,4,5
6056,605,6,29,33600,99,3360000,5,4000,拳套（强化+觉醒）属性,加成,101111,4,5
6057,605,7,29,44800,99,4480000,6,5000,拳套（强化+觉醒）属性,加成,101111,5,5
6058,605,8,29,57600,99,5760000,7,6500,拳套（强化+觉醒）属性,加成,101111,5,5
6059,605,9,29,73600,99,7360000,8,8000,拳套（强化+觉醒）属性,加成,101111,5,5
60510,605,10,29,92800,99,9280000,9,10000,拳套（强化+觉醒）属性,加成,101111,6,5
6061,606,1,6,0,99,0,0,0,战靴（强化+觉醒）属性,加成,200311,1,3
6062,606,2,6,48000,99,480000,1,1000,战靴（强化+觉醒）属性,加成,200311,2,3
6063,606,3,6,96000,99,960000,2,1500,战靴（强化+觉醒）属性,加成,200311,3,4
6064,606,4,6,160000,99,1600000,3,2000,战靴（强化+觉醒）属性,加成,200311,3,4
6065,606,5,6,240000,99,2400000,4,3000,战靴（强化+觉醒）属性,加成,200311,4,5
6066,606,6,6,336000,99,3360000,5,4000,战靴（强化+觉醒）属性,加成,200311,4,5
6067,606,7,6,448000,99,4480000,6,5000,战靴（强化+觉醒）属性,加成,200311,5,5
6068,606,8,6,576000,99,5760000,7,6500,战靴（强化+觉醒）属性,加成,200311,5,5
6069,606,9,6,736000,99,7360000,8,8000,战靴（强化+觉醒）属性,加成,200311,5,5
60610,606,10,6,928000,99,9280000,9,10000,战靴（强化+觉醒）属性,加成,200311,6,5
