awaken_group,index,lv_limits,stage,level,exp,advanced_group,attribute_type1,attribute_value1,attribute_type2,attribute_value2
601,1,0,1,0,3750,0,7,0,99,0
601,2,0,1,1,3750,0,7,800,99,80000
601,3,0,1,2,3750,0,7,1200,99,120000
601,4,0,1,3,3750,0,7,1600,99,160000
601,5,0,2,0,3750,0,7,2400,99,240000
601,6,0,2,1,3750,0,7,3200,99,320000
601,7,0,2,2,3750,0,7,4000,99,400000
601,8,0,2,3,3750,0,7,4800,99,480000
601,9,0,3,0,6000,0,7,6000,99,600000
601,10,0,3,1,6000,0,7,7200,99,720000
601,11,0,3,2,6000,0,7,8400,99,840000
601,12,0,3,3,6000,0,7,9600,99,960000
601,13,0,3,4,6000,0,7,10800,99,1080000
601,14,0,4,0,12000,0,7,12400,99,1240000
601,15,0,4,1,12000,0,7,14000,99,1400000
601,16,0,4,2,12000,0,7,15600,99,1560000
601,17,0,4,3,12000,0,7,17200,99,1720000
601,18,0,4,4,12000,60102,7,18800,99,1880000
601,19,0,5,0,20000,0,7,20800,99,2080000
601,20,0,5,1,20000,0,7,22800,99,2280000
601,21,0,5,2,20000,0,7,24800,99,2480000
601,22,0,5,3,20000,0,7,26800,99,2680000
601,23,0,5,4,20000,0,7,28800,99,2880000
601,24,0,5,5,20000,60102,7,30800,99,3080000
601,25,0,6,0,40000,0,7,33200,99,3320000
601,26,0,6,1,40000,0,7,35600,99,3560000
601,27,0,6,2,40000,0,7,38000,99,3800000
601,28,0,6,3,40000,0,7,40400,99,4040000
601,29,0,6,4,40000,0,7,42800,99,4280000
601,30,0,6,5,40000,60102,7,45200,99,4520000
601,31,0,7,0,80000,0,7,48000,99,4800000
601,32,0,7,1,80000,0,7,50800,99,5080000
601,33,0,7,2,80000,0,7,53600,99,5360000
601,34,0,7,3,80000,0,7,56400,99,5640000
601,35,0,7,4,80000,0,7,59200,99,5920000
601,36,0,7,5,80000,60103,7,62000,99,6200000
601,37,0,8,0,90000,0,7,65200,99,6520000
601,38,0,8,1,90000,0,7,68400,99,6840000
601,39,0,8,2,90000,0,7,71600,99,7160000
601,40,0,8,3,90000,0,7,74800,99,7480000
601,41,0,8,4,90000,0,7,78000,99,7800000
601,42,0,8,5,90000,60103,7,81200,99,8120000
601,43,0,9,0,100000,0,7,85200,99,8520000
601,44,0,9,1,100000,0,7,89200,99,8920000
601,45,0,9,2,100000,0,7,93200,99,9320000
601,46,0,9,3,100000,0,7,97200,99,9720000
601,47,0,9,4,100000,0,7,101200,99,10120000
601,48,0,9,5,100000,60103,7,105200,99,10520000
601,49,0,10,0,150000,0,7,110000,99,11000000
601,50,0,10,1,150000,0,7,114800,99,11480000
601,51,0,10,2,150000,0,7,119600,99,11960000
601,52,0,10,3,150000,0,7,124400,99,12440000
601,53,0,10,4,150000,0,7,129200,99,12920000
601,54,0,10,5,0,0,7,134000,99,13400000
602,1,0,1,0,3750,0,8,0,99,0
602,2,0,1,1,3750,0,8,320,99,32000
602,3,0,1,2,3750,0,8,480,99,48000
602,4,0,1,3,3750,0,8,640,99,64000
602,5,0,2,0,3750,0,8,960,99,96000
602,6,0,2,1,3750,0,8,1280,99,128000
602,7,0,2,2,3750,0,8,1600,99,160000
602,8,0,2,3,3750,0,8,1920,99,192000
602,9,0,3,0,6000,0,8,2400,99,240000
602,10,0,3,1,6000,0,8,2880,99,288000
602,11,0,3,2,6000,0,8,3360,99,336000
602,12,0,3,3,6000,0,8,3840,99,384000
602,13,0,3,4,6000,0,8,4320,99,432000
602,14,0,4,0,12000,0,8,4960,99,496000
602,15,0,4,1,12000,0,8,5600,99,560000
