equip_id,name,name1,fuzhi,type,equip_position,quality,equip_attacktype,base_type1,base_value1,base_type2,base_value2,base_type3,base_value3,base_type4,base_value4,base_type5,base_value5,base_type6,base_value6,base_type7,base_value7,camp_addition,camp,icon,intr,shopclass,shopweight,price1,price2,price3,advanceid,t_sign
60110000,粗制铁剑,轻武器1,110,1,1,0,2,2,12,0,0,0,0,0,0,0,0,0,0,99,4440,0,0,elogo60110000.png,没有经过细致打磨的铁剑，但也能够使用。,1,6,5000,120,10,0,0
60110010,皇室短弓,轻武器2,111,1,1,1,2,2,22,19,80,20,20,0,0,0,0,0,0,99,11940,0,0,elogo60110010.png,皇室训练用的短弓，轻便耐用。,2,6,225000,5400,450,0,0
60110020,锋利匕首,轻武器3空,112,1,1,2,2,2,35,19,150,20,50,0,0,0,0,0,0,99,20550,0,0,elogo60110020.png,锋利、轻便、耐用，是冒险者的首选。,3,6,400000,9600,800,0,0
60110021,锋利匕首,轻武器3水,112,1,1,2,2,2,35,19,150,20,50,0,0,0,0,0,0,99,20550,3000,1,elogo60110020.png,锋利、轻便、耐用，是冒险者的首选。,3,1,400000,9600,800,0,0
60110022,锋利匕首,轻武器3火,112,1,1,2,2,2,35,19,150,20,50,0,0,0,0,0,0,99,20550,3000,2,elogo60110020.png,锋利、轻便、耐用，是冒险者的首选。,3,1,400000,9600,800,0,0
60110023,锋利匕首,轻武器3雷,112,1,1,2,2,2,35,19,150,20,50,0,0,0,0,0,0,99,20550,3000,3,elogo60110020.png,锋利、轻便、耐用，是冒险者的首选。,3,1,400000,9600,800,0,0
60110024,锋利匕首,轻武器3土,112,1,1,2,2,2,35,19,150,20,50,0,0,0,0,0,0,99,20550,3000,4,elogo60110020.png,锋利、轻便、耐用，是冒险者的首选。,3,1,400000,9600,800,0,0
60110025,锋利匕首,轻武器3光,112,1,1,2,2,2,35,19,150,20,50,0,0,0,0,0,0,99,20550,3000,5,elogo60110020.png,锋利、轻便、耐用，是冒险者的首选。,3,1,400000,9600,800,0,0
60110026,锋利匕首,轻武器3暗,112,1,1,2,2,2,35,19,150,20,50,0,0,0,0,0,0,99,20550,3000,6,elogo60110020.png,锋利、轻便、耐用，是冒险者的首选。,3,1,400000,9600,800,0,0
60110030,勇士利剑,轻武器4空,113,1,1,3,2,2,105,19,220,20,80,0,0,0,0,0,0,99,50250,0,0,elogo60110030.png,一把极其锋利的剑，勇士们的最爱。,4,6,1140000,27360,2280,0,0
60110031,勇士利剑,轻武器4水,113,1,1,3,2,2,105,19,220,20,80,0,0,0,0,0,0,99,50250,3000,1,elogo60110030.png,一把极其锋利的剑，勇士们的最爱。,4,1,1140000,27360,2280,0,0
60110032,勇士利剑,轻武器4火,113,1,1,3,2,2,105,19,220,20,80,0,0,0,0,0,0,99,50250,3000,2,elogo60110030.png,一把极其锋利的剑，勇士们的最爱。,4,1,1140000,27360,2280,0,0
60110033,勇士利剑,轻武器4雷,113,1,1,3,2,2,105,19,220,20,80,0,0,0,0,0,0,99,50250,3000,3,elogo60110030.png,一把极其锋利的剑，勇士们的最爱。,4,1,1140000,27360,2280,0,0
60110034,勇士利剑,轻武器4土,113,1,1,3,2,2,105,19,220,20,80,0,0,0,0,0,0,99,50250,3000,4,elogo60110030.png,一把极其锋利的剑，勇士们的最爱。,4,1,1140000,27360,2280,0,0
60110035,勇士利剑,轻武器4光,113,1,1,3,2,2,105,19,220,20,80,0,0,0,0,0,0,99,50250,3000,5,elogo60110030.png,一把极其锋利的剑，勇士们的最爱。,4,1,1140000,27360,2280,0,0
60110036,勇士利剑,轻武器4暗,113,1,1,3,2,2,105,19,220,20,80,0,0,0,0,0,0,99,50250,3000,6,elogo60110030.png,一把极其锋利的剑，勇士们的最爱。,4,1,1140000,27360,2280,0,0
60110040,骑士佩剑,轻武器5空,114,1,1,4,2,2,180,19,450,20,180,0,0,0,0,0,0,99,90540,0,0,elogo60110040.png,轻骑士们最常佩戴的长剑。,5,6,2030000,48720,4060,0,0
60110041,骑士佩剑,轻武器5水,114,1,1,4,2,2,180,19,450,20,180,0,0,0,0,0,0,99,90540,3000,1,elogo60110040.png,轻骑士们最常佩戴的长剑。,5,1,2030000,48720,4060,0,0
60110042,骑士佩剑,轻武器5火,114,1,1,4,2,2,180,19,450,20,180,0,0,0,0,0,0,99,90540,3000,2,elogo60110040.png,轻骑士们最常佩戴的长剑。,5,1,2030000,48720,4060,0,0
60110043,骑士佩剑,轻武器5雷,114,1,1,4,2,2,180,19,450,20,180,0,0,0,0,0,0,99,90540,3000,3,elogo60110040.png,轻骑士们最常佩戴的长剑。,5,1,2030000,48720,4060,0,0
60110044,骑士佩剑,轻武器5土,114,1,1,4,2,2,180,19,450,20,180,0,0,0,0,0,0,99,90540,3000,4,elogo60110040.png,轻骑士们最常佩戴的长剑。,5,1,2030000,48720,4060,0,0
60110045,骑士佩剑,轻武器5光,114,1,1,4,2,2,180,19,450,20,180,0,0,0,0,0,0,99,90540,3000,5,elogo60110040.png,轻骑士们最常佩戴的长剑。,5,1,2030000,48720,4060,0,0
60110046,骑士佩剑,轻武器5暗,114,1,1,4,2,2,180,19,450,20,180,0,0,0,0,0,0,99,90540,3000,6,elogo60110040.png,轻骑士们最常佩戴的长剑。,5,1,2030000,48720,4060,0,0
60110050,迅风长剑,轻武器6空,115,1,1,5,2,2,310,19,800,20,250,0,0,0,0,0,0,99,154600,0,0,elogo60110050.png,剑身轻盈，划过空气，声音如同风啸。,6,6,3405000,81720,6810,0,0
60110051,迅风长剑,轻武器6水,115,1,1,5,2,2,310,19,800,20,250,0,0,0,0,0,0,99,154600,3000,1,elogo60110050.png,剑身轻盈，划过空气，声音如同风啸。,6,1,3405000,81720,6810,0,0
