id,quality,attribute,costtime,costnum,change1,weight1,change2,weight2,change3,weight3,change4,weight4,change5,weight5
1,8,1,82000001,1,2,1,3,1,4,1,5,1,6,1
2,8,2,82000001,1,1,1,3,1,4,1,5,1,6,1
3,8,3,82000001,1,1,1,2,1,4,1,5,1,6,1
4,8,4,82000001,1,1,1,2,1,3,1,5,1,6,1
5,8,5,82000001,1,1,1,2,1,3,1,4,1,6,1
6,8,6,82000001,1,1,1,2,1,3,1,4,1,5,1
7,9,1,82000001,1,2,1,3,1,4,1,5,1,6,1
8,9,2,82000001,1,1,1,3,1,4,1,5,1,6,1
9,9,3,82000001,1,1,1,2,1,4,1,5,1,6,1
10,9,4,82000001,1,1,1,2,1,3,1,5,1,6,1
11,9,5,82000001,1,1,1,2,1,3,1,4,1,6,1
12,9,6,82000001,1,1,1,2,1,3,1,4,1,5,1
13,10,1,82000001,1,2,1,3,1,4,1,5,1,6,1
14,10,2,82000001,1,1,1,3,1,4,1,5,1,6,1
15,10,3,82000001,1,1,1,2,1,4,1,5,1,6,1
16,10,4,82000001,1,1,1,2,1,3,1,5,1,6,1
17,10,5,82000001,1,1,1,2,1,3,1,4,1,6,1
18,10,6,82000001,1,1,1,2,1,3,1,4,1,5,1
