id,type,equip_position,quality,lv,vaual1,vaual2,vaual3,vaual4,vaual5,vaual6,vaual7,fuzhi
1,1,1,2,1,3,15,5,0,0,0,2055,112
2,1,1,2,2,7,30,10,0,0,0,4110,112
3,1,1,2,3,10,45,15,0,0,0,6165,112
4,1,1,3,1,10,22,8,0,0,0,5025,113
5,1,1,3,2,21,44,16,0,0,0,10050,113
6,1,1,3,3,31,66,24,0,0,0,15075,113
7,1,1,4,1,18,45,18,0,0,0,9054,114
8,1,1,4,2,36,90,36,0,0,0,18108,114
9,1,1,4,3,54,135,54,0,0,0,27162,114
10,1,1,4,4,72,180,72,0,0,0,36216,114
11,1,1,5,1,31,80,25,0,0,0,15460,115
12,1,1,5,2,62,160,50,0,0,0,30920,115
13,1,1,5,3,93,240,75,0,0,0,46380,115
14,1,1,5,4,124,320,100,0,0,0,61840,115
15,1,1,6,1,56,120,50,0,0,0,27180,116
16,1,1,6,2,112,240,100,0,0,0,54360,116
17,1,1,6,3,168,360,150,0,0,0,81540,116
18,1,1,6,4,224,480,200,0,0,0,108720,116
19,1,1,6,5,280,600,250,0,0,0,135900,116
20,1,1,7,1,105,160,60,0,0,0,47400,117
21,1,1,7,2,210,320,120,0,0,0,94800,117
22,1,1,7,3,315,480,180,0,0,0,142200,117
23,1,1,7,4,420,640,240,0,0,0,189600,117
24,1,1,7,5,525,800,300,0,0,0,237000,117
25,1,1,8,1,180,200,85,0,0,0,77886,118
26,1,1,8,2,360,400,170,0,0,0,155772,118
27,1,1,8,3,540,600,255,0,0,0,233658,118
28,1,1,8,4,720,800,340,0,0,0,311544,118
29,1,1,8,5,900,1000,425,0,0,0,389430,118
30,1,1,9,1,270,100,220,100,0,0,158500,119
31,1,1,9,2,540,200,440,200,0,0,317000,119
32,1,1,9,3,810,300,660,300,0,0,475500,119
33,1,1,9,4,1080,400,880,400,0,0,634000,119
34,1,1,9,5,1350,500,1100,500,0,0,792500,119
35,1,1,10,1,600,180,270,130,0,0,320440,1110
36,1,1,10,2,1200,360,540,260,0,0,640880,1110
37,1,1,10,3,1800,540,810,390,0,0,961320,1110
38,1,1,10,4,2400,720,1080,520,0,0,1281760,1110
39,1,1,10,5,3000,900,1350,650,0,0,1602200,1110
40,2,1,2,1,4,0,8,0,0,0,2060,212
41,2,1,2,2,8,1,16,0,0,0,4120,212
42,2,1,2,3,12,1,24,0,0,0,6180,212
43,2,1,3,1,10,1,14,0,0,0,5060,213
44,2,1,3,2,20,3,28,0,0,0,10120,213
45,2,1,3,3,30,5,42,0,0,0,15180,213
46,2,1,4,1,17,3,25,0,0,0,9035,214
47,2,1,4,2,35,7,50,0,0,0,18070,214
48,2,1,4,3,52,10,75,0,0,0,27105,214
49,2,1,4,4,70,14,100,0,0,0,36140,214
50,2,1,5,1,32,5,30,0,0,0,15510,215
51,2,1,5,2,64,11,60,0,0,0,31020,215
52,2,1,5,3,96,16,90,0,0,0,46530,215
53,2,1,5,4,128,22,120,0,0,0,62040,215
54,2,1,6,1,57,9,60,0,0,0,27510,216
55,2,1,6,2,114,18,120,0,0,0,55020,216
56,2,1,6,3,171,27,180,0,0,0,82530,216
57,2,1,6,4,228,36,240,0,0,0,110040,216
58,2,1,6,5,285,45,300,0,0,0,137550,216
59,2,1,7,1,98,13,80,50,0,0,47530,217
60,2,1,7,2,196,26,160,100,0,0,95060,217
61,2,1,7,3,294,39,240,150,0,0,142590,217
62,2,1,7,4,392,52,320,200,0,0,190120,217
63,2,1,7,5,490,65,400,250,0,0,237650,217
64,2,1,8,1,165,15,100,120,0,0,77110,218
65,2,1,8,2,330,30,200,240,0,0,154220,218
66,2,1,8,3,495,45,300,360,0,0,231330,218
67,2,1,8,4,660,60,400,480,0,0,308440,218
68,2,1,8,5,825,75,500,600,0,0,385550,218
69,2,1,9,1,210,150,150,130,0,0,158230,219
70,2,1,9,2,420,300,300,260,0,0,316460,219
71,2,1,9,3,630,450,450,390,0,0,474690,219
72,2,1,9,4,840,600,600,520,0,0,632920,219
73,2,1,9,5,1050,750,750,650,0,0,791150,219
74,2,1,10,1,550,200,200,140,0,0,309380,2110
75,2,1,10,2,1100,400,400,280,0,0,618760,2110
76,2,1,10,3,1650,600,600,420,0,0,928140,2110
77,2,1,10,4,2200,800,800,560,0,0,1237520,2110
78,2,1,10,5,2750,1000,1000,700,0,0,1546900,2110
79,3,1,2,1,5,0,0,0,0,0,2035,312
80,3,1,2,2,11,0,0,0,0,0,4070,312
81,3,1,2,3,16,0,0,0,0,0,6105,312
82,3,1,3,1,12,1,0,0,0,0,5038,313
83,3,1,3,2,24,2,0,0,0,0,10076,313
84,3,1,3,3,36,3,0,0,0,0,15114,313
85,3,1,4,1,16,40,0,0,0,0,9065,314
86,3,1,4,2,33,80,0,0,0,0,18130,314
87,3,1,4,3,49,120,0,0,0,0,27195,314
88,3,1,4,4,66,160,0,0,0,0,36260,314
89,3,1,5,1,26,80,0,0,0,0,15540,315
90,3,1,5,2,52,160,0,0,0,0,31080,315
91,3,1,5,3,78,240,0,0,0,0,46620,315
92,3,1,5,4,104,320,0,0,0,0,62160,315
93,3,1,6,1,50,120,0,0,0,0,27380,316
94,3,1,6,2,100,240,0,0,0,0,54760,316
95,3,1,6,3,150,360,0,0,0,0,82140,316
96,3,1,6,4,200,480,0,0,0,0,109520,316
97,3,1,6,5,250,600,0,0,0,0,136900,316
98,3,1,7,1,90,160,50,0,0,0,47390,317
99,3,1,7,2,180,320,100,0,0,0,94780,317
100,3,1,7,3,270,480,150,0,0,0,142170,317
101,3,1,7,4,360,640,200,0,0,0,189560,317
102,3,1,7,5,450,800,250,0,0,0,236950,317
103,3,1,8,1,150,240,120,0,0,0,78660,318
104,3,1,8,2,300,480,240,0,0,0,157320,318
105,3,1,8,3,450,720,360,0,0,0,235980,318
106,3,1,8,4,600,960,480,0,0,0,314640,318
107,3,1,8,5,750,1200,600,0,0,0,393300,318
108,3,1,9,1,350,240,50,130,0,0,155000,319
109,3,1,9,2,700,480,100,260,0,0,310000,319
110,3,1,9,3,1050,720,150,390,0,0,465000,319
111,3,1,9,4,1400,960,200,520,0,0,620000,319
112,3,1,9,5,1750,1200,250,650,0,0,775000,319
113,3,1,10,1,750,240,90,140,0,0,304940,3110
114,3,1,10,2,1500,480,180,280,0,0,609880,3110
115,3,1,10,3,2250,720,270,420,0,0,914820,3110
116,3,1,10,4,3000,960,360,560,0,0,1219760,3110
117,3,1,10,5,3750,1200,450,700,0,0,1524700,3110
118,4,2,2,1,45,2,5,0,0,0,2015,422
119,4,2,2,2,90,5,10,0,0,0,4030,422
120,4,2,2,3,135,7,15,0,0,0,6045,422
121,4,2,3,1,130,5,15,0,0,0,5020,423
122,4,2,3,2,260,10,30,0,0,0,10040,423
123,4,2,3,3,390,15,45,0,0,0,15060,423
124,4,2,4,1,220,11,15,0,0,0,9040,424
125,4,2,4,2,440,22,30,0,0,0,18080,424
126,4,2,4,3,660,33,45,0,0,0,27120,424
127,4,2,4,4,880,44,60,0,0,0,36160,424
128,4,2,5,1,370,15,20,20,0,0,21266,425
129,4,2,5,2,740,30,40,40,0,0,42532,425
130,4,2,5,3,1110,45,60,60,0,0,63798,425
131,4,2,5,4,1480,60,80,80,0,0,85064,425
132,4,2,6,1,520,37,30,25,0,0,27260,426
133,4,2,6,2,1040,74,60,50,0,0,54520,426
134,4,2,6,3,1560,111,90,75,0,0,81780,426
135,4,2,6,4,2080,148,120,100,0,0,109040,426
136,4,2,6,5,2600,185,150,125,0,0,136300,426
137,4,2,7,1,1100,57,40,30,0,0,47190,427
138,4,2,7,2,2200,114,80,60,0,0,94380,427
139,4,2,7,3,3300,171,120,90,0,0,141570,427
140,4,2,7,4,4400,228,160,120,0,0,188760,427
141,4,2,7,5,5500,285,200,150,0,0,235950,427
142,4,2,8,1,1850,95,50,40,0,0,77370,428
143,4,2,8,2,3700,190,100,80,0,0,154740,428
144,4,2,8,3,5550,285,150,120,0,0,232110,428
145,4,2,8,4,7400,380,200,160,0,0,309480,428
146,4,2,8,5,9250,475,250,200,0,0,386850,428
147,4,2,9,1,3650,150,60,50,50,0,161660,429
148,4,2,9,2,7300,300,120,100,100,0,323320,429
149,4,2,9,3,10950,450,180,150,150,0,484980,429
150,4,2,9,4,14600,600,240,200,200,0,646640,429
151,4,2,9,5,18250,750,300,250,250,0,808300,429
152,4,2,10,1,7500,320,100,50,50,0,320000,4210
153,4,2,10,2,15000,640,200,100,100,0,640000,4210
154,4,2,10,3,22500,960,300,150,150,0,960000,4210
155,4,2,10,4,30000,1280,400,200,200,0,1280000,4210
156,4,2,10,5,37500,1600,500,250,250,0,1600000,4210
157,5,2,2,1,30,4,0,0,0,0,2080,522
158,5,2,2,2,60,8,0,0,0,0,4160,522
159,5,2,2,3,90,12,0,0,0,0,6240,522
160,5,2,3,1,70,8,1,0,0,0,5005,523
161,5,2,3,2,140,17,2,0,0,0,10010,523
162,5,2,3,3,210,25,3,0,0,0,15015,523
163,5,2,4,1,140,12,4,0,0,0,9080,524
164,5,2,4,2,280,24,8,0,0,0,18160,524
165,5,2,4,3,420,36,12,0,0,0,27240,524
166,5,2,4,4,560,48,16,0,0,0,36320,524
167,5,2,5,1,220,20,4,20,0,0,15120,525
168,5,2,5,2,440,40,8,40,0,0,30240,525
169,5,2,5,3,660,60,12,60,0,0,45360,525
170,5,2,5,4,880,80,16,80,0,0,60480,525
171,5,2,6,1,350,40,7,30,0,0,27240,526
172,5,2,6,2,700,80,14,60,0,0,54480,526
173,5,2,6,3,1050,120,21,90,0,0,81720,526
174,5,2,6,4,1400,160,28,120,0,0,108960,526
175,5,2,6,5,1750,200,35,150,0,0,136200,526
176,5,2,7,1,660,75,7,40,0,0,47360,527
177,5,2,7,2,1320,150,15,80,0,0,94720,527
178,5,2,7,3,1980,225,22,120,0,0,142080,527
179,5,2,7,4,2640,300,30,160,0,0,189440,527
180,5,2,7,5,3300,375,37,200,0,0,236800,527
181,5,2,8,1,1400,110,12,50,0,0,77920,528
182,5,2,8,2,2800,220,24,100,0,0,155840,528
183,5,2,8,3,4200,330,36,150,0,0,233760,528
184,5,2,8,4,5600,440,48,200,0,0,311680,528
185,5,2,8,5,7000,550,60,250,0,0,389600,528
186,5,2,9,1,2800,200,40,50,0,0,152050,529
187,5,2,9,2,5600,400,80,100,0,0,304100,529
188,5,2,9,3,8400,600,120,150,0,0,456150,529
189,5,2,9,4,11200,800,160,200,0,0,608200,529
190,5,2,9,5,14000,1000,200,250,0,0,760250,529
191,5,2,10,1,6000,400,100,50,0,0,317660,5210
192,5,2,10,2,12000,800,200,100,0,0,635320,5210
193,5,2,10,3,18000,1200,300,150,0,0,952980,5210
194,5,2,10,4,24000,1600,400,200,0,0,1270640,5210
195,5,2,10,5,30000,2000,500,250,0,0,1588300,5210
196,6,2,2,1,28,2,20,0,0,0,2060,622
197,6,2,2,2,56,4,40,0,0,0,4120,622
198,6,2,2,3,84,6,60,0,0,0,6180,622
199,6,2,3,1,65,7,30,0,0,0,5030,623
200,6,2,3,2,130,14,60,0,0,0,10060,623
201,6,2,3,3,195,21,90,0,0,0,15090,623
202,6,2,4,1,135,13,40,0,0,0,9030,624
203,6,2,4,2,270,26,80,0,0,0,18060,624
204,6,2,4,3,405,39,120,0,0,0,27090,624
205,6,2,4,4,540,52,160,0,0,0,36120,624
206,6,2,5,1,200,20,5,40,0,0,15220,625
207,6,2,5,2,400,40,10,80,0,0,30440,625
208,6,2,5,3,600,60,15,120,0,0,45660,625
209,6,2,5,4,800,80,20,160,0,0,60880,625
210,6,2,6,1,310,42,8,50,0,0,27320,626
211,6,2,6,2,620,84,16,100,0,0,54640,626
212,6,2,6,3,930,126,24,150,0,0,81960,626
213,6,2,6,4,1240,168,32,200,0,0,109280,626
214,6,2,6,5,1550,210,40,250,0,0,136600,626
215,6,2,7,1,660,73,11,55,0,0,47360,627
216,6,2,7,2,1320,146,22,110,0,0,94720,627
217,6,2,7,3,1980,219,33,165,0,0,142080,627
218,6,2,7,4,2640,292,44,220,0,0,189440,627
219,6,2,7,5,3300,365,55,275,0,0,236800,627
220,6,2,8,1,1100,130,11,60,0,0,77440,628
221,6,2,8,2,2200,260,22,120,0,0,154880,628
