index,quality,intr,lv,strengthenlvexp,strengthenexp
1,0,粗糙,0,0,10
2,1,普通,0,0,40
3,2,稀有,0,0,100
4,2,稀有,1,600,160
5,2,稀有,2,1200,280
6,2,稀有,3,1800,460
7,3,稀有+,0,0,240
8,3,稀有+,1,2000,440
9,3,稀有+,2,4000,840
10,3,稀有+,3,6000,1440
11,4,精英,0,0,500
12,4,精英,1,5000,1000
13,4,精英,2,10000,2000
14,4,精英,3,15000,3500
15,4,精英,4,18000,5300
16,5,精英+,0,0,1000
17,5,精英+,1,10000,2000
18,5,精英+,2,20000,4000
19,5,精英+,3,30000,7000
20,5,精英+,4,50000,12000
21,6,史诗,0,0,2000
22,6,史诗,1,20000,4000
23,6,史诗,2,40000,8000
24,6,史诗,3,60000,14000
25,6,史诗,4,100000,24000
26,6,史诗,5,135000,37500
27,7,史诗+,0,0,4000
28,7,史诗+,1,40000,8000
29,7,史诗+,2,80000,16000
30,7,史诗+,3,120000,28000
31,7,史诗+,4,200000,48000
32,7,史诗+,5,360000,84000
33,8,传说,0,0,8000
34,8,传说,1,80000,16000
35,8,传说,2,160000,32000
36,8,传说,3,240000,56000
37,8,传说,4,400000,96000
38,8,传说,5,720000,168000
39,9,T1,0,0,0
40,9,T1,1,80000,0
41,9,T1,2,160000,0
42,9,T1,3,240000,0
43,9,T1,4,400000,0
44,9,T1,5,720000,0
45,10,T2,0,0,0
46,10,T2,1,80000,0
47,10,T2,2,160000,0
48,10,T2,3,240000,0
49,10,T2,4,400000,0
50,10,T2,5,720000,0
