id,group,order,chance,index,base_type1,base_value1,base_type2,base_value2,value_min,value_max
1000001,10001,1,1,2,6,1000,99,500,1000,1500
1000002,10001,2,1,2,6,1050,99,525,1000,1500
1000003,10001,3,1,2,6,1100,99,550,1000,1500
1000004,10002,1,1,2,8,100,99,500,100,150
1000005,10002,2,1,2,8,105,99,525,100,150
1000006,10002,3,1,2,8,110,99,550,100,150
1000007,10003,1,1,2,10,100,99,500,100,150
1000008,10003,2,1,2,10,105,99,525,100,150
1000009,10003,3,1,2,10,110,99,550,100,150
1000010,10004,1,1,2,30,100,99,500,100,150
1000011,10004,2,1,2,30,105,99,525,100,150
1000012,10004,3,1,2,30,110,99,550,100,150
1000013,10101,1,1,2,7,100,99,500,100,150
1000014,10101,2,1,2,7,105,99,525,100,150
1000015,10101,3,1,2,7,110,99,550,100,150
1000016,10102,1,1,2,9,100,99,500,100,150
1000017,10102,2,1,2,9,105,99,525,100,150
1000018,10102,3,1,2,9,110,99,550,100,150
1000019,10103,1,1,2,29,100,99,500,100,150
1000020,10103,2,1,2,29,105,99,525,100,150
1000021,10103,3,1,2,29,110,99,550,100,150
1000022,11001,1,1,3,6,1150,99,575,1000,1500
1000023,11001,2,1,3,6,1200,99,600,1000,1500
1000024,11001,3,1,3,6,1250,99,625,1000,1500
1000025,11002,1,1,3,8,115,99,575,100,150
1000026,11002,2,1,3,8,120,99,600,100,150
1000027,11002,3,1,3,8,125,99,625,100,150
1000028,11003,1,1,3,10,115,99,575,100,150
1000029,11003,2,1,3,10,120,99,600,100,150
1000030,11003,3,1,3,10,125,99,625,100,150
1000031,11004,1,1,3,30,115,99,575,100,150
1000032,11004,2,1,3,30,120,99,600,100,150
1000033,11004,3,1,3,30,125,99,625,100,150
1000034,11101,1,1,3,7,115,99,575,100,150
1000035,11101,2,1,3,7,120,99,600,100,150
1000036,11101,3,1,3,7,125,99,625,100,150
1000037,11102,1,1,3,9,115,99,575,100,150
1000038,11102,2,1,3,9,120,99,600,100,150
1000039,11102,3,1,3,9,125,99,625,100,150
1000040,11103,1,1,3,29,115,99,575,100,150
1000041,11103,2,1,3,29,120,99,600,100,150
1000042,11103,3,1,3,29,125,99,625,100,150
1000043,12001,1,1,4,6,1300,99,650,1000,1500
1000044,12001,2,1,4,6,1400,99,700,1000,1500
1000045,12001,3,1,4,6,1500,99,750,1000,1500
1000046,12002,1,1,4,8,130,99,650,100,150
1000047,12002,2,1,4,8,140,99,700,100,150
1000048,12002,3,1,4,8,150,99,750,100,150
1000049,12003,1,1,4,10,130,99,650,100,150
1000050,12003,2,1,4,10,140,99,700,100,150
1000051,12003,3,1,4,10,150,99,750,100,150
1000052,12004,1,1,4,30,130,99,650,100,150
1000053,12004,2,1,4,30,140,99,700,100,150
1000054,12004,3,1,4,30,150,99,750,100,150
1000055,12101,1,1,4,7,130,99,650,100,150
1000056,12101,2,1,4,7,140,99,700,100,150
1000057,12101,3,1,4,7,150,99,750,100,150
1000058,12102,1,1,4,9,130,99,650,100,150
1000059,12102,2,1,4,9,140,99,700,100,150
1000060,12102,3,1,4,9,150,99,750,100,150
1000061,12103,1,1,4,29,130,99,650,100,150
1000062,12103,2,1,4,29,140,99,700,100,150
1000063,12103,3,1,4,29,150,99,750,100,150
