id,group,order,name,chance,index,base_type1,base_value1,base_txt1,base_type2,base_value2,base_txt2,base_type3,base_value3,base_txt3,base_type4,base_value4,base_txt4,base_type5,base_value5,base_txt5,base_type6,base_value6,base_txt6
1000001,20001,1,体魄,3,2,106,250,生命总量增加2.5%,99,1250,0,0,0,0,0,0,0,0,0,0,0,0,0
1000002,20001,2,体魄,3,2,106,300,生命总量增加3%,99,1500,0,0,0,0,0,0,0,0,0,0,0,0,0
1000003,20001,3,体魄,3,3,106,350,生命总量增加3.5%,99,1750,0,0,0,0,0,0,0,0,0,0,0,0,0
1000004,20001,4,体魄,3,3,106,400,生命总量增加4%,99,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
1000005,20001,5,韧性,3,2,108,125,物理防御增加1.25%,99,1250,0,0,0,0,0,0,0,0,0,0,0,0,0
1000006,20001,6,韧性,3,2,108,150,物理防御增加1.5%,99,1500,0,0,0,0,0,0,0,0,0,0,0,0,0
1000007,20001,7,韧性,3,3,108,175,物理防御增加1.75%,99,1750,0,0,0,0,0,0,0,0,0,0,0,0,0
1000008,20001,8,韧性,3,3,108,200,物理防御增加2%,99,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
1000009,20001,9,抗性,3,2,110,125,魔法防御增加1.25%,99,1250,0,0,0,0,0,0,0,0,0,0,0,0,0
1000010,20001,10,抗性,3,2,110,150,魔法防御增加1.5%,99,1500,0,0,0,0,0,0,0,0,0,0,0,0,0
1000011,20001,11,抗性,3,3,110,175,魔法防御增加1.75%,99,1750,0,0,0,0,0,0,0,0,0,0,0,0,0
1000012,20001,12,抗性,3,3,110,200,魔法防御增加2%,99,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
1000013,20001,13,心性,3,2,130,125,神术防御增加1.25%,99,1250,0,0,0,0,0,0,0,0,0,0,0,0,0
1000014,20001,14,心性,3,2,130,150,神术防御增加1.5%,99,1500,0,0,0,0,0,0,0,0,0,0,0,0,0
1000015,20001,15,心性,3,3,130,175,神术防御增加1.75%,99,1750,0,0,0,0,0,0,0,0,0,0,0,0,0
1000016,20001,16,心性,3,3,130,200,神术防御增加2%,99,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
1000017,20001,17,敏捷,1,2,14,125,闪避概率增加1.25%,99,1250,0,0,0,0,0,0,0,0,0,0,0,0,0
1000018,20001,18,敏捷,1,2,14,150,闪避概率增加1.5%,99,1500,0,0,0,0,0,0,0,0,0,0,0,0,0
1000019,20001,19,敏捷,1,3,14,175,闪避概率增加1.75%,99,1750,0,0,0,0,0,0,0,0,0,0,0,0,0
1000020,20001,20,敏捷,1,3,14,200,闪避概率增加2%,99,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
1000021,20001,21,技巧,1,2,15,125,格挡概率增加1.25%,99,1250,0,0,0,0,0,0,0,0,0,0,0,0,0
1000022,20001,22,技巧,1,2,15,150,格挡概率增加1.5%,99,1500,0,0,0,0,0,0,0,0,0,0,0,0,0
1000023,20001,23,技巧,1,3,15,175,格挡概率增加1.75%,99,1750,0,0,0,0,0,0,0,0,0,0,0,0,0
1000024,20001,24,技巧,1,3,15,200,格挡概率增加2%,99,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
1000025,20001,25,韧性,1,2,23,125,物理减伤增加1.25%,99,1250,0,0,0,0,0,0,0,0,0,0,0,0,0
1000026,20001,26,韧性,1,2,23,150,物理减伤增加1.5%,99,1500,0,0,0,0,0,0,0,0,0,0,0,0,0
1000027,20001,27,韧性,1,3,23,175,物理减伤增加1.75%,99,1750,0,0,0,0,0,0,0,0,0,0,0,0,0
1000028,20001,28,韧性,1,3,23,200,物理减伤增加2%,99,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
1000029,20001,29,抗性,1,2,24,125,魔法减伤增加1.25%,99,1250,0,0,0,0,0,0,0,0,0,0,0,0,0
1000030,20001,30,抗性,1,2,24,150,魔法减伤增加1.5%,99,1500,0,0,0,0,0,0,0,0,0,0,0,0,0
1000031,20001,31,抗性,1,3,24,175,魔法减伤增加1.75%,99,1750,0,0,0,0,0,0,0,0,0,0,0,0,0
1000032,20001,32,抗性,1,3,24,200,魔法减伤增加2%,99,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
1000033,20001,33,心性,1,2,74,125,神术减伤增加1.25%,99,1250,0,0,0,0,0,0,0,0,0,0,0,0,0
