value_group,type,group1,chance1,group2,chance2,group3,chance3,group4,chance4,group5,chance5
1000111,1,10101,10000,10001,10000,0,0,0,0,0,0
1000121,1,10002,10000,10001,10000,0,0,0,0,0,0
1000131,1,10101,10000,10004,10000,0,0,0,0,0,0
1000141,1,10003,10000,10001,10000,0,0,0,0,0,0
1000112,1,11101,10000,11001,10000,0,0,0,0,0,0
1000122,1,11002,10000,11001,10000,0,0,0,0,0,0
1000132,1,11101,10000,11004,10000,0,0,0,0,0,0
1000142,1,11003,10000,11001,10000,0,0,0,0,0,0
1000113,1,12101,10000,12001,10000,0,0,0,0,0,0
1000123,1,12002,10000,12001,10000,0,0,0,0,0,0
1000133,1,12101,10000,12004,10000,0,0,0,0,0,0
1000143,1,12003,10000,12001,10000,0,0,0,0,0,0
1100111,1,10102,10000,10001,10000,0,0,0,0,0,0
1100121,1,10002,10000,10001,10000,0,0,0,0,0,0
1100131,1,10102,10000,10004,10000,0,0,0,0,0,0
1100141,1,10003,10000,10001,10000,0,0,0,0,0,0
1100112,1,11102,10000,11001,10000,0,0,0,0,0,0
1100122,1,11002,10000,11001,10000,0,0,0,0,0,0
1100132,1,11102,10000,11004,10000,0,0,0,0,0,0
1100142,1,11003,10000,11001,10000,0,0,0,0,0,0
1100113,1,12102,10000,12001,10000,0,0,0,0,0,0
1100123,1,12002,10000,12001,10000,0,0,0,0,0,0
1100133,1,12102,10000,12004,10000,0,0,0,0,0,0
1100143,1,12003,10000,12001,10000,0,0,0,0,0,0
1200111,1,10103,10000,10001,10000,0,0,0,0,0,0
1200121,1,10002,10000,10001,10000,0,0,0,0,0,0
1200131,1,10103,10000,10004,10000,0,0,0,0,0,0
1200141,1,10003,10000,10001,10000,0,0,0,0,0,0
1200112,1,11103,10000,11001,10000,0,0,0,0,0,0
1200122,1,11002,10000,11001,10000,0,0,0,0,0,0
1200132,1,11103,10000,11004,10000,0,0,0,0,0,0
1200142,1,11003,10000,11001,10000,0,0,0,0,0,0
1200113,1,12103,10000,12001,10000,0,0,0,0,0,0
1200123,1,12002,10000,12001,10000,0,0,0,0,0,0
1200133,1,12103,10000,12004,10000,0,0,0,0,0,0
1200143,1,12003,10000,12001,10000,0,0,0,0,0,0
2000111,2,20101,10000,20101,5000,0,0,0,0,0,0
2000121,2,20001,10000,20001,5000,0,0,0,0,0,0
2000131,2,20101,10000,20101,5000,0,0,0,0,0,0
2000141,2,20001,10000,20001,5000,0,0,0,0,0,0
2000112,2,21101,10000,21101,7500,21101,5000,0,0,0,0
2000122,2,21001,10000,21001,7500,21001,5000,0,0,0,0
2000132,2,21101,10000,21101,7500,21101,5000,0,0,0,0
2000142,2,21001,10000,21001,7500,21001,5000,0,0,0,0
2000113,2,22101,10000,22101,10000,22101,7500,22101,5000,22101,5000
2000123,2,22001,10000,22001,10000,22001,7500,22001,5000,22001,5000
2000133,2,22101,10000,22101,10000,22101,7500,22101,5000,22101,5000
2000143,2,22001,10000,22001,10000,22001,7500,22001,5000,22001,5000
2100111,2,20201,10000,20201,5000,0,0,0,0,0,0
2100121,2,20001,10000,20001,5000,0,0,0,0,0,0
2100131,2,20201,10000,20201,5000,0,0,0,0,0,0
2100141,2,20001,10000,20001,5000,0,0,0,0,0,0
2100112,2,21201,10000,21201,7500,21201,5000,0,0,0,0
2100122,2,21001,10000,21001,7500,21001,5000,0,0,0,0
2100132,2,21201,10000,21201,7500,21201,5000,0,0,0,0
2100142,2,21001,10000,21001,7500,21001,5000,0,0,0,0
2100113,2,22201,10000,22201,10000,22201,7500,22201,5000,22201,5000
2100123,2,22001,10000,22001,10000,22001,7500,22001,5000,22001,5000
2100133,2,22201,10000,22201,10000,22201,7500,22201,5000,22201,5000
2100143,2,22001,10000,22001,10000,22001,7500,22001,5000,22001,5000
2200111,2,20301,10000,20301,5000,0,0,0,0,0,0
2200121,2,20001,10000,20001,5000,0,0,0,0,0,0
2200131,2,20301,10000,20301,5000,0,0,0,0,0,0
2200141,2,20001,10000,20001,5000,0,0,0,0,0,0
2200112,2,21301,10000,21301,7500,21301,5000,0,0,0,0
2200122,2,21001,10000,21001,7500,21001,5000,0,0,0,0
2200132,2,21301,10000,21301,7500,21301,5000,0,0,0,0
2200142,2,21001,10000,21001,7500,21001,5000,0,0,0,0
2200113,2,22301,10000,22301,10000,22301,7500,22301,5000,22301,5000
2200123,2,22001,10000,22001,10000,22001,7500,22001,5000,22001,5000
2200133,2,22301,10000,22301,10000,22301,7500,22301,5000,22301,5000
2200143,2,22001,10000,22001,10000,22001,7500,22001,5000,22001,5000
