id,name,name1,relevanceheroid,star,base_type1,base_value1,base_type2,base_value2,base_type3,base_value3,base_type4,base_value4,base_type5,base_value5,icon,sp,img,intr,skill,activeneed,activenum
105001,降魔利刃,天罚之刃：阿塔利亚,5001,4,501,69,20,50,502,69,25,300,99,200000,ex_icon_5001.png,sp,exclusive_5001.png,她的利刃绝不会放过任何罪恶，守护真正的正义。,92500101,40000003,60
105002,日月之饰,双生星灵：伊莱亚莱拉,5002,4,501,81,503,81,502,69,37,300,99,200000,ex_icon_5002.png,sp,exclusive_5002.png,相传是蕴含造物之神力量的饰品。,92500201,40000003,60
105003,光辉长枪,永恒时针：奥瑟鲁斯,5003,4,501,69,503,91,502,81,19,100,99,200000,ex_icon_5003.png,sp,exclusive_5003.png,长枪中的力量强大到能够逆转时间。,92500301,40000003,60
105004,圣焰之翼,焚列圣炎：米迦勒,5004,4,501,57,6,300,502,91,21,-100,99,200000,ex_icon_5004.png,sp,exclusive_5004.png,灼热的心，不朽的意志。,92500401,40000003,60
105005,比那卡,轮回之主：湿婆,5005,4,501,61,503,88,502,64,6,300,99,200000,ex_icon_5005.png,sp,exclusive_5005.png,以闪电之名，普度众生。,92500501,40000003,60
105006,雷霆,宙斯,5006,4,501,61,503,88,502,64,6,300,99,200000,ex_icon_5006.png,sp,exclusive_5006.png,独眼巨人制造的雷霆。,92500601,40000003,60
105007,金箍棒,齐天大圣：孙悟空,5007,4,501,57,503,81,502,81,19,150,99,200000,ex_icon_5007.png,sp,exclusive_5007.png,棒打凌霄阁，魂断九天上！,92500701,40000003,60
106001,焚灭之尾,摄魂恐魔：埃兹,6001,4,501,103,503,115,502,44,19,200,99,200000,ex_icon_6001.png,sp,exclusive_6001.png,从暗影中诞生的防具。,92600101,40000003,60
106002,真视宝珠,诡惑女王：梅希拉,6002,4,501,57,503,125,502,57,25,300,99,200000,ex_icon_6002.png,sp,exclusive_6002.png,千万不要凝视这个宝珠，你会被拖入深渊。,92600201,40000003,60
106003,逆时法杖,时之魇：佐拉斯,6003,4,501,81,6,200,502,69,20,150,99,200000,ex_icon_6003.png,sp,exclusive_6003.png,拥有倒流时间的力量。,92600301,40000003,60
106004,缺失,缺失,6004,4,501,53,6,300,502,98,0,0,99,200000,ex_icon_6004.png,sp,exclusive_6004.png,散发着寒气的神石。,92600401,40000003,60
106005,缺失,缺失,6005,4,501,103,503,81,502,29,36,300,99,200000,ex_icon_6005.png,sp,exclusive_6005.png,从暗影中诞生的武器。,92600501,40000003,60
106006,缺失,缺失,6006,4,501,53,6,300,502,98,0,0,99,200000,ex_icon_6006.png,sp,exclusive_6006.png,散发着寒气的神石。,92600601,40000003,60
106007,坚冰之石,深寒之拥：寇扎德,6007,4,501,53,6,300,502,98,0,0,99,200000,ex_icon_6007.png,sp,exclusive_6007.png,腐化之冰，寒冷得不可触及。,92600701,40000003,60
106008,暗影利刃,饥饿之噬：墨佐斯,6008,4,501,103,503,81,502,29,36,300,99,200000,ex_icon_6008.png,sp,exclusive_6008.png,对魔鬼而言，这既是武器，也是餐具。,92600801,40000003,60
106009,虎头锤,护卫神猴：哈奴曼,6009,4,501,103,503,81,502,29,36,300,99,200000,ex_icon_6009.png,sp,exclusive_6009.png,虎头如意棍，棍不霸气，那就叫锤好了。,92600901,40000003,60
101001,怒涛战旗,无畏之锋：爱丝特瑞达,1001,4,501,88,19,200,502,49,0,0,99,200000,ex_icon_1001.png,sp,exclusive_1001.png,象征帝国荣耀的战旗，它能鼓舞士气。,92100101,40000003,60
101002,水占王冠,耀光祭祀：贝琳达,1002,4,501,59,503,59,502,39,6,500,99,200000,ex_icon_1002.png,sp,exclusive_1002.png,蕴含着水之魔力的王冠。,92100201,40000003,60
101003,秘银护肩,送葬者：弗克斯,1003,4,501,68,503,68,502,49,20,150,99,200000,ex_icon_1003.png,sp,exclusive_1003.png,由秘银打造的护肩似乎拥有强大的力量。,92100301,40000003,60
101004,精准之饰,赏金猎人：雷恩,1004,4,501,68,503,59,502,39,21,-300,99,200000,ex_icon_1004.png,sp,exclusive_1004.png,玛祖凯特带上它似乎能获得神奇的能力,92100401,40000003,60
101005,圣光王冠,耀光之盾：卢修斯,1005,4,501,78,503,68,502,49,21,-100,99,200000,ex_icon_1005.png,sp,exclusive_1005.png,拥有圣光力量的头饰，能守护佩戴它的人。,92100501,40000003,60
101006,怒涛之影,剑刃舞者：瑟恩,1006,4,501,39,6,300,502,59,20,100,99,200000,ex_icon_1006.png,sp,exclusive_1006.png,如同幻影一般。,92100601,40000003,60
101007,光辉守护,坚韧铁卫：亨德里克,1007,4,501,107,19,150,503,97,0,0,99,200000,ex_icon_1007.png,sp,exclusive_1007.png,这就是象征着帝国壁垒的武器。,92100701,40000003,60
101008,光佑之杖,旅行商人：罗万,1008,4,501,68,20,200,502,49,0,0,99,200000,ex_icon_1008.png,sp,exclusive_1008.png,据说被赋予了神的力量。,92100801,40000003,60
101009,聚魔神箭,狩龙射手：格温妮丝,1009,4,501,30,19,150,502,78,21,-100,99,200000,ex_icon_1009.png,sp,exclusive_1009.png,能汇聚魔力给予敌人强力的一击。,92100901,40000003,60
101010,创造之书,赋灵侍女：罗莎琳,1010,4,501,68,503,59,502,39,20,200,99,200000,ex_icon_1010.png,sp,exclusive_1010.png,谁也不知道这本书里藏着什么样的秘密。,92101001,40000003,60
101011,小麦酒,觅酒狂徒：里格比,1011,4,501,88,503,40,502,54,19,150,99,200000,ex_icon_1011.png,sp,exclusive_1011.png,小麦酒的醇香能让人放弃抵抗。,92101101,40000003,60
101018,冷艳锯,异界战神：武圣,1018,4,501,71,503,46,502,49,6,500,99,200000,ex_icon_1018.png,sp,exclusive_1018.png,重八十二斤，又名青龙偃月刀。,92101801,40000003,60
102001,狂兽之锋,蛮血战神：布鲁特斯,2001,4,501,30,19,100,502,59,25,300,99,200000,ex_icon_2001.png,sp,exclusive_2001.png,当它挥舞起来时，一切都将消失。,92200101,40000003,60
102002,不屈对斧,不屈刽子手：艾克索斯,2002,4,502,59,19,150,503,126,25,200,99,200000,ex_icon_2002.png,sp,exclusive_2002.png,可近可远的双斧。,92200201,40000003,60
102003,兽骨之弓,诡诈猎手：沃尔克,2003,4,502,88,20,150,503,88,0,0,99,200000,ex_icon_2003.png,sp,exclusive_2003.png,能够精准命中敌人。,92200301,40000003,60
102004,炎魂法杖,巫毒行者：鲁米苏,2004,4,501,88,503,59,502,39,21,-250,99,200000,ex_icon_2004.png,sp,exclusive_2004.png,象征着主人地位的法杖。,92200401,40000003,60
102005,战魂,蛮角骑士：斯克雷格,2005,4,501,107,19,200,503,107,37,200,99,200000,ex_icon_2005.png,sp,exclusive_2005.png,被它击中，谁都受不了。,92200501,40000003,60
102006,巨兽之锤,卫荣之拳：沃克,2006,4,501,49,503,68,502,68,25,200,99,200000,ex_icon_2006.png,sp,exclusive_2006.png,坚硬的材质使得它能轻易击败敌人。,92200601,40000003,60
102007,荣耀之矛,流放之矛：安丹德拉,2007,4,501,68,20,100,502,49,25,200,99,200000,ex_icon_2007.png,sp,exclusive_2007.png,代表荣耀的长矛。,92200701,40000003,60
102008,碧蓝法杖,缚咒女王：萨菲娅,2008,4,501,68,503,49,502,68,6,200,99,200000,ex_icon_2008.png,sp,exclusive_2008.png,闪烁着蓝色的光，但你不要以为它是安全的。,92200801,40000003,60
102009,圣焰原火,祈火灵巫：萨忒娜,2009,4,501,68,25,300,502,49,0,0,99,200000,ex_icon_2009.png,sp,exclusive_2009.png,坚定的意志，忘我的献身。,92200901,40000003,60
102010,锋刃,血戮之嚎：提达斯,2010,4,501,49,503,68,502,68,25,200,99,200000,ex_icon_2010.png,sp,exclusive_2010.png,能切碎一切。,92201001,40000003,60
